LOCALITY_PID,LOCALITY_NAME,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT614,BANKS,PHN801,Australian Capital Territory,1,Good,Good,0
ACT615,GREENWAY,PHN801,Australian Capital Territory,1,Good,Good,0
ACT616,GORDON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT619,BONYTHON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT623,OXLEY,PHN801,Australian Capital Territory,1,Good,Good,0
ACT659,THARWA,PHN801,Australian Capital Territory,1,Good,Good,0
ACT701,MITCHELL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT706,NGUNNAWAL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT707,AMAROO,PHN801,Australian Capital Territory,1,Good,Good,0
ACT708,NICHOLLS,PHN801,Australian Capital Territory,1,Good,Good,0
ACT709,PALMERSTON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT710,GUNGAHLIN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT711,HARRISON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT716,FORDE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT719,BONNER,PHN801,Australian Capital Territory,1,Good,Good,0
ACT801,OAKS ESTATE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT802,HUME,PHN801,Australian Capital Territory,1,Good,Good,0
ACT803,SYMONSTON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT901,HALL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT902,FRANKLIN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT903,CASEY,PHN801,Australian Capital Territory,1,Good,Good,0
ACT904,CRACE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT905,BEARD,PHN801,Australian Capital Territory,1,Good,Good,0
ACT906,COOMBS,PHN801,Australian Capital Territory,1,Good,Good,0
ACT907,WRIGHT,PHN801,Australian Capital Territory,1,Good,Good,0
ACT927,URIARRA VILLAGE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT928,JACKA,PHN801,Australian Capital Territory,1,Good,Good,0
ACT929,DENMAN PROSPECT,PHN801,Australian Capital Territory,1,Good,Good,0
ACT930,MOLONGLO,PHN801,Australian Capital Territory,1,Good,Good,0
ACT931,CANBERRA AIRPORT,PHN801,Australian Capital Territory,1,Good,Good,0
ACT932,MONCRIEFF,PHN801,Australian Capital Territory,1,Good,Good,0
ACT933,THROSBY,PHN801,Australian Capital Territory,1,Good,Good,0
ACT934,TAYLOR,PHN801,Australian Capital Territory,1,Good,Good,0
ACT935,STRATHNAIRN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT936,MACNAMARA,PHN801,Australian Capital Territory,1,Good,Good,0
