CD_CODE_2001,POA_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1011008,2714,1,Acceptable,Good,0
1011009,3644,1,Good,Good,0
1011010,2714,1,Acceptable,Good,0
1011011,2712,0.02,Acceptable,Good,0
1011011,2713,0.06,Acceptable,Good,0
1011011,3644,0.32,Good,Good,0
1011011,2714,0.6,Acceptable,Good,0
1011101,2712,0.4888889,Acceptable,Good,0
1011101,2713,0.5111111,Acceptable,Good,0
1011102,2712,1,Acceptable,Good,0
1011103,2646,0.1836735,Good,Good,0
1011103,2712,0.8163265,Acceptable,Good,0
1011104,2713,1,Acceptable,Good,0
1011105,2713,1,Acceptable,Good,0
1011106,2713,1,Acceptable,Good,0
1011107,2713,1,Acceptable,Good,0
1011108,2713,1,Acceptable,Good,0
1011109,2712,1,Acceptable,Good,0
1011201,2707,0.4324324,Acceptable,Good,0
1011201,2716,0.5675676,Acceptable,Good,0
1011202,2710,0.0243902,Good,Good,0
1011202,2712,0.0487805,Acceptable,Good,0
1011202,2646,0.0731707,Good,Good,0
1011202,2716,0.8536585,Acceptable,Good,0
1011203,2712,0.0204082,Acceptable,Good,0
1011203,2710,0.1632653,Good,Good,0
1011203,2713,0.3469388,Acceptable,Good,0
1011203,2716,0.4693878,Acceptable,Good,0
1011204,2716,1,Acceptable,Good,0
1011205,2716,1,Acceptable,Good,0
1011301,2710,0.0444444,Good,Good,0
1011301,2706,0.0888889,Good,Good,0
1011301,2716,0.1555556,Acceptable,Good,0
1011301,2707,0.2888889,Acceptable,Good,0
1011301,2711,0.4222222,Good,Good,0
1011302,2706,0.3617021,Good,Good,0
1011302,2707,0.6382979,Acceptable,Good,0
1011303,2707,1,Acceptable,Good,0
1011304,2707,1,Acceptable,Good,0
1011305,2706,1,Good,Good,0
1011306,2707,0.35,Acceptable,Good,0
1011306,2706,0.65,Good,Good,0
1011401,2680,1,Good,Good,0
1011402,2681,0.35,Acceptable,Good,0
1011402,2680,0.65,Good,Good,0
1011403,2680,0.1282051,Good,Good,0
1011403,2681,0.8717949,Acceptable,Good,0
1011404,2681,1,Acceptable,Good,0
1011405,2681,1,Acceptable,Good,0
1011406,2681,0.4473684,Acceptable,Good,0
1011406,2680,0.5526316,Good,Good,0
1011407,2680,1,Good,Good,0
1011408,2680,1,Good,Good,0
1011409,2680,1,Good,Good,0
1011410,2680,1,Good,Good,0
1011411,2681,1,Acceptable,Good,0
1011501,2680,1,Good,Good,0
1011502,2680,1,Good,Good,0
1011503,2680,1,Good,Good,0
1011504,2680,1,Good,Good,0
1011505,2680,1,Good,Good,0
1011506,2680,1,Good,Good,0
1011507,2680,1,Good,Good,0
1011508,2680,1,Good,Good,0
1011509,2680,1,Good,Good,0
1011510,2680,1,Good,Good,0
1011511,2680,1,Good,Good,0
1011512,2680,1,Good,Good,0
1011601,2680,1,Good,Good,0
1011602,2680,1,Good,Good,0
1011603,2680,1,Good,Good,0
1011604,2680,1,Good,Good,0
1011605,2680,1,Good,Good,0
1011606,2680,1,Good,Good,0
1011607,2680,1,Good,Good,0
1011608,2680,1,Good,Good,0
1011609,2680,1,Good,Good,0
1011610,2680,1,Good,Good,0
1011611,2680,1,Good,Good,0
1011612,2680,1,Good,Good,0
1011613,2680,1,Good,Good,0
1011701,2652,0.212766,Poor,Good,0
1011701,2680,0.787234,Good,Good,0
1011702,2680,1,Good,Good,0
1011703,2680,1,Good,Good,0
1011704,2680,1,Good,Good,0
1011705,2680,1,Good,Good,0
1011706,2680,1,Good,Good,0
1011707,2680,1,Good,Good,0
1011708,2705,0.0238095,Good,Good,0
1011708,2680,0.9761905,Good,Good,0
1011801,2705,1,Good,Good,0
1011802,2705,1,Good,Good,0
1011803,2705,1,Good,Good,0
1011804,2705,1,Good,Good,0
1011805,2705,1,Good,Good,0
1011806,2705,1,Good,Good,0
1011807,2705,1,Good,Good,0
1011808,2705,1,Good,Good,0
1011809,2705,1,Good,Good,0
1011810,2705,1,Good,Good,0
1011811,2705,1,Good,Good,0
1011812,2705,1,Good,Good,0
1011901,2705,1,Good,Good,0
1011902,2705,1,Good,Good,0
1011903,2705,1,Good,Good,0
1011904,2705,1,Good,Good,0
1011905,2703,0.0294118,Acceptable,Good,0
1011905,2705,0.9705882,Good,Good,0
1011906,2705,1,Good,Good,0
1011907,2703,1,Acceptable,Good,0
1011908,2703,0.1190476,Acceptable,Good,0
1011908,2705,0.1190476,Good,Good,0
1011908,2700,0.7619048,Good,Good,0
1011909,2703,0.1304348,Acceptable,Good,0
1011909,2705,0.8695652,Good,Good,0
1011910,2703,1,Acceptable,Good,0
1011911,2703,0.2424242,Acceptable,Good,0
1011911,2705,0.7575758,Good,Good,0
1011912,2705,1,Good,Good,0
1011913,2705,1,Good,Good,0
1012001,2700,1,Good,Good,0
1012002,2700,1,Good,Good,0
1012003,2700,1,Good,Good,0
1012004,2700,1,Good,Good,0
1012005,2700,1,Good,Good,0
1012006,2700,1,Good,Good,0
1012007,2700,1,Good,Good,0
1012008,2700,1,Good,Good,0
1012009,2700,1,Good,Good,0
1012101,2650,0.0606061,Good,Good,0
1012101,2652,0.3333333,Poor,Good,0
1012101,2700,0.6060606,Good,Good,0
1012102,2700,0.0434783,Good,Good,0
1012102,2665,0.1521739,Acceptable,Good,0
1012102,2652,0.8043478,Poor,Good,0
1012103,2700,1,Good,Good,0
1012104,2652,1,Poor,Good,0
1012105,2705,0.1,Good,Good,0
1012105,2652,0.16,Poor,Good,0
1012105,2700,0.74,Good,Good,0
1012106,2650,0.0465116,Good,Good,0
1012106,2652,0.3488372,Poor,Good,0
1012106,2700,0.6046512,Good,Good,0
1012201,2665,1,Acceptable,Good,0
1012202,2665,1,Acceptable,Good,0
1012203,2700,0.1395349,Good,Good,0
1012203,2665,0.8604651,Acceptable,Good,0
1012204,2700,0.25,Good,Good,0
1012204,2705,0.25,Good,Good,0
1012204,2665,0.5,Acceptable,Good,0
1012301,2710,1,Good,Good,0
1012302,2710,1,Good,Good,0
1012303,2710,1,Good,Good,0
1012304,2710,1,Good,Good,0
1012305,2710,1,Good,Good,0
1012306,2710,1,Good,Good,0
1020101,2880,1,Good,Good,0
1020102,2880,1,Good,Good,0
1020103,2880,1,Good,Good,0
1020104,2880,0.2058824,Good,Good,0
1020104,2836,0.2352941,Good,Good,0
1020104,2840,0.5588235,Good,Good,0
1020105,2836,0.0526316,Good,Good,0
1020105,2840,0.9473684,Good,Good,0
1020106,2880,1,Good,Good,0
1020107,2836,0.3333333,Good,Good,0
1020107,2880,0.6666667,Good,Good,0
1020201,2836,0.0277778,Good,Good,0
1020201,2880,0.9722222,Good,Good,0
1020202,2879,0.1315789,Good,Good,0
1020202,2880,0.8684211,Good,Good,0
1020203,2880,1,Good,Good,0
1020204,2879,0.0243902,Good,Good,0
1020204,2880,0.9756098,Good,Good,0
1020205,2879,0.1463415,Good,Good,0
1020205,2648,0.3658537,Good,Good,0
1020205,2880,0.4878049,Good,Good,0
1020301,2880,1,Good,Good,0
1020302,2880,1,Good,Good,0
1020303,2880,1,Good,Good,0
1020304,2880,1,Good,Good,0
1020305,2880,1,Good,Good,0
1020306,2880,1,Good,Good,0
1020307,2880,1,Good,Good,0
1020308,2880,1,Good,Good,0
1020309,2880,1,Good,Good,0
1020310,2880,1,Good,Good,0
1020311,2880,1,Good,Good,0
1020312,2880,1,Good,Good,0
1020401,2880,1,Good,Good,0
1020402,2880,1,Good,Good,0
1020403,2880,1,Good,Good,0
1020404,2880,1,Good,Good,0
1020405,2880,1,Good,Good,0
1020406,2880,1,Good,Good,0
1020407,2880,1,Good,Good,0
1020408,2880,1,Good,Good,0
1020409,2880,1,Good,Good,0
1020410,2880,1,Good,Good,0
1020411,2880,1,Good,Good,0
1020501,2880,1,Good,Good,0
1020502,2880,1,Good,Good,0
1020503,2880,1,Good,Good,0
1020504,2880,1,Good,Good,0
1020505,2880,1,Good,Good,0
1020506,2880,1,Good,Good,0
1020507,2880,1,Good,Good,0
1020508,2880,1,Good,Good,0
1020509,2880,1,Good,Good,0
1020510,2880,1,Good,Good,0
1020511,2880,1,Good,Good,0
1020601,2880,1,Good,Good,0
1020602,2880,1,Good,Good,0
1020603,2880,1,Good,Good,0
1020604,2880,1,Good,Good,0
1020605,2880,1,Good,Good,0
1020606,2880,1,Good,Good,0
1020607,2880,1,Good,Good,0
1020608,2880,1,Good,Good,0
1020609,2880,1,Good,Good,0
1020610,2880,1,Good,Good,0
1020611,2880,1,Good,Good,0
1020612,2880,1,Good,Good,0
1020613,2880,1,Good,Good,0
1020701,2648,1,Good,Good,0
1020702,2648,1,Good,Good,0
1020703,2648,1,Good,Good,0
1020704,2648,1,Good,Good,0
1020705,2648,1,Good,Good,0
1020706,2648,1,Good,Good,0
1020707,2717,1,Good,Good,0
1020708,2648,0.1363636,Good,Good,0
1020708,2717,0.8636364,Good,Good,0
1020709,2717,1,Good,Good,0
1020710,2717,0.5,Good,Good,0
1020710,2739,0.5,Good,Good,0
1020711,2739,1,Good,Good,0
1020712,2717,0.0204082,Good,Good,0
1020712,2648,0.9795918,Good,Good,0
1020713,2717,1,Good,Good,0
1020801,2738,1,Good,Good,0
1020802,2715,0.3061224,Acceptable,Good,0
1020802,2648,0.6938776,Good,Good,0
1020803,2717,0.0232558,Good,Good,0
1020803,2715,0.2790698,Acceptable,Good,0
1020803,2648,0.6976744,Good,Good,0
1020804,2648,0.0277778,Good,Good,0
1020804,2715,0.0277778,Acceptable,Good,0
