CD_CODE_2001,POA_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1090313,2444,1,Good,Good,0
1090401,2444,1,Good,Good,0
1090402,2444,1,Good,Good,0
1090403,2444,1,Good,Good,0
1090404,2444,1,Good,Good,0
1090405,2444,1,Good,Good,0
1090406,2444,1,Good,Good,0
1090407,2444,1,Good,Good,0
1090408,2444,1,Good,Good,0
1090409,2444,1,Good,Good,0
1090410,2444,1,Good,Good,0
1090411,2444,1,Good,Good,0
1090501,2444,1,Good,Good,0
1090502,2444,1,Good,Good,0
1090503,2444,1,Good,Good,0
1090504,2444,1,Good,Good,0
1090505,2444,1,Good,Good,0
1090506,2444,1,Good,Good,0
1090507,2444,1,Good,Good,0
1090508,2444,1,Good,Good,0
1090509,2444,1,Good,Good,0
1090510,2444,1,Good,Good,0
1090511,2444,1,Good,Good,0
1090512,2444,1,Good,Good,0
1090601,2445,1,Good,Good,0
1090602,2445,1,Good,Good,0
1090603,2439,0.0425532,Acceptable,Good,0
1090603,2443,0.0425532,Good,Good,0
1090603,2446,0.4255319,Good,Good,0
1090603,2445,0.4893617,Good,Good,0
1090604,2446,1,Good,Good,0
1090605,2445,1,Good,Good,0
1090606,2445,1,Good,Good,0
1090607,2445,1,Good,Good,0
1090608,2439,0.36,Acceptable,Good,0
1090608,2446,0.64,Good,Good,0
1090609,2446,1,Good,Good,0
1090610,2446,0.3157895,Good,Good,0
1090610,2444,0.6842105,Good,Good,0
1090611,2445,1,Good,Good,0
1090612,2445,1,Good,Good,0
1090701,2439,0.2195122,Acceptable,Good,0
1090701,2443,0.7804878,Good,Good,0
1090702,2443,0.2058824,Good,Good,0
1090702,2439,0.7941176,Acceptable,Good,0
1090703,2443,1,Good,Good,0
1090704,2443,1,Good,Good,0
1090705,2443,1,Good,Good,0
1090706,2443,1,Good,Good,0
1090707,2443,1,Good,Good,0
1090708,2443,1,Good,Good,0
1090709,2443,1,Good,Good,0
1090710,2443,1,Good,Good,0
1090711,2443,1,Good,Good,0
1090712,2443,1,Good,Good,0
1090713,2439,1,Acceptable,Good,0
1090714,2439,0.0645161,Acceptable,Good,0
1090714,2443,0.9354839,Good,Good,0
1090715,2445,0.255814,Good,Good,0
1090715,2439,0.744186,Acceptable,Good,0
1090716,2443,1,Good,Good,0
1090801,2446,1,Good,Good,0
1090802,2429,0.0425532,Acceptable,Good,0
1090802,2446,0.9574468,Good,Good,0
1090803,2439,0.0465116,Acceptable,Good,0
1090803,2446,0.3255814,Good,Good,0
1090803,2429,0.627907,Acceptable,Good,0
1090804,2429,1,Acceptable,Good,0
1090805,2439,1,Acceptable,Good,0
1090806,2446,0.1,Good,Good,0
1090806,2443,0.16,Good,Good,0
1090806,2439,0.74,Acceptable,Good,0
1090807,2439,1,Acceptable,Good,0
1090808,2446,1,Good,Good,0
1090809,2439,0.0285714,Acceptable,Good,0
1090809,2446,0.9714286,Good,Good,0
1090810,2446,1,Good,Good,0
1090901,2429,0.0769231,Acceptable,Good,0
1090901,2424,0.9230769,Poor,Good,0
1090902,2424,0.2058824,Poor,Good,0
1090902,2429,0.7941176,Acceptable,Good,0
1090903,2424,0.4545455,Poor,Good,0
1090903,2429,0.5454545,Acceptable,Good,0
1090904,2429,1,Acceptable,Good,0
1090905,2429,0.2222222,Acceptable,Good,0
1090905,2430,0.7777778,Good,Good,0
1090906,2426,0.04,Poor,Good,0
1090906,2443,0.38,Good,Good,0
1090906,2430,0.58,Good,Good,0
1090907,2429,1,Acceptable,Good,0
1090908,2430,0.175,Good,Good,0
1090908,2429,0.825,Acceptable,Good,0
1090909,2429,1,Acceptable,Good,0
1090910,2429,0.2045455,Acceptable,Good,0
1090910,2430,0.7954545,Good,Good,0
1090911,2429,0.025641,Acceptable,Good,0
1090911,2426,0.0512821,Poor,Good,0
1090911,2443,0.1538462,Good,Good,0
1090911,2430,0.7692308,Good,Good,0
1090912,2424,0.4054054,Poor,Good,0
1090912,2429,0.5945946,Acceptable,Good,0
1090913,2429,1,Acceptable,Good,0
1091001,2426,0.1,Poor,Good,0
1091001,2427,0.175,Acceptable,Good,0
1091001,2443,0.725,Good,Good,0
1091002,2443,1,Good,Good,0
1091003,2443,0.1276596,Good,Good,0
1091003,2430,0.4042553,Good,Good,0
1091003,2426,0.4680851,Poor,Good,0
1091004,2430,0.0232558,Good,Good,0
1091004,2426,0.9767442,Poor,Good,0
1091005,2426,0.4791667,Poor,Good,0
1091005,2430,0.5208333,Good,Good,0
1091006,2430,1,Good,Good,0
1091007,2443,1,Good,Good,0
1091008,2430,1,Good,Good,0
1091009,2427,1,Acceptable,Good,0
1091010,2430,0.1212121,Good,Good,0
1091010,2427,0.8787879,Acceptable,Good,0
1091011,2427,1,Acceptable,Good,0
1091012,2427,1,Acceptable,Good,0
1091013,2443,1,Good,Good,0
1091101,2430,1,Good,Good,0
1091102,2430,1,Good,Good,0
1091103,2430,1,Good,Good,0
1091104,2430,1,Good,Good,0
1091105,2430,1,Good,Good,0
1091106,2430,1,Good,Good,0
1091107,2430,1,Good,Good,0
1091108,2430,1,Good,Good,0
1091109,2430,1,Good,Good,0
1091110,2430,1,Good,Good,0
1091111,2430,1,Good,Good,0
1091112,2430,1,Good,Good,0
1091201,2430,1,Good,Good,0
1091202,2430,1,Good,Good,0
1091203,2430,1,Good,Good,0
1091204,2430,1,Good,Good,0
1091205,2430,1,Good,Good,0
1091206,2430,1,Good,Good,0
1091207,2430,1,Good,Good,0
1091208,2430,1,Good,Good,0
1091209,2430,1,Good,Good,0
1091210,2430,1,Good,Good,0
1091211,2430,1,Good,Good,0
1091212,2430,1,Good,Good,0
1091213,2430,1,Good,Good,0
1091301,2429,1,Acceptable,Good,0
1091302,2429,1,Acceptable,Good,0
1091303,2429,1,Acceptable,Good,0
1091304,2430,0.025,Good,Good,0
1091304,2429,0.975,Acceptable,Good,0
1091305,2429,1,Acceptable,Good,0
1091306,2429,1,Acceptable,Good,0
1091307,2429,1,Acceptable,Good,0
1091401,2430,1,Good,Good,0
1091402,2430,1,Good,Good,0
1091403,2427,0.1,Acceptable,Good,0
1091403,2430,0.9,Good,Good,0
1091404,2430,1,Good,Good,0
1091405,2430,1,Good,Good,0
1091406,2430,1,Good,Good,0
1091407,2430,1,Good,Good,0
1091408,2430,1,Good,Good,0
1091409,2430,1,Good,Good,0
1091410,2430,1,Good,Good,0
1091411,2430,1,Good,Good,0
1091501,2429,0.0294118,Acceptable,Good,0
1091501,2424,0.9705882,Poor,Good,0
1091502,2422,0.3611111,Good,Good,0
1091502,2429,0.6388889,Acceptable,Good,0
1091503,2429,0.1081081,Acceptable,Good,0
1091503,2430,0.8918919,Good,Good,0
1091504,2429,1,Acceptable,Good,0
1091505,2422,0.1111111,Good,Good,0
1091505,2429,0.8888889,Acceptable,Good,0
1091506,2312,0.3673469,Acceptable,Good,0
1091506,2429,0.6326531,Acceptable,Good,0
1091507,2430,0.1,Good,Good,0
1091507,2312,0.3666667,Acceptable,Good,0
1091507,2429,0.5333333,Acceptable,Good,0
1091508,2430,1,Good,Good,0
1091509,2430,1,Good,Good,0
1091510,2430,1,Good,Good,0
1091511,2312,0.1489362,Acceptable,Good,0
1091511,2429,0.2765957,Acceptable,Good,0
1091511,2423,0.5744681,Acceptable,Good,0
1091512,2430,1,Good,Good,0
1091601,2312,1,Acceptable,Good,0
1091602,2312,0.0714286,Acceptable,Good,0
1091602,2430,0.2619048,Good,Good,0
1091602,2428,0.6666667,Good,Good,0
1091603,2428,1,Good,Good,0
1091604,2428,1,Good,Good,0
1091605,2428,1,Good,Good,0
1091606,2428,1,Good,Good,0
1091607,2428,0.0434783,Good,Good,0
1091607,2312,0.9565217,Acceptable,Good,0
1091608,2428,1,Good,Good,0
1091609,2428,1,Good,Good,0
1091610,2428,1,Good,Good,0
1091611,2428,1,Good,Good,0
1091701,2428,1,Good,Good,0
1091702,2428,1,Good,Good,0
1091703,2428,1,Good,Good,0
1091704,2428,1,Good,Good,0
1091705,2428,1,Good,Good,0
1091706,2428,1,Good,Good,0
1091707,2428,1,Good,Good,0
1091708,2428,1,Good,Good,0
1091709,2428,1,Good,Good,0
1091710,2428,1,Good,Good,0
1091801,2428,1,Good,Good,0
1091802,2428,1,Good,Good,0
1091803,2428,1,Good,Good,0
1091804,2428,1,Good,Good,0
1091805,2428,1,Good,Good,0
1091806,2428,1,Good,Good,0
1091807,2428,1,Good,Good,0
1091808,2428,1,Good,Good,0
1091809,2428,1,Good,Good,0
1091810,2428,1,Good,Good,0
1091811,2428,1,Good,Good,0
1091901,,0.027027,Poor,Good,2
1091901,2324,0.972973,Good,Good,0
1091902,2324,1,Good,Good,0
1091903,2423,1,Acceptable,Good,0
1091904,2423,1,Acceptable,Good,0
1091905,2324,0.3888889,Good,Good,0
1091905,2423,0.6111111,Acceptable,Good,0
1091906,2324,1,Good,Good,0
1091907,2324,1,Good,Good,0
1091908,,0.125,Poor,Good,2
1091908,2324,0.875,Good,Good,0
1091909,2324,1,Good,Good,0
1091910,2423,1,Acceptable,Good,0
1091911,2324,1,Good,Good,0
1092001,2422,0.1351351,Good,Good,0
1092001,2415,0.8648649,Acceptable,Good,0
1092002,2425,0.4,Poor,Good,0
1092002,2415,0.6,Acceptable,Good,0
1092003,2425,0.1025641,Poor,Good,0
1092003,2422,0.1794872,Good,Good,0
1092003,2415,0.7179487,Acceptable,Good,0
1092004,2425,1,Poor,Good,0
1092005,2422,0.2051282,Good,Good,0
1092005,2425,0.3333333,Poor,Good,0
1092005,2423,0.4615385,Acceptable,Good,0
1092006,2429,0.3414634,Acceptable,Good,0
1092006,2423,0.6585366,Acceptable,Good,0
1092007,2425,0.3529412,Poor,Good,0
1092007,2423,0.6470588,Acceptable,Good,0
1092008,2425,0.4418605,Poor,Good,0
1092008,2324,0.5581395,Good,Good,0
1092009,2324,0.3863636,Good,Good,0
1092009,2425,0.6136364,Poor,Good,0
1092010,2324,1,Good,Good,0
1092011,2324,1,Good,Good,0
1092012,2415,1,Acceptable,Good,0
1092013,2429,0.3333333,Acceptable,Good,0
1092013,2423,0.6666667,Acceptable,Good,0
1092014,2324,1,Good,Good,0
1092101,2898,1,Good,Good,0
1092201,2446,1,Good,Good,0
1092202,2446,1,Good,Good,0
1092203,2446,1,Good,Good,0
1092204,2446,1,Good,Good,0
1092205,2446,1,Good,Good,0
1092206,2446,1,Good,Good,0
1092207,2446,1,Good,Good,0
1092208,2446,1,Good,Good,0
1092209,2446,1,Good,Good,0
1092301,2429,0.225,Acceptable,Good,0
1092301,2430,0.775,Good,Good,0
1092302,2430,1,Good,Good,0
1092303,2430,1,Good,Good,0
1092304,2430,1,Good,Good,0
1092305,2430,1,Good,Good,0
1092306,2430,1,Good,Good,0
1092307,2430,1,Good,Good,0
1092308,2430,1,Good,Good,0
1092309,2430,1,Good,Good,0
1092310,2429,0.4,Acceptable,Good,0
1092310,2430,0.6,Good,Good,0
1092401,2428,1,Good,Good,0
1092402,2428,1,Good,Good,0
1092403,2428,1,Good,Good,0
1092404,2428,1,Good,Good,0
1092405,2428,1,Good,Good,0
1092406,2428,1,Good,Good,0
1092407,2428,1,Good,Good,0
1092408,2428,1,Good,Good,0
1092409,2428,0.4666667,Good,Good,0
1092409,2423,0.5333333,Acceptable,Good,0
1092410,2428,0.0285714,Good,Good,0
1092410,2423,0.9714286,Acceptable,Good,0
1092411,2428,1,Good,Good,0
1092412,2428,1,Good,Good,0
1092501,2444,1,Good,Good,0
1092502,2444,1,Good,Good,0
1092503,2444,1,Good,Good,0
1092504,2444,1,Good,Good,0
1092505,2444,1,Good,Good,0
1092506,2444,1,Good,Good,0
1092507,2444,1,Good,Good,0
1092508,2444,1,Good,Good,0
1092509,2444,1,Good,Good,0
1092510,2444,1,Good,Good,0
1092511,2444,1,Good,Good,0
1092601,2428,1,Good,Good,0
1092602,2428,1,Good,Good,0
1092603,2428,1,Good,Good,0
1092604,2428,1,Good,Good,0
1092605,2428,1,Good,Good,0
1092606,2428,1,Good,Good,0
1092607,2428,1,Good,Good,0
1092608,2428,1,Good,Good,0
1092609,2428,1,Good,Good,0
1092610,2428,1,Good,Good,0
1100101,,0.030303,Poor,Good,2
1100101,2295,0.969697,Good,Good,0
1100102,2295,1,Good,Good,0
1100103,2295,1,Good,Good,0
1100104,2295,1,Good,Good,0
1100105,2295,1,Good,Good,0
1100106,2295,1,Good,Good,0
1100107,2295,1,Good,Good,0
1100201,2287,1,Good,Good,0
1100202,2322,1,Good,Good,0
1100203,2322,1,Good,Good,0
1100204,2322,1,Good,Good,0
1100205,2322,1,Good,Good,0
1100206,2322,1,Good,Good,0
1100207,2322,1,Good,Good,0
1100208,2322,1,Good,Good,0
1100209,2287,0.2045455,Good,Good,0
1100209,2322,0.7954545,Good,Good,0
1100210,2287,1,Good,Good,0
1100211,2287,1,Good,Good,0
1100212,2287,1,Good,Good,0
1100213,2287,1,Good,Good,0
1100214,2322,0.3846154,Good,Good,0
1100214,2287,0.6153846,Good,Good,0
1100215,2287,1,Good,Good,0
1100301,2287,1,Good,Good,0
1100302,2287,0.1,Good,Good,0
1100302,2322,0.9,Good,Good,0
1100303,2304,1,Good,Good,0
1100304,2304,1,Good,Good,0
1100305,2307,1,Acceptable,Good,0
1100306,2322,0.0243902,Good,Good,0
1100306,2307,0.9756098,Acceptable,Good,0
1100307,2304,0.02,Good,Good,0
1100307,2307,0.46,Acceptable,Good,0
1100307,2308,0.52,Poor,Good,0
1100308,2304,1,Good,Good,0
1100309,2304,1,Good,Good,0
1100310,2304,1,Good,Good,0
1100311,2304,1,Good,Good,0
1100312,2304,1,Good,Good,0
1100313,,0.0238095,Poor,Good,2
1100313,2304,0.9761905,Good,Good,0
1100314,2322,0.0833333,Good,Good,0
1100314,2304,0.125,Good,Good,0
1100314,,0.7916667,Poor,Good,2
1100315,,1,Poor,Good,2
1100316,2287,1,Good,Good,0
1100317,2304,0.0222222,Good,Good,0
1100317,2322,0.0444444,Good,Good,0
1100317,2307,0.9333333,Acceptable,Good,0
1100318,2307,1,Acceptable,Good,0
1100319,2322,0.05,Good,Good,0
1100319,2304,0.95,Good,Good,0
1100401,2287,1,Good,Good,0
1100402,2287,0.1538462,Good,Good,0
1100402,2307,0.8461538,Acceptable,Good,0
1100403,2307,1,Acceptable,Good,0
1100404,2287,0.1111111,Good,Good,0
1100404,2307,0.8888889,Acceptable,Good,0
1100405,2287,1,Good,Good,0
1100406,2287,1,Good,Good,0
1100407,2287,1,Good,Good,0
1100408,2299,1,Good,Good,0
1100409,2287,1,Good,Good,0
1100410,2287,1,Good,Good,0
1100501,2287,1,Good,Good,0
1100502,2287,1,Good,Good,0
1100503,2287,1,Good,Good,0
1100504,2287,1,Good,Good,0
1100505,2287,1,Good,Good,0
1100506,2287,1,Good,Good,0
1100507,2287,1,Good,Good,0
1100508,2287,1,Good,Good,0
1100509,2287,1,Good,Good,0
1100510,2287,1,Good,Good,0
1100511,2287,1,Good,Good,0
1100512,2287,1,Good,Good,0
1100513,2287,1,Good,Good,0
1100514,2287,1,Good,Good,0
1100515,2287,1,Good,Good,0
1100516,2287,1,Good,Good,0
1100601,2287,1,Good,Good,0
1100602,2287,1,Good,Good,0
1100603,2287,1,Good,Good,0
1100604,2287,1,Good,Good,0
1100605,2287,1,Good,Good,0
1100606,2287,1,Good,Good,0
1100607,2287,1,Good,Good,0
1100608,2287,1,Good,Good,0
1100609,2305,0.3333333,Acceptable,Good,0
1100609,2287,0.6666667,Good,Good,0
1100610,2287,1,Good,Good,0
1100611,2287,1,Good,Good,0
1100612,2287,1,Good,Good,0
1100613,2287,1,Good,Good,0
1100614,2299,0.2,Good,Good,0
1100614,2287,0.8,Good,Good,0
1100701,2305,1,Acceptable,Good,0
1100702,2305,1,Acceptable,Good,0
1100703,2305,1,Acceptable,Good,0
1100704,2305,0.2765957,Acceptable,Good,0
1100704,2299,0.7234043,Good,Good,0
1100705,2299,0.2857143,Good,Good,0
1100705,2305,0.7142857,Acceptable,Good,0
1100706,2299,1,Good,Good,0
1100707,2299,1,Good,Good,0
1100708,2299,1,Good,Good,0
1100709,2305,0.1428571,Acceptable,Good,0
1100709,2299,0.8571429,Good,Good,0
1100710,2299,1,Good,Good,0
1100711,2299,1,Good,Good,0
1100712,2299,1,Good,Good,0
1100713,2305,1,Acceptable,Good,0
1100714,2299,1,Good,Good,0
1100801,2292,1,Acceptable,Good,0
1100802,2305,1,Acceptable,Good,0
1100803,2303,0.125,Good,Good,0
1100803,2292,0.875,Acceptable,Good,0
1100804,2303,1,Good,Good,0
1100805,2305,1,Acceptable,Good,0
1100806,2303,0.125,Good,Good,0
1100806,2292,0.875,Acceptable,Good,0
1100807,2292,0.4888889,Acceptable,Good,0
1100807,2305,0.5111111,Acceptable,Good,0
1100808,2305,1,Acceptable,Good,0
1100901,2298,1,Good,Good,0
1100902,2298,1,Good,Good,0
1100903,2298,1,Good,Good,0
1100904,2298,1,Good,Good,0
1100905,2298,1,Good,Good,0
1100906,2298,1,Good,Good,0
1100907,2298,0.3,Good,Good,0
1100907,2292,0.7,Acceptable,Good,0
1100908,2298,1,Good,Good,0
1100909,2298,1,Good,Good,0
1100910,2298,1,Good,Good,0
1100911,2298,1,Good,Good,0
1100912,2298,1,Good,Good,0
1101001,2298,1,Good,Good,0
1101002,2298,1,Good,Good,0
1101003,2298,1,Good,Good,0
1101004,2298,1,Good,Good,0
1101005,2299,1,Good,Good,0
1101006,2298,0.1111111,Good,Good,0
1101006,2299,0.8888889,Good,Good,0
1101007,2299,1,Good,Good,0
1101008,2299,1,Good,Good,0
1101009,2299,1,Good,Good,0
1101010,2299,1,Good,Good,0
1101011,2299,1,Good,Good,0
1101012,2299,1,Good,Good,0
1101013,2298,1,Good,Good,0
1101014,2299,1,Good,Good,0
1101015,2299,1,Good,Good,0
1101101,2304,1,Good,Good,0
1101102,2304,1,Good,Good,0
1101103,2304,1,Good,Good,0
1101104,2304,1,Good,Good,0
1101105,2304,1,Good,Good,0
1101106,2304,1,Good,Good,0
1101107,2304,1,Good,Good,0
1101108,2304,1,Good,Good,0
1101109,2304,1,Good,Good,0
1101110,2304,1,Good,Good,0
1101201,2294,0.09375,Good,Good,0
1101201,2304,0.90625,Good,Good,0
1101202,2304,1,Good,Good,0
1101203,2304,1,Good,Good,0
1101204,2304,1,Good,Good,0
1101205,2304,1,Good,Good,0
1101206,2304,1,Good,Good,0
1101207,2304,1,Good,Good,0
1101208,2304,1,Good,Good,0
1101209,2304,1,Good,Good,0
1101210,2304,1,Good,Good,0
1101211,2304,1,Good,Good,0
1101212,2304,1,Good,Good,0
1101301,2297,1,Good,Good,0
1101302,2297,1,Good,Good,0
1101303,2297,1,Good,Good,0
1101304,2297,1,Good,Good,0
1101305,2296,0.4444444,Good,Good,0
1101305,2297,0.5555556,Good,Good,0
1101306,2296,1,Good,Good,0
1101307,2294,0.2222222,Good,Good,0
1101307,2293,0.2222222,Good,Good,0
1101307,,0.5555556,Poor,Good,2
1101308,2296,1,Good,Good,0
1101309,2293,1,Good,Good,0
1101310,2296,1,Good,Good,0
1101311,2293,0.1111111,Good,Good,0
1101311,2296,0.8888889,Good,Good,0
1101312,2294,1,Good,Good,0
1101313,2293,1,Good,Good,0
1101314,2294,1,Good,Good,0
1101315,2294,1,Good,Good,0
1101316,2294,1,Good,Good,0
1101401,2291,1,Good,Good,0
1101402,2291,1,Good,Good,0
1101403,2303,1,Good,Good,0
1101404,2291,1,Good,Good,0
1101405,2303,1,Good,Good,0
1101406,2303,1,Good,Good,0
1101407,2303,1,Good,Good,0
1101408,2303,0.4,Good,Good,0
1101408,2292,0.6,Acceptable,Good,0
1101409,2303,1,Good,Good,0
1101410,2303,1,Good,Good,0
1101411,2303,1,Good,Good,0
1101501,2292,0.1,Acceptable,Good,0
1101501,2303,0.9,Good,Good,0
1101502,2303,1,Good,Good,0
1101503,2292,1,Acceptable,Good,0
1101504,2303,1,Good,Good,0
1101505,2303,1,Good,Good,0
1101506,2303,1,Good,Good,0
1101507,2303,1,Good,Good,0
1101508,2303,1,Good,Good,0
1101509,2302,0.1,Poor,Good,0
1101509,2303,0.9,Good,Good,0
1101510,2302,0.1428571,Poor,Good,0
1101510,2303,0.8571429,Good,Good,0
1101511,2302,0.125,Poor,Good,0
1101511,2303,0.875,Good,Good,0
1101601,2300,1,Good,Good,0
1101602,2300,0.1428571,Good,Good,0
1101602,2302,0.8571429,Poor,Good,0
1101603,2300,1,Good,Good,0
1101604,2300,1,Good,Good,0
1101605,2300,1,Good,Good,0
1101606,2300,1,Good,Good,0
1101607,2300,1,Good,Good,0
1101608,2300,1,Good,Good,0
1101609,2300,1,Good,Good,0
1101610,,0.1,Poor,Good,2
1101610,2300,0.9,Good,Good,0
1101611,2300,1,Good,Good,0
1101612,2300,1,Good,Good,0
1101701,2293,1,Good,Good,0
1101702,2300,1,Good,Good,0
1101703,2300,1,Good,Good,0
1101704,2302,0.2,Poor,Good,0
1101704,2300,0.8,Good,Good,0
1101705,2300,0.1,Good,Good,0
1101705,2302,0.9,Poor,Good,0
1101706,2300,1,Good,Good,0
1101707,2300,1,Good,Good,0
1101708,2300,1,Good,Good,0
1101709,2300,1,Good,Good,0
1101710,2300,1,Good,Good,0
1101711,2300,1,Good,Good,0
1101712,2302,0.1111111,Poor,Good,0
1101712,2293,0.8888889,Good,Good,0
1101713,2300,1,Good,Good,0
1101801,2303,0.1428571,Good,Good,0
1101801,2291,0.8571429,Good,Good,0
1101802,2300,0.1666667,Good,Good,0
1101802,2291,0.8333333,Good,Good,0
1101803,2291,1,Good,Good,0
1101804,2291,1,Good,Good,0
1101805,2291,1,Good,Good,0
1101806,2291,1,Good,Good,0
1101807,2291,1,Good,Good,0
1101808,2291,1,Good,Good,0
1101809,2291,1,Good,Good,0
1101810,2291,1,Good,Good,0
1101901,2291,1,Good,Good,0
1101902,,0.1,Poor,Good,2
1101902,2291,0.9,Good,Good,0
1101903,2291,1,Good,Good,0
1101904,2291,1,Good,Good,0
1101905,2291,1,Good,Good,0
1101906,2291,1,Good,Good,0
1101907,2291,1,Good,Good,0
1101908,2291,1,Good,Good,0
1101909,2291,1,Good,Good,0
1101910,2291,1,Good,Good,0
1101911,,0.0588235,Poor,Good,2
1101911,2291,0.9411765,Good,Good,0
1102001,2289,1,Good,Good,0
1102002,2289,1,Good,Good,0
1102003,2289,1,Good,Good,0
1102004,2289,1,Good,Good,0
1102005,2289,1,Good,Good,0
1102006,2289,1,Good,Good,0
1102007,2289,1,Good,Good,0
1102008,2289,1,Good,Good,0
1102009,2291,1,Good,Good,0
1102010,2291,1,Good,Good,0
1102011,2291,1,Good,Good,0
1102012,2291,1,Good,Good,0
1102013,2289,1,Good,Good,0
1102014,2289,1,Good,Good,0
1102015,2305,1,Acceptable,Good,0
1102101,2289,1,Good,Good,0
1102102,2289,1,Good,Good,0
1102103,2289,1,Good,Good,0
1102104,2289,1,Good,Good,0
1102105,2289,1,Good,Good,0
1102106,2289,1,Good,Good,0
1102107,2289,1,Good,Good,0
1102108,2289,1,Good,Good,0
1102109,2289,1,Good,Good,0
1102110,2289,1,Good,Good,0
1102111,2289,1,Good,Good,0
1102112,2289,0.2,Good,Good,0
1102112,2291,0.8,Good,Good,0
1102113,2289,1,Good,Good,0
1102114,2289,1,Good,Good,0
1102115,2289,1,Good,Good,0
1102201,2305,1,Acceptable,Good,0
1102202,2305,1,Acceptable,Good,0
1102203,2305,1,Acceptable,Good,0
1102204,2305,1,Acceptable,Good,0
1102205,2305,1,Acceptable,Good,0
1102206,2305,1,Acceptable,Good,0
1102207,2305,1,Acceptable,Good,0
1102208,2305,1,Acceptable,Good,0
1102209,2305,1,Acceptable,Good,0
1102210,2305,1,Acceptable,Good,0
1102211,2305,1,Acceptable,Good,0
1102212,2305,1,Acceptable,Good,0
1102213,2305,1,Acceptable,Good,0
1102214,2305,0.2222222,Acceptable,Good,0
1102214,2289,0.7777778,Good,Good,0
1102215,2305,1,Acceptable,Good,0
1102216,2289,1,Good,Good,0
1110101,2422,1,Good,Good,0
1110102,2422,1,Good,Good,0
1110103,2422,1,Good,Good,0
1110104,2422,1,Good,Good,0
1110105,2422,1,Good,Good,0
1110106,2422,1,Good,Good,0
1110107,2422,1,Good,Good,0
1110108,2422,1,Good,Good,0
1110109,2422,1,Good,Good,0
1110110,2422,1,Good,Good,0
1110111,2422,1,Good,Good,0
1110112,2422,1,Good,Good,0
1110113,2422,1,Good,Good,0
1110114,2422,1,Good,Good,0
1110201,2420,0.1111111,Acceptable,Good,0
1110201,2311,0.8888889,Good,Good,0
1110202,2311,1,Good,Good,0
1110203,2420,0.0540541,Acceptable,Good,0
1110203,2421,0.0810811,Acceptable,Good,0
1110203,2311,0.8648649,Good,Good,0
1110204,2311,1,Good,Good,0
1110205,2311,0.025641,Good,Good,0
1110205,2421,0.974359,Acceptable,Good,0
1110206,2421,1,Acceptable,Good,0
1110207,2420,1,Acceptable,Good,0
1110208,2321,0.0208333,Acceptable,Good,0
1110208,2320,0.0208333,Good,Good,0
1110208,2421,0.25,Acceptable,Good,0
1110208,2420,0.7083333,Acceptable,Good,0
1110209,2420,0.3783784,Acceptable,Good,0
1110209,2421,0.6216216,Acceptable,Good,0
1110210,2320,0.125,Good,Good,0
1110210,2420,0.4166667,Acceptable,Good,0
1110210,2321,0.4583333,Acceptable,Good,0
1110211,2321,1,Acceptable,Good,0
1110301,2420,1,Acceptable,Good,0
1110302,2311,0.025,Good,Good,0
1110302,2420,0.975,Acceptable,Good,0
1110303,2420,1,Acceptable,Good,0
1110304,2420,1,Acceptable,Good,0
1110305,2420,1,Acceptable,Good,0
1110306,2321,0.3181818,Acceptable,Good,0
1110306,2420,0.6818182,Acceptable,Good,0
1110307,2420,0.4347826,Acceptable,Good,0
1110307,2321,0.5652174,Acceptable,Good,0
1110308,2321,1,Acceptable,Good,0
1110309,2420,1,Acceptable,Good,0
1110310,2420,1,Acceptable,Good,0
1110311,2420,1,Acceptable,Good,0
1110401,2321,1,Acceptable,Good,0
1110402,2321,1,Acceptable,Good,0
1110403,2326,0.2,Good,Good,0
1110403,2321,0.325,Acceptable,Good,0
1110403,2320,0.475,Good,Good,0
1110404,2323,0.0555556,Good,Good,0
1110404,2421,0.0555556,Acceptable,Good,0
1110404,2321,0.2777778,Acceptable,Good,0
1110404,2320,0.6111111,Good,Good,0
1110405,2321,0.4047619,Acceptable,Good,0
1110405,2320,0.5952381,Good,Good,0
1110406,2320,1,Good,Good,0
1110407,2335,0.0967742,Acceptable,Good,0
1110407,2321,0.1612903,Acceptable,Good,0
1110407,2320,0.7419355,Good,Good,0
1110408,2320,1,Good,Good,0
1110409,2321,0.3333333,Acceptable,Good,0
1110409,2320,0.6666667,Good,Good,0
1110410,2334,0.0588235,Acceptable,Good,0
1110410,2320,0.0588235,Good,Good,0
1110410,2321,0.8823529,Acceptable,Good,0
1110411,2320,0.3589744,Good,Good,0
1110411,2321,0.6410256,Acceptable,Good,0
1110501,2320,1,Good,Good,0
1110502,2320,1,Good,Good,0
1110503,2320,1,Good,Good,0
1110504,2320,1,Good,Good,0
1110505,2320,1,Good,Good,0
1110506,2320,1,Good,Good,0
1110507,2320,1,Good,Good,0
1110508,2320,1,Good,Good,0
1110509,2320,1,Good,Good,0
1110510,2320,1,Good,Good,0
1110511,2320,1,Good,Good,0
1110601,2320,1,Good,Good,0
1110602,2320,1,Good,Good,0
1110603,2320,1,Good,Good,0
1110604,2320,1,Good,Good,0
1110605,2320,1,Good,Good,0
1110606,2320,1,Good,Good,0
1110607,2320,1,Good,Good,0
1110608,2320,1,Good,Good,0
1110609,2320,1,Good,Good,0
1110701,2320,1,Good,Good,0
