SA4_CODE_2021,SA4_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Capital Region,10,Major Cities of Australia,0.1918204,Good,Acceptable,0
101,Capital Region,11,Inner Regional Australia,0.5369049,Poor,Acceptable,0
101,Capital Region,12,Outer Regional Australia,0.2712747,Poor,Acceptable,0
102,Central Coast,10,Major Cities of Australia,0.9808336,Good,Acceptable,0
102,Central Coast,11,Inner Regional Australia,0.0191664,Poor,Acceptable,0
103,Central West,11,Inner Regional Australia,0.7058978,Poor,Acceptable,0
103,Central West,12,Outer Regional Australia,0.2789925,Poor,Acceptable,0
103,Central West,13,Remote Australia,0.0151097,Poor,Acceptable,0
104,Coffs Harbour - Grafton,11,Inner Regional Australia,0.973737,Poor,Acceptable,0
104,Coffs Harbour - Grafton,12,Outer Regional Australia,0.026263,Poor,Acceptable,0
105,Far West and Orana,11,Inner Regional Australia,0.354602,Poor,Acceptable,0
105,Far West and Orana,12,Outer Regional Australia,0.4465609,Poor,Acceptable,0
105,Far West and Orana,13,Remote Australia,0.144738,Poor,Acceptable,0
105,Far West and Orana,14,Very Remote Australia,0.054099,Poor,Acceptable,0
106,Hunter Valley exc Newcastle,10,Major Cities of Australia,0.4921522,Good,Acceptable,0
106,Hunter Valley exc Newcastle,11,Inner Regional Australia,0.4814374,Poor,Acceptable,0
106,Hunter Valley exc Newcastle,12,Outer Regional Australia,0.0264105,Poor,Acceptable,0
107,Illawarra,10,Major Cities of Australia,0.9713736,Good,Acceptable,0
107,Illawarra,11,Inner Regional Australia,0.0286264,Poor,Acceptable,0
108,Mid North Coast,11,Inner Regional Australia,0.9736553,Poor,Acceptable,0
108,Mid North Coast,12,Outer Regional Australia,0.0244128,Poor,Acceptable,0
108,Mid North Coast,14,Very Remote Australia,0.0019319,Poor,Acceptable,1
109,Murray,11,Inner Regional Australia,0.7969332,Poor,Acceptable,0
109,Murray,12,Outer Regional Australia,0.1866086,Poor,Acceptable,0
109,Murray,13,Remote Australia,0.0164582,Poor,Acceptable,0
110,New England and North West,11,Inner Regional Australia,0.4893147,Poor,Acceptable,0
110,New England and North West,12,Outer Regional Australia,0.4975775,Poor,Acceptable,0
110,New England and North West,13,Remote Australia,0.0131077,Poor,Acceptable,0
111,Newcastle and Lake Macquarie,10,Major Cities of Australia,0.989375,Good,Acceptable,0
111,Newcastle and Lake Macquarie,11,Inner Regional Australia,0.010625,Poor,Acceptable,0
112,Richmond - Tweed,10,Major Cities of Australia,0.2900262,Good,Acceptable,0
112,Richmond - Tweed,11,Inner Regional Australia,0.6995733,Poor,Acceptable,0
112,Richmond - Tweed,12,Outer Regional Australia,0.0104005,Poor,Acceptable,0
113,Riverina,11,Inner Regional Australia,0.5831807,Poor,Acceptable,0
113,Riverina,12,Outer Regional Australia,0.4053615,Poor,Acceptable,0
113,Riverina,13,Remote Australia,0.0114577,Poor,Acceptable,0
114,Southern Highlands and Shoalhaven,11,Inner Regional Australia,1,Poor,Acceptable,0
115,Sydney - Baulkham Hills and Hawkesbury,10,Major Cities of Australia,0.8751218,Good,Acceptable,0
115,Sydney - Baulkham Hills and Hawkesbury,11,Inner Regional Australia,0.1235982,Poor,Acceptable,0
115,Sydney - Baulkham Hills and Hawkesbury,12,Outer Regional Australia,0.00128,Poor,Acceptable,1
116,Sydney - Blacktown,10,Major Cities of Australia,1,Good,Acceptable,0
117,Sydney - City and Inner South,10,Major Cities of Australia,1,Good,Acceptable,0
118,Sydney - Eastern Suburbs,10,Major Cities of Australia,1,Good,Acceptable,0
119,Sydney - Inner South West,10,Major Cities of Australia,1,Good,Acceptable,0
120,Sydney - Inner West,10,Major Cities of Australia,1,Good,Acceptable,0
121,Sydney - North Sydney and Hornsby,10,Major Cities of Australia,0.9959623,Good,Acceptable,0
121,Sydney - North Sydney and Hornsby,11,Inner Regional Australia,0.0040377,Poor,Acceptable,1
122,Sydney - Northern Beaches,10,Major Cities of Australia,0.9987699,Good,Acceptable,0
122,Sydney - Northern Beaches,11,Inner Regional Australia,0.0012301,Poor,Acceptable,1
123,Sydney - Outer South West,10,Major Cities of Australia,0.8554046,Good,Acceptable,0
123,Sydney - Outer South West,11,Inner Regional Australia,0.1445954,Poor,Acceptable,0
124,Sydney - Outer West and Blue Mountains,10,Major Cities of Australia,0.9511771,Good,Acceptable,0
124,Sydney - Outer West and Blue Mountains,11,Inner Regional Australia,0.0488229,Poor,Acceptable,0
125,Sydney - Parramatta,10,Major Cities of Australia,1,Good,Acceptable,0
126,Sydney - Ryde,10,Major Cities of Australia,1,Good,Acceptable,0
127,Sydney - South West,10,Major Cities of Australia,0.9961798,Good,Acceptable,0
127,Sydney - South West,11,Inner Regional Australia,0.0038202,Poor,Acceptable,1
128,Sydney - Sutherland,10,Major Cities of Australia,0.9858388,Good,Acceptable,0
128,Sydney - Sutherland,11,Inner Regional Australia,0.0141612,Poor,Acceptable,0
197,Migratory - Offshore - Shipping (NSW),15,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199,No usual address (NSW),19,No usual address (NSW),1,Good,Good,0
201,Ballarat,21,Inner Regional Australia,0.9964819,Acceptable,Acceptable,0
201,Ballarat,22,Outer Regional Australia,0.0035181,Poor,Acceptable,1
202,Bendigo,21,Inner Regional Australia,0.9727215,Acceptable,Acceptable,0
202,Bendigo,22,Outer Regional Australia,0.0272785,Poor,Acceptable,0
203,Geelong,20,Major Cities of Australia,0.6533337,Good,Acceptable,0
203,Geelong,21,Inner Regional Australia,0.3466663,Acceptable,Acceptable,0
204,Hume,21,Inner Regional Australia,0.871731,Acceptable,Acceptable,0
204,Hume,22,Outer Regional Australia,0.128269,Poor,Acceptable,0
205,Latrobe - Gippsland,21,Inner Regional Australia,0.8101183,Acceptable,Acceptable,0
205,Latrobe - Gippsland,22,Outer Regional Australia,0.1873183,Poor,Acceptable,0
205,Latrobe - Gippsland,23,Remote Australia,0.0025634,Poor,Acceptable,1
206,Melbourne - Inner,20,Major Cities of Australia,1,Good,Acceptable,0
207,Melbourne - Inner East,20,Major Cities of Australia,1,Good,Acceptable,0
208,Melbourne - Inner South,20,Major Cities of Australia,1,Good,Acceptable,0
209,Melbourne - North East,20,Major Cities of Australia,0.9733605,Good,Acceptable,0
209,Melbourne - North East,21,Inner Regional Australia,0.0266395,Acceptable,Acceptable,0
210,Melbourne - North West,20,Major Cities of Australia,0.9206794,Good,Acceptable,0
210,Melbourne - North West,21,Inner Regional Australia,0.0793206,Acceptable,Acceptable,0
211,Melbourne - Outer East,20,Major Cities of Australia,0.9373123,Good,Acceptable,0
211,Melbourne - Outer East,21,Inner Regional Australia,0.0626877,Acceptable,Acceptable,0
212,Melbourne - South East,20,Major Cities of Australia,0.9752452,Good,Acceptable,0
212,Melbourne - South East,21,Inner Regional Australia,0.0247548,Acceptable,Acceptable,0
213,Melbourne - West,20,Major Cities of Australia,0.9927301,Good,Acceptable,0
213,Melbourne - West,21,Inner Regional Australia,0.0072699,Acceptable,Acceptable,1
214,Mornington Peninsula,20,Major Cities of Australia,0.9816667,Good,Acceptable,0
214,Mornington Peninsula,21,Inner Regional Australia,0.0183333,Acceptable,Acceptable,0
215,North West,21,Inner Regional Australia,0.1088768,Acceptable,Acceptable,0
215,North West,22,Outer Regional Australia,0.8747476,Poor,Acceptable,0
215,North West,23,Remote Australia,0.0163756,Poor,Acceptable,0
216,Shepparton,21,Inner Regional Australia,0.9891984,Acceptable,Acceptable,0
216,Shepparton,22,Outer Regional Australia,0.0108016,Poor,Acceptable,0
217,Warrnambool and South West,21,Inner Regional Australia,0.7285084,Acceptable,Acceptable,0
217,Warrnambool and South West,22,Outer Regional Australia,0.2714916,Poor,Acceptable,0
297,Migratory - Offshore - Shipping (Vic.),25,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
299,No usual address (Vic.),29,No usual address (Vic.),1,Good,Good,0
301,Brisbane - East,30,Major Cities of Australia,0.955454,Good,Acceptable,0
301,Brisbane - East,31,Inner Regional Australia,0.0191062,Poor,Acceptable,0
301,Brisbane - East,32,Outer Regional Australia,0.0163947,Acceptable,Acceptable,0
301,Brisbane - East,33,Remote Australia,0.009045,Poor,Acceptable,1
302,Brisbane - North,30,Major Cities of Australia,1,Good,Acceptable,0
303,Brisbane - South,30,Major Cities of Australia,1,Good,Acceptable,0
304,Brisbane - West,30,Major Cities of Australia,0.9982886,Good,Acceptable,0
304,Brisbane - West,31,Inner Regional Australia,0.0017114,Poor,Acceptable,1
305,Brisbane Inner City,30,Major Cities of Australia,1,Good,Acceptable,0
306,Cairns,32,Outer Regional Australia,0.9847081,Acceptable,Acceptable,0
306,Cairns,33,Remote Australia,0.0152715,Poor,Acceptable,0
306,Cairns,34,Very Remote Australia,2.04E-05,Poor,Acceptable,1
307,Darling Downs - Maranoa,31,Inner Regional Australia,0.5007872,Poor,Acceptable,0
307,Darling Downs - Maranoa,32,Outer Regional Australia,0.3987689,Acceptable,Acceptable,0
307,Darling Downs - Maranoa,33,Remote Australia,0.0828312,Poor,Acceptable,0
307,Darling Downs - Maranoa,34,Very Remote Australia,0.0176127,Poor,Acceptable,0
308,Central Queensland,31,Inner Regional Australia,0.7587006,Poor,Acceptable,0
308,Central Queensland,32,Outer Regional Australia,0.1955687,Acceptable,Acceptable,0
308,Central Queensland,33,Remote Australia,0.0448821,Poor,Acceptable,0
308,Central Queensland,34,Very Remote Australia,0.0008486,Poor,Acceptable,1
309,Gold Coast,30,Major Cities of Australia,0.9752923,Good,Acceptable,0
309,Gold Coast,31,Inner Regional Australia,0.0247077,Poor,Acceptable,0
310,Ipswich,30,Major Cities of Australia,0.8271011,Good,Acceptable,0
310,Ipswich,31,Inner Regional Australia,0.1728989,Poor,Acceptable,0
311,Logan - Beaudesert,30,Major Cities of Australia,0.9261352,Good,Acceptable,0
311,Logan - Beaudesert,31,Inner Regional Australia,0.0726779,Poor,Acceptable,0
311,Logan - Beaudesert,32,Outer Regional Australia,0.0011869,Acceptable,Acceptable,1
312,Mackay - Isaac - Whitsunday,31,Inner Regional Australia,0.4977923,Poor,Acceptable,0
312,Mackay - Isaac - Whitsunday,32,Outer Regional Australia,0.4345801,Acceptable,Acceptable,0
312,Mackay - Isaac - Whitsunday,33,Remote Australia,0.0619115,Poor,Acceptable,0
312,Mackay - Isaac - Whitsunday,34,Very Remote Australia,0.0057161,Poor,Acceptable,1
313,Moreton Bay - North,30,Major Cities of Australia,0.8555863,Good,Acceptable,0
