DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
114665194,114665194,1,Good,Good,0
114665195,114665195,1,Good,Good,0
114665196,114665196,1,Good,Good,0
114665197,114665197,1,Good,Good,0
114675226,114675226,1,Good,Good,0
114675227,114675227,1,Good,Good,0
114675228,114675228,1,Good,Good,0
114675229,114675229,1,Good,Good,0
114675230,114675230,1,Good,Good,0
114675231,114675231,1,Good,Good,0
114675232,114675232,1,Good,Good,0
114685210,114685210,1,Good,Good,0
114685211,114685211,1,Good,Good,0
114685212,114685212,1,Good,Good,0
114685213,114685213,1,Good,Good,0
114695449,114695449,1,Good,Good,0
114695450,114695450,1,Good,Good,0
114695451,114695451,1,Good,Good,0
114705431,114705431,1,Good,Good,0
114705432,114705432,1,Good,Good,0
114705433,114705433,1,Good,Good,0
114705434,114705434,1,Good,Good,0
114705435,114705435,1,Good,Good,0
114705436,114705436,1,Good,Good,0
114734043,117100006,1,Good,Good,0
114734044,117100001,1,Good,Good,0
114734045,117090002,1,Good,Good,0
114734046,117090003,1,Good,Good,0
114734047,117090004,1,Good,Good,0
114734048,117090001,1,Good,Good,0
114734049,117090005,1,Good,Good,0
114734050,117090006,1,Good,Good,0
114734051,117100002,0.1718303,Poor,Good,0
114734051,117100003,0.083805,Poor,Good,0
114734051,117100004,4.00E-07,Poor,Good,1
114734051,117100005,0.7443643,Poor,Good,0
114734052,117090007,1,Good,Good,0
114754092,114754092,1,Good,Good,0
114763954,117120002,1,Acceptable,Good,0
114763955,117110002,1,Good,Good,0
114763956,117120003,1,Good,Good,0
114763957,117120001,0.9273687,Good,Good,0
114763957,117120002,0.0726313,Acceptable,Good,0
114763958,117110001,0.9413486,Good,Good,0
114763958,117120002,0.0586514,Acceptable,Good,0
114763959,117120004,1,Good,Good,0
114763960,117110003,1,Good,Good,0
114763961,117120005,1,Good,Good,0
114763962,117110004,1,Good,Good,0
114773995,114773995,1,Good,Good,0
114773996,114773996,1,Good,Good,0
114773997,114773997,1,Good,Good,0
114773998,114773998,1,Good,Good,0
114773999,114774006,0.0118827,Poor,Good,0
114773999,114774007,0.9288216,Good,Good,0
114773999,114774008,0.0592957,Poor,Good,0
114774000,114774000,1,Good,Good,0
114774001,114774001,1,Good,Good,0
114774002,114774002,1,Good,Good,0
114774003,114774003,1,Good,Good,0
114774004,114774004,1,Good,Good,0
114774005,114774005,1,Good,Good,0
114780001,114780001,1,Good,Good,0
114783975,114783975,1,Good,Good,0
114783976,114783976,1,Good,Good,0
114783977,114783977,1,Good,Good,0
114783979,114783979,1,Good,Good,0
114783980,114783980,1,Good,Good,0
114783982,114783982,1,Good,Good,0
114793934,114793934,1,Good,Good,0
114793935,114793935,1,Good,Good,0
114793936,114793936,1,Good,Good,0
114793937,114793937,1,Good,Good,0
114793938,114793938,1,Good,Good,0
114793939,114793939,1,Good,Good,0
114793940,114793940,1,Good,Good,0
114793941,114793941,1,Good,Good,0
114803871,114803871,1,Good,Good,0
114803872,114803872,1,Good,Good,0
114803873,114803873,1,Good,Good,0
114803874,114803874,1,Good,Good,0
114803875,114803875,1,Good,Good,0
114803876,114803876,1,Good,Good,0
114803877,114803877,1,Good,Good,0
114803878,114803878,1,Good,Good,0
114813891,114813891,1,Good,Good,0
114813892,114813892,1,Good,Good,0
114813893,114813893,1,Good,Good,0
114813894,114813894,1,Good,Good,0
114813895,114813895,1,Good,Good,0
114813896,114813896,1,Good,Good,0
114813897,114813897,1,Good,Good,0
114813898,114813898,1,Good,Good,0
114813899,114813899,1,Good,Good,0
114813900,114813900,1,Good,Good,0
114813901,114813901,1,Good,Good,0
114820001,117150001,1,Poor,Good,0
114823778,117150002,1,Good,Good,0
114823779,117130001,1,Good,Good,0
114823780,117130002,1,Good,Good,0
114823782,117130003,1,Good,Good,0
114823783,117130004,1,Good,Good,0
114823784,117130005,1,Good,Good,0
114823785,117150003,1,Good,Good,0
114823786,117150004,1,Good,Good,0
114823787,117150005,1,Good,Good,0
114823788,117150006,1,Good,Good,0
114833914,114833914,1,Good,Good,0
114833915,114833915,1,Good,Good,0
114833916,114833916,1,Good,Good,0
114833917,114833917,1,Good,Good,0
114833918,114833918,1,Good,Good,0
114833919,114833919,1,Good,Good,0
114833920,114833920,1,Good,Good,0
114833921,114833921,1,Good,Good,0
114840001,114840001,1,Good,Good,0
114843817,114843817,1,Good,Good,0
114843818,114843818,1,Good,Good,0
114843820,114843820,1,Good,Good,0
114843822,114843822,1,Good,Good,0
114843823,114843823,1,Good,Good,0
114853836,117140002,1,Good,Good,0
114853837,117140003,1,Good,Good,0
114853838,117140004,1,Good,Good,0
114853839,117140005,1,Good,Good,0
114853840,117140006,1,Good,Good,0
114853841,117140007,1,Good,Good,0
114853842,117140008,1,Good,Good,0
114853843,117160002,1,Good,Good,0
114853844,117140009,1,Good,Good,0
114853845,117140001,0.4227401,Poor,Good,0
114853845,117160001,0.5772599,Poor,Good,0
114863801,114863801,1,Good,Good,0
114863802,114863802,1,Good,Good,0
114863803,114863803,1,Good,Good,0
114863804,114863804,1,Good,Good,0
114873858,114873858,1,Good,Good,0
114893722,114893722,1,Good,Good,0
114893723,114893723,1,Good,Good,0
114893724,114893724,1,Good,Good,0
114893725,114893725,1,Good,Good,0
114893726,114893726,1,Good,Good,0
114893727,114893727,1,Good,Good,0
114893728,114893728,1,Good,Good,0
114893729,114893729,1,Good,Good,0
114893730,114893730,1,Good,Good,0
114893731,114893731,1,Good,Good,0
114893732,114893732,1,Good,Good,0
114893733,114893733,1,Good,Good,0
114900001,114900001,1,Good,Good,0
114903707,114903707,1,Good,Good,0
114903708,114903708,1,Good,Good,0
114903709,114903709,1,Good,Good,0
114910001,114910001,1,Good,Good,0
114913683,114913683,1,Good,Good,0
114913684,114913684,1,Good,Good,0
114913685,114913685,1,Good,Good,0
114913686,114913686,1,Good,Good,0
114913687,114913687,1,Good,Good,0
114913688,114913688,1,Good,Good,0
114913689,114913689,1,Good,Good,0
114913690,114913690,1,Good,Good,0
114913691,114913691,1,Good,Good,0
114913692,114913692,1,Good,Good,0
114920001,117190006,1,Good,Good,0
114920002,117190001,0.3333333,Poor,Good,0
114920002,117190002,0.3333333,Poor,Good,0
114920002,117190003,0.3333333,Poor,Good,0
114923747,117180001,1,Good,Good,0
114923748,117180002,1,Good,Good,0
114923749,117180003,1,Good,Good,0
114923750,117190007,1,Good,Good,0
114923751,117190008,1,Good,Good,0
114923752,117190009,1,Good,Good,0
114923753,117180004,1,Good,Good,0
114923754,117180005,1,Good,Good,0
114923755,117190010,1,Good,Good,0
114923756,117170015,0.2140794,Poor,Good,0
114923756,117170016,0.0771009,Poor,Good,0
114923756,117190004,0.4552254,Poor,Good,0
114923756,117190005,0.2535943,Poor,Good,0
114923757,117170013,0.9455258,Good,Good,0
114923757,117170014,0.0544742,Poor,Good,0
114923758,117170017,1,Good,Good,0
114923759,117170018,1,Good,Good,0
114923760,117170011,0.6248092,Poor,Good,0
114923760,117170012,0.3751908,Poor,Good,0
114923761,117170003,0.7066681,Poor,Good,0
114923761,117170004,0.2933319,Poor,Good,0
114923762,117170005,0.9966623,Good,Good,0
114923762,117170006,0.0033377,Poor,Good,1
114923763,117170007,0.0148102,Poor,Good,0
114923763,117170008,0.0718156,Poor,Good,0
114923763,117170009,0.9133669,Good,Good,0
114923763,117170010,7.40E-06,Poor,Good,1
114923764,117170019,1,Good,Good,0
114923765,117170001,0.3502082,Poor,Good,0
114923765,117170002,0.6497918,Poor,Good,0
114933639,114933639,1,Good,Good,0
114933640,114933640,1,Good,Good,0
114933641,114933641,1,Good,Good,0
114933642,114933642,1,Good,Good,0
114933643,114933643,1,Good,Good,0
114933644,114933644,1,Good,Good,0
114933645,114933645,1,Good,Good,0
114933646,114933646,1,Good,Good,0
114933647,114933647,1,Good,Good,0
114940001,114940001,1,Good,Good,0
114940002,114940002,1,Good,Good,0
114943625,114943625,1,Good,Good,0
114943626,114943626,1,Good,Good,0
114953442,117210001,1,Good,Good,0
114953443,117210002,1,Good,Good,0
114953444,117200001,1,Good,Good,0
114953445,117210003,1,Good,Good,0
114953446,117210004,1,Good,Good,0
114953447,117200002,1,Good,Good,0
114953448,117210005,1,Good,Good,0
114953449,117200003,1,Good,Good,0
114953450,117210006,1,Good,Good,0
114953451,117200004,1,Good,Good,0
114953452,117200005,1,Good,Good,0
114960001,114960001,1,Good,Good,0
114960002,114960002,1,Good,Good,0
114963422,114963422,1,Good,Good,0
114963423,114963423,1,Good,Good,0
114963424,114963424,1,Good,Good,0
114963425,114963425,1,Good,Good,0
114963426,114963426,1,Good,Good,0
114963427,114963427,1,Good,Good,0
114963428,114963428,1,Good,Good,0
114963429,114963429,1,Good,Good,0
114973465,117220001,1,Good,Good,0
114973466,117220002,1,Good,Good,0
114973467,117220003,1,Good,Good,0
114973468,117230001,1,Good,Good,0
114973469,117230002,1,Good,Good,0
114973470,117220004,1,Good,Good,0
114973471,117230003,1,Good,Good,0
114973472,117230004,1,Good,Good,0
114973473,117230005,1,Good,Good,0
114973474,117230006,1,Good,Good,0
114973475,117230007,1,Good,Good,0
114973476,117230008,1,Good,Good,0
114980001,114980001,1,Good,Good,0
114980002,114980002,1,Good,Good,0
114983588,114983588,1,Good,Good,0
114983589,114983589,1,Good,Good,0
114983590,114983590,1,Good,Good,0
114983591,114983591,1,Good,Good,0
114983592,114983592,1,Good,Good,0
114983593,114983593,1,Good,Good,0
114993607,114993607,1,Good,Good,0
114993608,114993608,1,Good,Good,0
114993609,114993609,1,Good,Good,0
114993610,114993610,1,Good,Good,0
114993611,114993611,1,Good,Good,0
115000001,115000001,1,Good,Good,0
115000002,115000002,1,Good,Good,0
115003511,115003511,1,Good,Good,0
115003512,115003512,1,Good,Good,0
115003513,115003513,1,Good,Good,0
115003514,115003514,1,Good,Good,0
115003515,115003515,1,Good,Good,0
115003516,115003516,1,Good,Good,0
115003518,115003518,1,Good,Good,0
115003520,115003520,1,Good,Good,0
115003521,115003530,0,Poor,Good,1
115003521,115003531,1,Good,Good,0
115003522,115003522,1,Good,Good,0
115003524,115003524,1,Good,Good,0
115003525,115003525,1,Good,Good,0
115003526,115003526,1,Good,Good,0
115003527,115003527,1,Good,Good,0
115003528,115003528,1,Good,Good,0
115003529,115003529,1,Good,Good,0
115013569,115013569,1,Good,Good,0
115013570,115013570,1,Good,Good,0
115013571,115013571,1,Good,Good,0
115013572,115013572,1,Good,Good,0
115013573,115013573,1,Good,Good,0
115013574,115013574,1,Good,Good,0
115013575,115013575,1,Good,Good,0
115030001,115030001,1,Good,Good,0
115030002,115030002,1,Good,Good,0
115033490,115033490,1,Good,Good,0
115033491,115033491,1,Good,Good,0
115033492,115033492,1,Good,Good,0
115033493,115033493,1,Good,Good,0
115033494,115033494,1,Good,Good,0
115033495,115033495,1,Good,Good,0
115033496,115033496,1,Good,Good,0
115033497,115033497,1,Good,Good,0
115044190,115044190,1,Good,Good,0
115044191,115044191,1,Good,Good,0
115044192,115044192,1,Good,Good,0
115044193,115044193,1,Good,Good,0
115050001,115050001,1,Good,Good,0
115050002,115050002,1,Good,Good,0
115054105,115054105,1,Good,Good,0
115054106,115054106,1,Good,Good,0
115054107,115054107,1,Good,Good,0
115054108,115054108,1,Good,Good,0
115054109,115054109,1,Good,Good,0
115054110,115054110,1,Good,Good,0
115054112,115054112,1,Good,Good,0
115054114,115054114,1,Good,Good,0
115054115,115054115,1,Good,Good,0
115060001,117030002,0.0070686,Good,Good,1
115060001,117280002,0.9929314,Good,Good,0
115060002,117260003,0.9775118,Good,Good,0
115060002,117290001,0.0224882,Poor,Good,0
115060003,117270001,0.797738,Acceptable,Good,0
115060003,117280001,0.202262,Poor,Good,0
115060004,117280005,1,Good,Good,0
115060005,117280004,0.000167,Poor,Good,1
115060005,117290001,0.0002783,Poor,Good,1
115060005,117290002,0.2823036,Poor,Good,0
115060005,117290003,0.1812856,Poor,Good,0
115060005,117290004,0.0030275,Poor,Good,1
115060005,117290005,0.532938,Poor,Good,0
115060006,117280006,1,Good,Good,0
115060007,117280007,1,Good,Good,0
115060008,117280008,1,Good,Good,0
115060009,117270002,1,Good,Good,0
115064128,117260004,1,Good,Good,0
115064131,117260001,0.8042578,Acceptable,Good,0
115064131,117260002,0.1957422,Poor,Good,0
115064132,117280003,0.9837153,Good,Good,0
115064132,117280004,0.0162847,Poor,Good,0
115064133,117280009,1,Good,Good,0
115094271,115094271,1,Good,Good,0
115094272,115094272,1,Good,Good,0
115094273,115094273,1,Good,Good,0
115094274,115094274,1,Good,Good,0
115094275,115094275,1,Good,Good,0
115104225,115104225,1,Good,Good,0
115104226,115104226,1,Good,Good,0
115104227,115104227,1,Good,Good,0
115104228,115104228,1,Good,Good,0
115104229,115104229,1,Good,Good,0
115110001,115110001,1,Good,Good,0
115110002,115110002,1,Good,Good,0
115114406,115114406,1,Good,Good,0
115114408,115114408,1,Good,Good,0
115114409,115114409,1,Good,Good,0
115114410,115114410,1,Good,Good,0
115114411,115114411,1,Good,Good,0
115114412,115114412,1,Good,Good,0
115114413,115114413,1,Good,Good,0
115114414,115114414,1,Good,Good,0
115114415,115114415,1,Good,Good,0
115124355,115124355,1,Good,Good,0
115124356,115124356,1,Good,Good,0
115124357,115124357,1,Good,Good,0
115124358,115124358,1,Good,Good,0
115124359,115124359,1,Good,Good,0
115130001,115130001,1,Good,Good,0
115130002,115130002,1,Good,Good,0
115130003,115130003,1,Good,Good,0
115130004,115130004,1,Good,Good,0
115134372,115134372,1,Good,Good,0
115134373,115134373,1,Good,Good,0
115134375,115134375,1,Good,Good,0
115144257,115144257,1,Good,Good,0
115144258,115144258,1,Good,Good,0
115154389,115154389,1,Good,Good,0
115154390,115154390,1,Good,Good,0
115154391,115154391,1,Good,Good,0
115154392,115154392,1,Good,Good,0
115154393,115154393,1,Good,Good,0
115164338,115164338,1,Good,Good,0
115164339,115164339,1,Good,Good,0
115164340,115164340,1,Good,Good,0
115164341,115164341,1,Good,Good,0
115164342,115164342,1,Good,Good,0
115174288,115174288,1,Good,Good,0
115174289,115174289,1,Good,Good,0
115174290,115174290,1,Good,Good,0
115184206,115184206,1,Good,Good,0
115184207,115184207,1,Good,Good,0
115184208,115184208,1,Good,Good,0
115184209,115184209,1,Good,Good,0
115184210,115184210,1,Good,Good,0
115184211,115184211,1,Good,Good,0
115184212,115184212,1,Good,Good,0
115194303,115194303,1,Good,Good,0
115194304,115194304,1,Good,Good,0
115194305,115194305,1,Good,Good,0
115194306,115194306,1,Good,Good,0
115194307,115194307,1,Good,Good,0
115194308,115194308,1,Good,Good,0
115194309,115194309,1,Good,Good,0
115204322,115204322,1,Good,Good,0
115204323,115204323,1,Good,Good,0
115204324,115204324,1,Good,Good,0
115204325,115204325,1,Good,Good,0
115214242,115214247,0.0159236,Poor,Good,0
115214242,115214248,0.9840764,Good,Good,0
115214243,115214245,0.0014225,Poor,Good,1
115214243,115214246,0.9985775,Good,Good,0
115214244,115214244,1,Good,Good,0
115224477,115224477,1,Good,Good,0
115224478,115224478,1,Good,Good,0
115224479,115224479,1,Good,Good,0
115224480,115224480,1,Good,Good,0
115224481,115224481,1,Good,Good,0
115224482,115224482,1,Good,Good,0
115234495,115234495,1,Good,Good,0
115234496,115234496,1,Good,Good,0
115234497,115234497,1,Good,Good,0
115234498,115234498,1,Good,Good,0
115234499,115234499,1,Good,Good,0
115234500,115234500,1,Good,Good,0
115234501,115234501,1,Good,Good,0
115234502,115234502,1,Good,Good,0
115234503,115234503,1,Good,Good,0
115234504,115234504,1,Good,Good,0
115234505,115234505,1,Good,Good,0
115234506,115234506,1,Good,Good,0
115244519,115244519,1,Good,Good,0
115244520,115244520,1,Good,Good,0
115244521,115244521,1,Good,Good,0
115244522,115244522,1,Good,Good,0
115244523,115244523,1,Good,Good,0
115244524,115244524,1,Good,Good,0
115244525,115244525,1,Good,Good,0
115244526,115244526,1,Good,Good,0
115294681,115294681,1,Good,Good,0
115294682,115294682,1,Good,Good,0
115294683,115294683,1,Good,Good,0
115294684,115294684,1,Good,Good,0
115294685,115294685,1,Good,Good,0
115304698,115304698,1,Good,Good,0
115304699,115304699,1,Good,Good,0
115304700,115304700,1,Good,Good,0
115304701,115304701,1,Good,Good,0
115304702,115304702,1,Good,Good,0
115304703,115304703,1,Good,Good,0
115304704,115304704,1,Good,Good,0
115314662,115314662,1,Good,Good,0
115314663,115314663,1,Good,Good,0
115314664,115314664,1,Good,Good,0
115314665,115314665,1,Good,Good,0
115314666,115314666,1,Good,Good,0
115314667,115314667,1,Good,Good,0
115314668,115314668,0.9979781,Good,Good,0
115314668,,0.0020219,Poor,Good,4
115334594,115334594,1,Good,Good,0
115334595,115334595,1,Good,Good,0
115334596,115334596,1,Good,Good,0
115344559,115344559,1,Good,Good,0
115344560,115344560,1,Good,Good,0
115344561,115344561,1,Good,Good,0
115354539,115354539,1,Good,Good,0
115354540,115354540,1,Good,Good,0
115354541,115354541,1,Good,Good,0
115354542,115354542,1,Good,Good,0
115354543,115354543,1,Good,Good,0
115354544,115354544,1,Good,Good,0
115354545,115354545,1,Good,Good,0
115354546,115354546,1,Good,Good,0
115364609,115364609,1,Good,Good,0
115364610,115364610,1,Good,Good,0
115364611,115364611,1,Good,Good,0
115364612,115364612,1,Good,Good,0
115364613,115364613,1,Good,Good,0
115364614,115364614,1,Good,Good,0
115364615,115364615,1,Good,Good,0
115374648,115374648,1,Good,Good,0
115374649,115374649,1,Good,Good,0
115380001,115380001,1,Good,Good,0
115380002,115380002,1,Good,Good,0
115384628,115384628,1,Good,Good,0
115384629,115384629,1,Good,Good,0
115384630,115384630,1,Good,Good,0
115384632,115384632,1,Good,Good,0
115384633,115384633,1,Good,Good,0
115384634,115384634,1,Good,Good,0
115384635,115384635,1,Good,Good,0
115390001,115390004,0.2662792,Poor,Good,0
115390001,115390005,0.7337208,Poor,Good,0
115390002,115390002,1,Good,Good,0
115390003,115390003,1,Good,Good,0
115400001,115400001,1,Good,Good,0
115400002,115400002,1,Good,Good,0
115400003,115400003,1,Good,Good,0
115400004,115400004,1,Good,Good,0
115400005,115400005,1,Good,Good,0
115400006,115400006,1,Good,Good,0
115400007,115400007,1,Good,Good,0
115410001,115410001,1,Good,Good,0
115410002,115410002,1,Good,Good,0
115420001,115420001,1,Good,Good,0
115420002,115420002,1,Good,Good,0
115420003,115420003,1,Good,Good,0
115420004,115420004,1,Good,Good,0
115420005,115420005,1,Good,Good,0
115420006,115420006,1,Good,Good,0
115420007,115420007,1,Good,Good,0
115420008,115420008,1,Good,Good,0
115430001,115430001,1,Good,Good,0
115430002,115430002,1,Good,Good,0
115440001,115440001,1,Good,Good,0
115440002,115440002,1,Good,Good,0
115440003,115440003,1,Good,Good,0
115440004,115440004,1,Good,Good,0
115450001,115450001,1,Good,Good,0
115450002,115450002,1,Good,Good,0
115450003,115450003,1,Good,Good,0
115450004,115450004,1,Good,Good,0
115450005,115450005,1,Good,Good,0
115460001,115460001,1,Good,Good,0
115460002,115460002,1,Good,Good,0
115460003,115460003,1,Good,Good,0
115460004,115460004,1,Good,Good,0
115460005,115460005,1,Good,Good,0
115470001,115470001,1,Good,Good,0
115470002,115470002,1,Good,Good,0
115480001,115480001,1,Good,Good,0
115480002,115480002,1,Good,Good,0
115480003,115480003,1,Good,Good,0
115480004,115480004,1,Good,Good,0
115480005,115480005,1,Good,Good,0
115490001,115490001,1,Good,Good,0
115490002,115490002,1,Good,Good,0
115490003,115490003,1,Good,Good,0
115490004,115490004,1,Good,Good,0
115490005,115490005,1,Good,Good,0
115490006,115490006,1,Good,Good,0
115500001,115500001,0.1066204,Poor,Good,0
115500001,115500002,0.507475,Poor,Good,0
115500001,115500003,0.3859046,Poor,Good,0
115510001,115510001,1,Good,Good,0
115520001,115520001,0.5379553,Poor,Good,0
115520001,115520002,0.4620447,Poor,Good,0
115530001,115530001,1,Good,Good,0
115530002,115530002,1,Good,Good,0
115530003,115530003,1,Good,Good,0
115530004,115530004,1,Good,Good,0
115530005,115530005,1,Good,Good,0
115540001,115540001,1,Good,Good,0
115540002,115540002,1,Good,Good,0
115540003,115540003,1,Good,Good,0
115550001,115550001,1,Good,Good,0
115550002,115550002,1,Good,Good,0
115550003,115550003,1,Good,Good,0
115550004,115550004,1,Good,Good,0
115550005,115550005,1,Good,Good,0
115550006,115550006,1,Good,Good,0
115560001,115560001,1,Good,Good,0
115560002,115560002,1,Good,Good,0
115560003,115560003,1,Good,Good,0
115560004,115560004,1,Good,Good,0
115560005,115560005,1,Good,Good,0
115570001,115570001,1,Good,Good,0
115570002,115570002,1,Good,Good,0
115580001,115580001,1,Good,Good,0
115580002,115580002,1,Good,Good,0
115580003,115580003,1,Good,Good,0
115580004,115580004,1,Good,Good,0
115580005,115580005,1,Good,Good,0
115580006,115580006,1,Good,Good,0
115580007,115580007,1,Good,Good,0
115580008,115580008,1,Good,Good,0
115590001,116210001,1,Good,Good,0
115590002,116210002,1,Good,Good,0
115590003,116220001,1,Good,Good,0
115590004,116220002,1,Good,Good,0
115590005,116210003,1,Good,Good,0
115590006,116210004,1,Good,Good,0
115590007,116210005,1,Good,Good,0
115600001,115600001,1,Good,Good,0
115600002,115600002,1,Good,Good,0
115600003,115600003,1,Good,Good,0
115600004,115600004,1,Good,Good,0
115610001,115610001,1,Good,Good,0
115610002,115610002,1,Good,Good,0
115610003,115610003,1,Good,Good,0
115610004,115610004,1,Good,Good,0
115610005,115610005,1,Good,Good,0
115620001,115620001,1,Good,Good,0
115630001,115630001,1,Good,Good,0
115630002,115630002,1,Good,Good,0
115630003,115630003,1,Good,Good,0
115630004,115630004,1,Good,Good,0
115630005,115630005,1,Good,Good,0
115630006,115630006,1,Good,Good,0
115630007,115630007,1,Good,Good,0
115630008,115630008,1,Good,Good,0
115630009,115630009,1,Good,Good,0
115640001,115640001,1,Good,Good,0
115640002,115640002,1,Good,Good,0
115640003,115640003,1,Good,Good,0
115640004,115640004,1,Good,Good,0
115640005,115640005,1,Good,Good,0
115640006,115640006,1,Good,Good,0
115650001,115650001,1,Good,Good,0
115650002,115650002,1,Good,Good,0
115650003,115650003,1,Good,Good,0
115650004,115650004,1,Good,Good,0
115650005,115650005,1,Good,Good,0
115650006,115650006,1,Good,Good,0
115660001,115660001,1,Good,Good,0
115660002,115660002,1,Good,Good,0
115660003,115660003,1,Good,Good,0
115660004,115660004,1,Good,Good,0
115670001,115670001,1,Good,Good,0
115670002,115670002,1,Good,Good,0
115670003,115670003,1,Good,Good,0
115670004,115670004,1,Good,Good,0
115680001,115680001,1,Good,Good,0
115680002,115680002,1,Good,Good,0
115680003,115680003,1,Good,Good,0
115680004,115680004,1,Good,Good,0
115690001,115690001,1,Good,Good,0
115690002,115690002,1,Good,Good,0
115690003,115690003,1,Good,Good,0
115690004,115690004,1,Good,Good,0
115690005,115690005,1,Good,Good,0
115690006,115690006,1,Good,Good,0
115700001,115700001,1,Good,Good,0
115700002,115700002,1,Good,Good,0
115700003,115700003,1,Good,Good,0
115700004,115700004,1,Good,Good,0
115700005,115700005,1,Good,Good,0
115700006,115700006,1,Good,Good,0
115700007,115700007,1,Good,Good,0
115710001,115710001,1,Good,Good,0
115710002,115710002,1,Good,Good,0
115710003,115710003,1,Good,Good,0
115710004,115710004,1,Good,Good,0
115710005,115710005,1,Good,Good,0
115720001,115720001,1,Good,Good,0
115720002,115720002,1,Good,Good,0
115720003,115720003,1,Good,Good,0
115720004,115720004,1,Good,Good,0
115720005,115720005,1,Good,Good,0
115720006,115720006,1,Good,Good,0
115720007,115720007,1,Good,Good,0
115730001,115730001,1,Good,Good,0
115730002,115730002,1,Good,Good,0
115730003,115730003,1,Good,Good,0
115730004,115730004,1,Good,Good,0
115730005,115730005,1,Good,Good,0
115730006,115730006,1,Good,Good,0
115740001,115740001,1,Good,Good,0
115740002,115740002,1,Good,Good,0
115750001,116800002,1,Good,Good,0
115750002,116800003,1,Good,Good,0
115750003,116800004,1,Good,Good,0
115750004,116800005,1,Good,Good,0
115750005,116800006,1,Good,Good,0
115750006,116800007,1,Good,Good,0
115750007,116810002,1,Good,Good,0
115750008,116810003,1,Good,Good,0
115750009,116800001,0.0206885,Good,Good,0
115750009,116810001,0.9793115,Good,Good,0
115750010,116810004,1,Good,Good,0
115750011,116800001,1,Good,Good,0
115750012,116810005,1,Good,Good,0
115750013,116800008,1,Good,Good,0
115750014,116810006,1,Good,Good,0
115760001,115760001,1,Good,Good,0
115760002,115760002,1,Good,Good,0
115770001,115770001,1,Good,Good,0
115770002,115770002,1,Good,Good,0
115770003,115770003,1,Good,Good,0
115770004,115770004,1,Good,Good,0
115770005,115770005,1,Good,Good,0
115770006,115770006,1,Good,Good,0
115770007,115770007,1,Good,Good,0
115780001,115780001,1,Good,Good,0
115780002,115780002,1,Good,Good,0
115780003,115780003,1,Good,Good,0
115780004,115780004,1,Good,Good,0
115780005,114033017,0.0051366,Good,Good,1
115780005,115780005,0.9948634,Good,Good,0
115790001,115790001,1,Good,Good,0
115790002,115790002,1,Good,Good,0
115790003,115790003,1,Good,Good,0
115800001,115800001,1,Good,Good,0
115800002,115800002,1,Good,Good,0
115800003,115800003,1,Good,Good,0
115810001,115810001,1,Good,Good,0
115810002,115810002,1,Good,Good,0
115810003,115810003,1,Good,Good,0
115810004,115810004,1,Good,Good,0
115810005,115810005,1,Good,Good,0
115810006,115810006,1,Good,Good,0
115810007,115810007,1,Good,Good,0
115810008,115810008,1,Good,Good,0
115810009,115810009,1,Good,Good,0
115820001,115820001,1,Good,Good,0
115820002,115820002,1,Good,Good,0
115820003,115820003,1,Good,Good,0
115820004,115820004,1,Good,Good,0
115820005,115820005,1,Good,Good,0
115820006,115820006,1,Good,Good,0
115820007,115820007,1,Good,Good,0
115830001,115830001,1,Good,Good,0
115830002,115830002,1,Good,Good,0
115830003,115830003,1,Good,Good,0
115830004,115830004,1,Good,Good,0
115830005,115830005,1,Good,Good,0
115840001,115840001,1,Good,Good,0
115840002,115840002,1,Good,Good,0
115840003,115840003,1,Good,Good,0
115850001,115850001,1,Good,Good,0
115850002,115850002,1,Good,Good,0
115860001,115860001,1,Good,Good,0
115860002,115860002,1,Good,Good,0
115860003,115860003,1,Good,Good,0
115860004,115860004,1,Good,Good,0
115860005,115860005,1,Good,Good,0
115860006,115860006,1,Good,Good,0
115860007,115860007,1,Good,Good,0
115860008,115860008,1,Good,Good,0
115860009,115860009,1,Good,Good,0
115870001,115870001,1,Good,Good,0
115870002,115870002,1,Good,Good,0
115870003,115870003,1,Good,Good,0
115880001,115880001,1,Good,Good,0
115880002,115880002,1,Good,Good,0
115880003,115880003,1,Good,Good,0
115880004,115880004,1,Good,Good,0
115880005,115880005,1,Good,Good,0
115880006,115880006,1,Good,Good,0
115890001,115890001,1,Good,Good,0
115890002,115890002,1,Good,Good,0
115890003,115890003,1,Good,Good,0
115890004,115890004,1,Good,Good,0
115890005,115890005,1,Good,Good,0
115900001,115900001,1,Good,Good,0
115900002,115900002,1,Good,Good,0
115910001,117240001,1,Good,Good,0
115910002,117240002,1,Good,Good,0
115910003,117240003,1,Good,Good,0
115910004,117240004,1,Good,Good,0
115910005,117240005,1,Good,Good,0
115910006,117240006,1,Good,Good,0
115910007,117240007,1,Good,Good,0
115910008,117250001,1,Good,Good,0
115910009,117240008,1,Good,Good,0
115910010,117240009,1,Good,Good,0
115910011,117250002,1,Good,Good,0
115910012,117250003,1,Good,Good,0
115910013,117250004,1,Good,Good,0
115920001,115920001,1,Good,Good,0
115930001,115930001,1,Good,Good,0
115930002,115930002,1,Good,Good,0
115940001,115940001,1,Good,Good,0
115940002,115940002,1,Good,Good,0
115940003,115940003,1,Good,Good,0
