DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110536496,110536496,1,Good,Good,0
110546509,110546509,1,Good,Good,0
110546510,110546510,1,Good,Good,0
110546511,110546511,1,Good,Good,0
110550001,110550001,1,Good,Good,0
110556343,110556343,1,Good,Good,0
110556344,110556344,1,Good,Good,0
110556345,110556345,1,Good,Good,0
110556348,110556348,1,Good,Good,0
110560001,110560001,1,Good,Good,0
110560002,110560002,1,Good,Good,0
110560003,110560003,1,Good,Good,0
110566361,110566361,1,Good,Good,0
110566362,110566362,1,Good,Good,0
110566363,110566363,1,Good,Good,0
110566365,110566365,1,Good,Good,0
110566366,110566366,1,Good,Good,0
110566367,110566367,1,Good,Good,0
110576327,110576327,1,Good,Good,0
110576328,110576328,1,Good,Good,0
110576329,110576329,1,Good,Good,0
110576330,110576330,1,Good,Good,0
110588281,116130002,1,Acceptable,Good,0
110588282,116120001,0.5962824,Poor,Good,0
110588282,116130001,0.4037176,Poor,Good,0
110588283,116120002,0.2025719,Poor,Good,0
110588283,116120003,0.3604727,Poor,Good,0
110588283,116120004,0.1868569,Poor,Good,0
110588283,116130002,0.2500985,Acceptable,Good,0
110598286,110590001,0.8142233,Acceptable,Good,0
110598286,110590002,0.1857767,Poor,Good,0
110608289,110608289,1,Good,Good,0
110608290,110608290,1,Good,Good,0
110608291,110608291,1,Good,Good,0
110608292,110608292,1,Good,Good,0
110618295,110618295,1,Good,Good,0
110618296,110618296,1,Good,Good,0
110618297,110618297,1,Good,Good,0
110628178,110628178,1,Good,Good,0
110628179,110628179,1,Good,Good,0
110628180,110628180,1,Good,Good,0
110628181,110628181,1,Good,Good,0
110628182,110628182,1,Good,Good,0
110638211,110638211,1,Good,Good,0
110648214,110648214,1,Good,Good,0
110648215,110648215,1,Good,Good,0
110648216,110648216,1,Good,Good,0
110648217,110648217,1,Good,Good,0
110648218,110648218,1,Good,Good,0
110648219,110648219,1,Good,Good,0
110658201,110658201,1,Good,Good,0
110658202,110658202,1,Good,Good,0
110658203,110658203,1,Good,Good,0
110668206,110668206,1,Good,Good,0
110668207,110668207,1,Good,Good,0
110668208,110668208,1,Good,Good,0
110678197,110678197,1,Good,Good,0
110678198,110678198,1,Good,Good,0
110688185,110688185,1,Good,Good,0
110688186,110688186,1,Good,Good,0
110688187,110688187,1,Good,Good,0
110688188,110688188,1,Good,Good,0
110698191,110698191,1,Good,Good,0
110698192,110698192,1,Good,Good,0
110698193,110698193,1,Good,Good,0
110698194,110698194,1,Good,Good,0
110708276,110708276,1,Good,Good,0
110708277,110708277,1,Good,Good,0
110708278,110708278,1,Good,Good,0
110718265,110718265,1,Good,Good,0
110718266,110718266,1,Good,Good,0
110718267,110718267,1,Good,Good,0
110718268,110718268,1,Good,Good,0
110718269,110718269,1,Good,Good,0
110718270,110718270,1,Good,Good,0
110728251,110720001,0.5587747,Poor,Good,0
110728251,110720002,0.4412253,Poor,Good,0
110738261,110738261,1,Good,Good,0
110738262,110738262,1,Good,Good,0
110748254,110748254,1,Good,Good,0
110748255,110748255,1,Good,Good,0
110748256,110748256,1,Good,Good,0
110748257,110748257,1,Good,Good,0
110748258,110748258,1,Good,Good,0
110758273,110758273,1,Good,Good,0
110768245,110768245,1,Good,Good,0
110768246,110768246,1,Good,Good,0
110768247,110768247,1,Good,Good,0
110768248,110768248,1,Good,Good,0
110778239,110778243,0.3136302,Poor,Good,0
110778239,110778244,0.4548882,Poor,Good,0
110778239,110778245,0.1869973,Poor,Good,0
110778239,110778246,0.0444843,Poor,Good,0
110778240,110778240,1,Good,Good,0
110778241,110778241,1,Good,Good,0
110778242,110778242,1,Good,Good,0
110788233,110788233,1,Good,Good,0
110788234,110788234,1,Good,Good,0
110788235,110788235,0.9999959,Good,Good,0
110788235,110788236,4.10E-06,Good,Good,1
110788236,110788236,1,Good,Good,0
110790001,110790001,1,Good,Good,0
110798224,110798224,1,Good,Good,0
110798225,110798225,1,Good,Good,0
110798226,110798226,1,Good,Good,0
110798227,110798227,1,Good,Good,0
110798228,110798228,1,Good,Good,0
110798229,110798229,1,Good,Good,0
110798230,110798230,1,Good,Good,0
110808417,110808417,1,Good,Good,0
110808418,110808418,1,Good,Good,0
110808419,110808421,0.1588565,Poor,Good,0
110808419,110808422,0.3262534,Poor,Good,0
110808419,110808423,0.5148901,Poor,Good,0
110808420,110808420,1,Good,Good,0
110818404,110818404,1,Good,Good,0
110818405,110818405,1,Good,Good,0
110818406,110818406,1,Good,Good,0
110818407,110818407,1,Good,Good,0
110818408,110818408,1,Good,Good,0
110818409,110818409,1,Good,Good,0
110818410,110818410,1,Good,Good,0
110818411,110818411,1,Good,Good,0
110818412,110818412,1,Good,Good,0
110818413,110818413,1,Good,Good,0
110818414,110818414,1,Good,Good,0
110828423,110828423,1,Good,Good,0
110828424,110828424,1,Good,Good,0
110828425,110828425,1,Good,Good,0
110828426,110828426,1,Good,Good,0
110828427,110828427,1,Good,Good,0
110838435,110838435,1,Good,Good,0
110838436,110838436,1,Good,Good,0
110838437,110838437,1,Good,Good,0
110848459,110848459,1,Good,Good,0
110848460,110848460,1,Good,Good,0
110848461,110848461,1,Good,Good,0
110858473,110858473,1,Good,Good,0
110858474,110858474,1,Good,Good,0
110858475,110858475,1,Good,Good,0
110858476,110858476,1,Good,Good,0
110868440,110868440,1,Good,Good,0
110868441,110868441,1,Good,Good,0
110878430,110878430,1,Good,Good,0
110878431,110878431,1,Good,Good,0
110878432,110878432,1,Good,Good,0
110888464,110888464,1,Good,Good,0
110888465,110888465,1,Good,Good,0
110888466,110888466,1,Good,Good,0
110898451,110898451,1,Good,Good,0
110898452,110898452,1,Good,Good,0
110898453,110898453,1,Good,Good,0
110898454,110898454,1,Good,Good,0
110898455,110898455,1,Good,Good,0
110898456,110898456,1,Good,Good,0
110908469,110908469,1,Good,Good,0
110908470,110908470,1,Good,Good,0
110918444,110918444,1,Good,Good,0
110918445,110918445,1,Good,Good,0
110918446,110918446,1,Good,Good,0
110918447,110918447,1,Good,Good,0
110918448,110918448,1,Good,Good,0
110920001,110920001,1,Good,Good,0
110920002,110920002,1,Good,Good,0
110928694,110928694,1,Good,Good,0
110928695,110928695,1,Good,Good,0
110938700,110938700,1,Good,Good,0
110938701,110938701,1,Good,Good,0
110948711,110948711,1,Good,Good,0
110948712,110948712,1,Good,Good,0
110958715,110958715,1,Good,Good,0
110958716,110958716,1,Good,Good,0
110968704,110968704,1,Good,Good,0
110968705,110968705,1,Good,Good,0
