CD_CODE_2006,CD_CODE_2006,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1011503,1011503,114,Farrer,1,Good,Good,0
1011504,1011504,114,Farrer,1,Good,Good,0
1011505,1011505,114,Farrer,1,Good,Good,0
1011506,1011506,114,Farrer,1,Good,Good,0
1011507,1011507,114,Farrer,1,Good,Good,0
1011508,1011508,114,Farrer,1,Good,Good,0
1011509,1011509,114,Farrer,1,Good,Good,0
1011510,1011510,114,Farrer,1,Good,Good,0
1011511,1011511,114,Farrer,1,Good,Good,0
1011512,1011512,114,Farrer,1,Good,Good,0
1011601,1011601,114,Farrer,1,Good,Good,0
1011602,1011602,114,Farrer,1,Good,Good,0
1011603,1011603,114,Farrer,1,Good,Good,0
1011604,1011604,114,Farrer,1,Good,Good,0
1011605,1011605,114,Farrer,1,Good,Good,0
1011606,1011606,114,Farrer,1,Good,Good,0
1011607,1011607,114,Farrer,1,Good,Good,0
1011608,1011608,114,Farrer,1,Good,Good,0
1011609,1011609,114,Farrer,1,Good,Good,0
1011610,1011610,114,Farrer,1,Good,Good,0
1011611,1011611,114,Farrer,1,Good,Good,0
1011612,1011612,114,Farrer,1,Good,Good,0
1011613,1011613,114,Farrer,1,Good,Good,0
1011701,1011701,114,Farrer,1,Good,Good,0
1011702,1011702,114,Farrer,1,Good,Good,0
1011703,1011703,114,Farrer,1,Good,Good,0
1011704,1011704,114,Farrer,1,Good,Good,0
1011705,1011705,114,Farrer,1,Good,Good,0
1011706,1011706,114,Farrer,1,Good,Good,0
1011707,1011707,114,Farrer,1,Good,Good,0
1011708,1011708,114,Farrer,1,Good,Good,0
1011801,1011801,114,Farrer,1,Good,Good,0
1011802,1011802,114,Farrer,1,Good,Good,0
1011803,1011803,114,Farrer,1,Good,Good,0
1011804,1011804,114,Farrer,1,Good,Good,0
1011805,1011805,114,Farrer,1,Good,Good,0
1011806,1011806,114,Farrer,1,Good,Good,0
1011807,1011807,114,Farrer,1,Good,Good,0
1011808,1011808,114,Farrer,1,Good,Good,0
1011809,1011809,114,Farrer,1,Good,Good,0
1011810,1011810,114,Farrer,1,Good,Good,0
1011811,1011811,114,Farrer,1,Good,Good,0
1011812,1011812,114,Farrer,1,Good,Good,0
1011901,1011901,114,Farrer,1,Good,Good,0
1011902,1011902,114,Farrer,1,Good,Good,0
1011903,1011903,114,Farrer,1,Good,Good,0
1011904,1011904,114,Farrer,1,Good,Good,0
1011905,1011905,114,Farrer,1,Good,Good,0
1011906,1011906,114,Farrer,1,Good,Good,0
1011907,1011907,114,Farrer,1,Good,Good,0
1011908,1011908,114,Farrer,1,Good,Good,0
1011909,1011909,114,Farrer,1,Good,Good,0
1011910,1011910,114,Farrer,1,Good,Good,0
1011911,1011911,114,Farrer,1,Good,Good,0
1011912,1011912,114,Farrer,1,Good,Good,0
1011913,1011913,114,Farrer,1,Good,Good,0
1012001,1012001,114,Farrer,1,Good,Good,0
1012002,1012002,114,Farrer,1,Good,Good,0
1012003,1012003,114,Farrer,1,Good,Good,0
1012004,1012004,114,Farrer,1,Good,Good,0
1012005,1012005,114,Farrer,1,Good,Good,0
1012006,1012006,114,Farrer,1,Good,Good,0
1012007,1012007,114,Farrer,1,Good,Good,0
1012008,1012008,114,Farrer,1,Good,Good,0
1012009,1012009,114,Farrer,1,Good,Good,0
1012101,1012101,114,Farrer,1,Good,Good,0
1012102,1012102,114,Farrer,1,Good,Good,0
1012103,1012103,114,Farrer,1,Good,Good,0
1012104,1012104,114,Farrer,1,Good,Good,0
1012105,1012105,114,Farrer,1,Good,Good,0
1012106,1012106,114,Farrer,1,Good,Good,0
1012201,1012201,114,Farrer,1,Good,Good,0
