ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10400405,Yamba - Surrounds,10400405,Yamba - Surrounds,1,Good,Good,0
10400501,Bellingen,10400501,Bellingen,1,Good,Good,0
10400502,Bowraville,10400502,Bowraville,1,Good,Good,0
10400503,Coffs Harbour,10400503,Coffs Harbour,1,Good,Good,0
10400504,Macksville,10400504,Macksville,1,Good,Good,0
10400505,Nambucca - Surrounds,10400505,Nambucca - Surrounds,1,Good,Good,0
10400506,Nambucca Heads,10400506,Nambucca Heads,1,Good,Good,0
10400507,Sawtell,10400507,Sawtell,1,Good,Good,0
10400601,Dungog,10400601,Dungog,1,Good,Good,0
10400602,Gloucester,10400602,Gloucester,1,Good,Good,0
10400701,Gosford - East,10400701,Gosford - East,1,Good,Good,0
10400702,Gosford - West,10400702,Gosford - West,1,Good,Good,0
10400801,Bulahdelah,10400801,Bulahdelah,1,Good,Good,0
10400802,Forster,10400802,Forster,1,Good,Good,0
10400803,Tuncurry,10400803,Tuncurry,1,Good,Good,0
10400901,Kempsey,10400901,Kempsey,1,Good,Good,0
10400902,Kempsey - Surrounds,10400902,Kempsey - Surrounds,1,Good,Good,0
10400903,Mirriwinni Gardens - Bellbrook,10400903,Mirriwinni Gardens - Bellbrook,1,Good,Good,0
10400904,Old Burnt - New Burnt Bridge - Greenhill,10400904,Old Burnt - New Burnt Bridge - Greenhill,1,Good,Good,0
10400905,South West Rocks,10400905,South West Rocks,1,Good,Good,0
10401001,Kyogle,10401001,Kyogle,1,Good,Good,0
10401002,Muli Muli - Woodenbong,10401002,Muli Muli - Woodenbong,1,Good,Good,0
10401101,Lake Macquarie - East,10402201,Lake Macquarie - East,1,Good,Good,0
10401102,Lake Macquarie - North,10402202,Lake Macquarie - North,1,Good,Good,0
10401103,Lake Macquarie - West,10402302,Wyong - South-West,0.0567609,Good,Good,0
10401103,Lake Macquarie - West,10402203,Lake Macquarie - West,0.9432391,Good,Good,0
10401201,Goonellabah,10401201,Goonellabah,1,Good,Good,0
10401202,Lismore - North,10401202,Lismore - North,1,Good,Good,0
10401203,Lismore - South,10401203,Lismore - South,1,Good,Good,0
10401204,Lismore - Surrounds,10401204,Lismore - Surrounds,1,Good,Good,0
10401301,Maitland,10401301,Maitland,1,Good,Good,0
10401401,Newcastle - Inner City,10401401,Newcastle - Inner City,1,Good,Good,0
10401402,Newcastle - Outer West,10401402,Newcastle - Outer West,1,Good,Good,0
10401403,Throsby,10401403,Throsby,1,Good,Good,0
10401501,Hastings,10401503,Wauchope,0.0162899,Good,Good,0
10401501,Hastings,10401501,Hastings,0.9837101,Good,Good,0
10401502,Port Macquarie,10401502,Port Macquarie,1,Good,Good,0
10401503,Wauchope,10401503,Wauchope,1,Good,Good,0
10401601,Karuah,10401601,Karuah,1,Good,Good,0
10401602,Medowie,10401602,Medowie,1,Good,Good,0
10401603,Nelson Bay,10401603,Nelson Bay,1,Good,Good,0
10401604,Port Stephens - Surrounds,10401604,Port Stephens - Surrounds,1,Good,Good,0
10401605,Raymond Terrace,10401605,Raymond Terrace,1,Good,Good,0
10401701,Casino,10401701,Casino,1,Good,Good,0
10401702,Coraki,10401702,Coraki,1,Good,Good,0
10401703,Richmond Valley exc. Casino,10401703,Richmond Valley exc. Casino,1,Good,Good,0
10401801,Singleton,10401801,Singleton,1,Good,Good,0
10401901,Purfleet,10401901,Purfleet,1,Good,Good,0
10401902,Taree,10401902,Taree,1,Good,Good,0
10401903,Taree - Surrounds,10401903,Taree - Surrounds,1,Good,Good,0
10401904,Wingham,10401904,Wingham,1,Good,Good,0
10402001,Murwillumbah,10402001,Murwillumbah,1,Good,Good,0
10402002,Tweed Coast,10402002,Tweed Coast,1,Good,Good,0
10402003,Tweed Heads,10402003,Tweed Heads,1,Good,Good,0
