LOCALITY_PID,LOCALITY_NAME,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT659,THARWA,89399,Unincorporated ACT,1,Good,Good,0
ACT701,MITCHELL,89399,Unincorporated ACT,1,Good,Good,0
ACT706,NGUNNAWAL,89399,Unincorporated ACT,1,Good,Good,0
ACT707,AMAROO,89399,Unincorporated ACT,1,Good,Good,0
ACT708,NICHOLLS,89399,Unincorporated ACT,1,Good,Good,0
ACT709,PALMERSTON,89399,Unincorporated ACT,1,Good,Good,0
ACT710,GUNGAHLIN,89399,Unincorporated ACT,1,Good,Good,0
ACT711,HARRISON,89399,Unincorporated ACT,1,Good,Good,0
ACT716,FORDE,89399,Unincorporated ACT,1,Good,Good,0
ACT719,BONNER,89399,Unincorporated ACT,1,Good,Good,0
ACT801,OAKS ESTATE,89399,Unincorporated ACT,1,Good,Good,0
ACT802,HUME,89399,Unincorporated ACT,1,Good,Good,0
ACT803,SYMONSTON,89399,Unincorporated ACT,1,Good,Good,0
ACT901,HALL,89399,Unincorporated ACT,1,Good,Good,0
ACT902,FRANKLIN,89399,Unincorporated ACT,1,Good,Good,0
ACT903,CASEY,89399,Unincorporated ACT,1,Good,Good,0
ACT904,CRACE,89399,Unincorporated ACT,1,Good,Good,0
ACT905,BEARD,89399,Unincorporated ACT,1,Good,Good,0
ACT906,COOMBS,89399,Unincorporated ACT,1,Good,Good,0
ACT907,WRIGHT,89399,Unincorporated ACT,1,Good,Good,0
ACT927,URIARRA VILLAGE,89399,Unincorporated ACT,1,Good,Good,0
ACT928,JACKA,89399,Unincorporated ACT,1,Good,Good,0
ACT929,DENMAN PROSPECT,89399,Unincorporated ACT,1,Good,Good,0
ACT930,MOLONGLO,89399,Unincorporated ACT,1,Good,Good,0
ACT931,CANBERRA AIRPORT,89399,Unincorporated ACT,1,Good,Good,0
ACT932,MONCRIEFF,89399,Unincorporated ACT,1,Good,Good,0
ACT933,THROSBY,89399,Unincorporated ACT,1,Good,Good,0
ACT934,TAYLOR,89399,Unincorporated ACT,1,Good,Good,0
ACT935,STRATHNAIRN,89399,Unincorporated ACT,1,Good,Good,0
ACT936,MACNAMARA,89399,Unincorporated ACT,1,Good,Good,0
ACT937,WHITLAM,89399,Unincorporated ACT,1,Good,Good,0
NSW1,AARONS PASS,15270,Mid-Western Regional,1,Good,Good,0
NSW10,ABERGLASSLYN,15050,Maitland,1,Good,Good,0
NSW100,ASHLEY,15300,Moree Plains,1,Good,Good,0
NSW1000,COMARA,14350,Kempsey,1,Good,Good,0
NSW1001,COMBANING,17350,Temora,1,Good,Good,0
NSW1002,COMBARA,12150,Coonamble,1,Good,Good,0
NSW1003,COMBERTON,16950,Shoalhaven,1,Good,Good,0
NSW1004,COMBO,17000,Singleton,1,Good,Good,0
NSW1005,COMBOYNE,15240,Mid-Coast,0.0377496,Good,Good,0
NSW1005,COMBOYNE,16380,Port Macquarie-Hastings,0.9622504,Good,Good,0
NSW1006,COME BY CHANCE,17900,Walgett,1,Good,Good,0
NSW1007,COMERONG ISLAND,16950,Shoalhaven,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,17550,Tweed,1,Good,Good,0
NSW1009,COMO,17150,Sutherland Shire,1,Good,Good,0
NSW101,ASHMONT,17750,Wagga Wagga,1,Good,Good,0
NSW1010,COMOBELLA,12390,Dubbo Regional,1,Good,Good,0
NSW1011,CONARGO,12730,Edward River,1,Good,Good,0
NSW1012,CONCORD,11520,Canada Bay,1,Good,Good,0
NSW1013,CONCORD WEST,11520,Canada Bay,1,Good,Good,0
NSW1014,CONDELL PARK,11570,Canterbury-Bankstown,1,Good,Good,0
NSW1015,CONDOBOLIN,14600,Lachlan,1,Good,Good,0
NSW1016,CONDONG,17550,Tweed,1,Good,Good,0
NSW1017,CONEAC,15240,Mid-Coast,1,Good,Good,0
NSW1018,CONGARINNI,15700,Nambucca Valley,1,Good,Good,0
NSW1019,CONGARINNI NORTH,15700,Nambucca Valley,1,Good,Good,0
NSW102,ASHTONFIELD,15050,Maitland,1,Good,Good,0
NSW1020,CONGEWAI,11720,Cessnock,1,Good,Good,0
NSW1021,CONGO,12750,Eurobodalla,1,Good,Good,0
NSW1022,CONIMBIA,12150,Coonamble,1,Good,Good,0
NSW1023,CONISTON,18450,Wollongong,1,Good,Good,0
NSW1024,CONJOLA,16950,Shoalhaven,1,Good,Good,0
NSW1025,CONJOLA PARK,16950,Shoalhaven,1,Good,Good,0
NSW1026,CONNELLS POINT,12930,Georges River,1,Acceptable,Good,0
NSW1027,CONSTITUTION HILL,16260,Parramatta,1,Acceptable,Good,0
NSW1028,COOGEE,16550,Randwick,1,Good,Good,0
NSW1029,COOKAMIDGERA,12900,Forbes,0.3432088,Good,Good,0
NSW1029,COOKAMIDGERA,16200,Parkes,0.6567912,Good,Good,0
NSW103,ASQUITH,14000,Hornsby,1,Acceptable,Good,0
NSW1030,COOKARDINIA,13340,Greater Hume Shire,1,Good,Good,0
NSW1031,COOKS GAP,15270,Mid-Western Regional,1,Good,Good,0
NSW1032,COOKS HILL,15900,Newcastle,1,Good,Good,0
NSW1033,COOKS MYALLS,16200,Parkes,1,Good,Good,0
NSW1034,COOLABAH,10950,Bogan,0.999616,Good,Good,0
NSW1034,COOLABAH,11200,Brewarrina,0.000384,Good,Good,1
NSW1035,COOLAC,12160,Cootamundra-Gundagai Regional,1,Good,Good,0
NSW1036,COOLAGOLITE,10550,Bega Valley,1,Good,Good,0
NSW1037,COOLAH,18020,Warrumbungle Shire,1,Good,Good,0
NSW1038,COOLAMON,12000,Coolamon,1,Good,Good,0
NSW1039,COOLANGATTA,16950,Shoalhaven,1,Good,Good,0
NSW104,ATHOLWOOD,14220,Inverell,1,Good,Good,0
NSW1040,COOLANGUBRA,10550,Bega Valley,1,Good,Good,0
NSW1041,COOLATAI,13660,Gwydir,0.8895222,Good,Good,0
NSW1041,COOLATAI,14220,Inverell,0.1104778,Good,Good,0
NSW1043,COOLEMAN,17080,Snowy Valleys,1,Good,Good,0
NSW1044,COOLEYS CREEK,17080,Snowy Valleys,1,Good,Good,0
NSW1045,COOLGARDIE,10250,Ballina,1,Good,Good,0
NSW1046,COOLONGOLOOK,15240,Mid-Coast,1,Good,Good,0
NSW1047,COOLRINGDON,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1048,COOLUMBOOKA,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1049,COOLUMBURRA,16950,Shoalhaven,1,Good,Good,0
NSW105,ATTUNGA,17310,Tamworth Regional,1,Good,Good,0
NSW1050,COOMA,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1051,COOMBA BAY,15240,Mid-Coast,1,Good,Good,0
NSW1052,COOMBA PARK,15240,Mid-Coast,1,Good,Good,0
NSW1053,COOMBADJHA,11730,Clarence Valley,0.9990958,Good,Good,0
NSW1053,COOMBADJHA,13010,Glen Innes Severn,0.0009042,Good,Good,1
NSW1054,COOMBELL,16610,Richmond Valley,1,Good,Good,0
NSW1055,COOMOO COOMOO,14920,Liverpool Plains,1,Good,Good,0
NSW1056,COONABARABRAN,18020,Warrumbungle Shire,1,Good,Good,0
NSW1057,COONAMBLE,12150,Coonamble,1,Good,Good,0
NSW1058,COONGBAR,11730,Clarence Valley,1,Good,Good,0
