SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10703114120,10073,Shellharbour,1,Good,Good,3
10703114121,10073,Shellharbour,1,Good,Good,3
10703114123,10073,Shellharbour,1,Good,Good,3
10703114126,10073,Shellharbour,1,Good,Good,3
10703114127,10073,Shellharbour,1,Good,Good,3
10703114128,10073,Shellharbour,1,Good,Good,3
10703114130,10073,Shellharbour,1,Good,Good,3
10703114131,10073,Shellharbour,1,Good,Good,3
10703114134,10073,Shellharbour,1,Good,Good,3
10703114135,10073,Shellharbour,1,Good,Good,3
10703114136,10073,Shellharbour,1,Good,Good,3
10703114137,10073,Shellharbour,1,Good,Good,3
10703114138,10073,Shellharbour,1,Good,Good,3
10703114139,10073,Shellharbour,1,Good,Good,3
10703114140,10073,Shellharbour,1,Good,Good,3
10703114141,10073,Shellharbour,1,Good,Good,3
10703114142,10073,Shellharbour,1,Good,Good,3
10703114143,10073,Shellharbour,1,Good,Good,3
10703114144,10073,Shellharbour,1,Good,Good,3
10703114145,10040,Kiama,1,Good,Good,3
10703114146,10073,Shellharbour,1,Good,Good,3
