SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
305011111,Spring Hill,30052,McConnel,1,Good,Acceptable,0
305011112,West End,30076,South Brisbane,1,Good,Acceptable,0
305021113,Balmoral,30008,Bulimba,1,Good,Acceptable,0
305021114,Bulimba,30008,Bulimba,1,Good,Acceptable,0
305021115,East Brisbane,30076,South Brisbane,1,Good,Acceptable,0
305021116,Hawthorne,30008,Bulimba,1,Good,Acceptable,0
305021117,Morningside - Seven Hills,30008,Bulimba,1,Good,Acceptable,0
305021118,Norman Park,30030,Greenslopes,0.0350304,Acceptable,Acceptable,0
305021118,Norman Park,30008,Bulimba,0.9649696,Good,Acceptable,0
305031119,Albion,30019,Clayfield,1,Good,Acceptable,0
305031120,Alderley,30080,Stafford,0.4949319,Acceptable,Acceptable,0
305031120,Alderley,30026,Ferny Grove,0.5050681,Poor,Acceptable,0
305031121,Ascot,30019,Clayfield,1,Good,Acceptable,0
305031122,Clayfield,30019,Clayfield,1,Good,Acceptable,0
305031123,Grange,30080,Stafford,1,Acceptable,Acceptable,0
305031124,Hamilton (Qld),30019,Clayfield,1,Good,Acceptable,0
305031125,Hendra,30019,Clayfield,0.9999979,Good,Acceptable,0
305031125,Hendra,30067,Nudgee,0.0000021,Good,Acceptable,1
305031126,Kelvin Grove - Herston,30052,McConnel,0.7813534,Good,Acceptable,0
305031126,Kelvin Grove - Herston,30023,Cooper,0.2186466,Acceptable,Acceptable,0
305031127,Newmarket,30080,Stafford,0.7342788,Acceptable,Acceptable,0
305031127,Newmarket,30026,Ferny Grove,0.1153565,Poor,Acceptable,0
305031127,Newmarket,30023,Cooper,0.1503646,Acceptable,Acceptable,0
305031128,Newstead - Bowen Hills,30052,McConnel,1,Good,Acceptable,0
305031129,Wilston,30080,Stafford,1,Acceptable,Acceptable,0
305031130,Windsor,30019,Clayfield,1,Good,Acceptable,0
305031131,Wooloowin - Lutwyche,30019,Clayfield,1,Good,Acceptable,0
305041132,Ashgrove,30023,Cooper,0.782245,Acceptable,Acceptable,0
305041132,Ashgrove,30026,Ferny Grove,0.217755,Poor,Acceptable,0
305041133,Auchenflower,30048,Maiwar,1,Good,Acceptable,0
305041134,Bardon,30048,Maiwar,0.5776908,Good,Acceptable,0
305041134,Bardon,30023,Cooper,0.4223092,Acceptable,Acceptable,0
305041135,Paddington - Milton,30023,Cooper,0.9482941,Acceptable,Acceptable,0
305041135,Paddington - Milton,30048,Maiwar,0.0517059,Good,Acceptable,0
305041136,Red Hill (Qld),30023,Cooper,1,Acceptable,Acceptable,0
305041137,Toowong,30048,Maiwar,1,Good,Acceptable,0
306011138,Brinsmead,30014,Cairns,1,Good,Acceptable,0
306011139,Clifton Beach - Kewarra Beach,30004,Barron River,1,Good,Acceptable,0
306011140,Freshwater - Stratford,30004,Barron River,0.8864816,Good,Acceptable,0
306011140,Freshwater - Stratford,30014,Cairns,0.1135184,Good,Acceptable,0
306011141,Redlynch,30004,Barron River,1,Good,Acceptable,0
306011142,Trinity Beach - Smithfield,30004,Barron River,1,Good,Acceptable,0
306011143,Yorkeys Knob - Machans Beach,30004,Barron River,1,Good,Acceptable,0
306021144,Bentley Park,30060,Mulgrave,1,Good,Acceptable,0
306021145,Cairns City,30014,Cairns,1,Good,Acceptable,0
306021146,Earlville - Bayview Heights,30060,Mulgrave,0.5119068,Good,Acceptable,0
306021146,Earlville - Bayview Heights,30014,Cairns,0.4880932,Good,Acceptable,0
306021147,Edmonton,30060,Mulgrave,1,Good,Acceptable,0
306021148,Gordonvale - Trinity,30060,Mulgrave,1,Good,Acceptable,0
306021149,Kanimbla - Mooroobool,30014,Cairns,1,Good,Acceptable,0
306021150,Lamb Range,30004,Barron River,0.5881626,Good,Acceptable,0
306021150,Lamb Range,30060,Mulgrave,0.4118374,Good,Acceptable,0
306021151,Manoora,30014,Cairns,1,Good,Acceptable,0
306021152,Manunda,30014,Cairns,1,Good,Acceptable,0
306021153,Mount Sheridan,30060,Mulgrave,1,Good,Acceptable,0
306021154,Westcourt - Bungalow,30014,Cairns,1,Good,Acceptable,0
306021155,White Rock,30060,Mulgrave,1,Good,Acceptable,0
306021156,Whitfield - Edge Hill,30014,Cairns,1,Good,Acceptable,0
306021157,Woree,30060,Mulgrave,0.9999959,Good,Acceptable,0
306021157,Woree,30014,Cairns,0.0000041,Good,Acceptable,1
306031158,Babinda,30060,Mulgrave,0.1919165,Good,Acceptable,0
306031158,Babinda,30034,Hill,0.8080835,Good,Acceptable,0
306031159,Innisfail,30034,Hill,1,Good,Acceptable,0
306031160,Johnstone,30034,Hill,1,Good,Acceptable,0
306031161,Tully,30035,Hinchinbrook,0.3544467,Good,Acceptable,0
306031161,Tully,30034,Hill,0.6455533,Good,Acceptable,0
306031162,Wooroonooran,30034,Hill,1,Good,Acceptable,0
306031163,Yarrabah,30060,Mulgrave,1,Good,Acceptable,0
306041164,Daintree,30021,Cook,1,Good,Acceptable,0
306041165,Port Douglas,30021,Cook,1,Good,Acceptable,0
306051166,Atherton,30034,Hill,1,Good,Acceptable,0
306051167,Herberton,30034,Hill,1,Good,Acceptable,0
306051168,Kuranda,30021,Cook,0.0054032,Good,Acceptable,1
306051168,Kuranda,30004,Barron River,0.9945968,Good,Acceptable,0
306051169,Malanda - Yungaburra,30034,Hill,1,Good,Acceptable,0
306051170,Mareeba,30021,Cook,1,Good,Acceptable,0
307011171,Balonne,30090,Warrego,1,Good,Acceptable,0
307011172,Chinchilla,30015,Callide,1,Acceptable,Acceptable,0
307011173,Goondiwindi,30077,Southern Downs,1,Good,Acceptable,0
307011174,Inglewood - Waggamba,30077,Southern Downs,1,Good,Acceptable,0
307011175,Miles - Wandoan,30015,Callide,0.8660677,Acceptable,Acceptable,0
307011175,Miles - Wandoan,30090,Warrego,0.1339323,Good,Acceptable,0
307011176,Roma,30090,Warrego,1,Good,Acceptable,0
307011177,Roma Region,30090,Warrego,1,Good,Acceptable,0
307011178,Tara,30077,Southern Downs,0.0024646,Good,Acceptable,1
307011178,Tara,30090,Warrego,0.9975354,Good,Acceptable,0
307021179,Crows Nest - Rosalie,30063,Nanango,0.2657217,Good,Acceptable,0
307021179,Crows Nest - Rosalie,30020,Condamine,0.7342783,Acceptable,Acceptable,0
307021180,Jondaryan,30090,Warrego,0.0052694,Good,Acceptable,1
307021180,Jondaryan,30020,Condamine,0.9947306,Acceptable,Acceptable,0
307021181,Millmerran,30077,Southern Downs,1,Good,Acceptable,0
307021182,Pittsworth,30020,Condamine,1,Acceptable,Acceptable,0
307021183,Wambo,30090,Warrego,0.8768038,Good,Acceptable,0
307021183,Wambo,30015,Callide,0.1231962,Acceptable,Acceptable,0
307031184,Clifton - Greenmount,30020,Condamine,1,Acceptable,Acceptable,0
307031185,Southern Downs - East,30077,Southern Downs,1,Good,Acceptable,0
307031186,Southern Downs - West,30020,Condamine,0.0216931,Acceptable,Acceptable,0
307031186,Southern Downs - West,30077,Southern Downs,0.9783069,Good,Acceptable,0
307031187,Stanthorpe,30077,Southern Downs,1,Good,Acceptable,0
307031188,Stanthorpe Region,30077,Southern Downs,1,Good,Acceptable,0
307031189,Warwick,30077,Southern Downs,1,Good,Acceptable,0
308011190,Central Highlands - East,30031,Gregory,1,Good,Acceptable,0
