LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
39799,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
40070,Adelaide (C),4GADE,Greater Adelaide,1,Good,Good,0
40120,Adelaide Hills (DC),4GADE,Greater Adelaide,1,Good,Good,0
40150,Adelaide Plains (DC),4GADE,Greater Adelaide,0.6383813,Good,Good,0
40150,Adelaide Plains (DC),4RSAU,Rest of SA,0.3616187,Good,Good,0
40220,Alexandrina (DC),4RSAU,Rest of SA,1,Good,Good,0
40250,Anangu Pitjantjatjara (AC),4RSAU,Rest of SA,1,Good,Good,0
40310,Barossa (DC),4GADE,Greater Adelaide,0.0233581,Good,Good,0
40310,Barossa (DC),4RSAU,Rest of SA,0.9766419,Good,Good,0
40430,Barunga West (DC),4RSAU,Rest of SA,1,Good,Good,0
40520,Berri and Barmera (DC),4RSAU,Rest of SA,1,Good,Good,0
40700,Burnside (C),4GADE,Greater Adelaide,1,Good,Good,0
40910,Campbelltown (C) (SA),4GADE,Greater Adelaide,1,Good,Good,0
41010,Ceduna (DC),4RSAU,Rest of SA,1,Good,Good,0
41060,Charles Sturt (C),4GADE,Greater Adelaide,1,Good,Good,0
41140,Clare and Gilbert Valleys (DC),4RSAU,Rest of SA,1,Good,Good,0
41190,Cleve (DC),4RSAU,Rest of SA,1,Good,Good,0
41330,Coober Pedy (DC),4RSAU,Rest of SA,1,Good,Good,0
41560,Copper Coast (DC),4RSAU,Rest of SA,1,Good,Good,0
41750,Elliston (DC),4RSAU,Rest of SA,1,Good,Good,0
41830,Flinders Ranges (DC),4RSAU,Rest of SA,1,Good,Good,0
41960,Franklin Harbour (DC),4RSAU,Rest of SA,1,Good,Good,0
42030,Gawler (T),4GADE,Greater Adelaide,1,Good,Good,0
42110,Goyder (DC),4RSAU,Rest of SA,1,Good,Good,0
42250,Grant (DC),4RSAU,Rest of SA,1,Good,Good,0
42600,Holdfast Bay (C),4GADE,Greater Adelaide,1,Good,Good,0
42750,Kangaroo Island (DC),4RSAU,Rest of SA,1,Good,Good,0
43080,Karoonda East Murray (DC),4RSAU,Rest of SA,1,Good,Good,0
43220,Kimba (DC),4RSAU,Rest of SA,1,Good,Good,0
43360,Kingston (DC) (SA),4RSAU,Rest of SA,1,Good,Good,0
43650,Light (RegC),4GADE,Greater Adelaide,0.3670801,Good,Good,0
43650,Light (RegC),4RSAU,Rest of SA,0.6329199,Good,Good,0
43710,Lower Eyre Peninsula (DC),4RSAU,Rest of SA,1,Good,Good,0
43790,Loxton Waikerie (DC),4RSAU,Rest of SA,1,Good,Good,0
44000,Maralinga Tjarutja (AC),4RSAU,Rest of SA,1,Good,Good,0
44060,Marion (C),4GADE,Greater Adelaide,1,Good,Good,0
44210,Mid Murray (DC),4RSAU,Rest of SA,1,Good,Good,0
44340,Mitcham (C),4GADE,Greater Adelaide,1,Good,Good,0
44550,Mount Barker (DC),4GADE,Greater Adelaide,1,Good,Good,0
44620,Mount Gambier (C),4RSAU,Rest of SA,1,Good,Good,0
44830,Mount Remarkable (DC),4RSAU,Rest of SA,1,Good,Good,0
45040,Murray Bridge (RC),4RSAU,Rest of SA,1,Good,Good,0
45090,Naracoorte and Lucindale (DC),4RSAU,Rest of SA,1,Good,Good,0
45120,Northern Areas (DC),4RSAU,Rest of SA,1,Good,Good,0
45290,Norwood Payneham St Peters (C),4GADE,Greater Adelaide,1,Good,Good,0
45340,Onkaparinga (C),4GADE,Greater Adelaide,0.9999999,Good,Good,0
45340,Onkaparinga (C),4RSAU,Rest of SA,1.00E-07,Good,Good,1
45400,Orroroo/Carrieton (DC),4RSAU,Rest of SA,1,Good,Good,0
45540,Peterborough (DC),4RSAU,Rest of SA,1,Good,Good,0
45680,Playford (C),4GADE,Greater Adelaide,1,Good,Good,0
45890,Port Adelaide Enfield (C),4GADE,Greater Adelaide,1,Good,Good,0
46090,Port Augusta (C),4RSAU,Rest of SA,1,Good,Good,0
46300,Port Lincoln (C),4RSAU,Rest of SA,1,Good,Good,0
46450,Port Pirie City and Dists (M),4RSAU,Rest of SA,1,Good,Good,0
46510,Prospect (C),4GADE,Greater Adelaide,1,Good,Good,0
