LOCALITY_PID,LOCALITY_NAME,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT568,HOLT,80002,Ginninderra,1,Good,Good,0
ACT569,MACGREGOR,80002,Ginninderra,1,Good,Good,0
ACT570,CHARNWOOD,80002,Ginninderra,1,Good,Good,0
ACT571,FLYNN,80002,Ginninderra,1,Good,Good,0
ACT572,MELBA,80002,Ginninderra,1,Good,Good,0
ACT574,EVATT,80002,Ginninderra,1,Good,Good,0
ACT575,MCKELLAR,80002,Ginninderra,1,Good,Good,0
ACT576,SPENCE,80002,Ginninderra,1,Good,Good,0
ACT577,FRASER,80002,Ginninderra,1,Good,Good,0
ACT578,DUNLOP,80002,Ginninderra,1,Good,Good,0
ACT580,LAWSON,80002,Ginninderra,1,Good,Good,0
ACT601,KAMBAH,80004,Murrumbidgee,0.4302535,Good,Good,0
ACT601,KAMBAH,80001,Brindabella,0.5697465,Good,Good,0
ACT602,WANNIASSA,80001,Brindabella,1,Good,Good,0
ACT603,MONASH,80001,Brindabella,1,Good,Good,0
ACT604,GOWRIE,80001,Brindabella,1,Good,Good,0
ACT605,FADDEN,80001,Brindabella,1,Good,Good,0
ACT606,MACARTHUR,80001,Brindabella,1,Good,Good,0
ACT607,RICHARDSON,80001,Brindabella,1,Good,Good,0
ACT608,GILMORE,80001,Brindabella,1,Good,Good,0
ACT609,CHISHOLM,80001,Brindabella,1,Good,Good,0
ACT610,THEODORE,80001,Brindabella,1,Good,Good,0
ACT611,CALWELL,80001,Brindabella,1,Good,Good,0
ACT612,ISABELLA PLAINS,80001,Brindabella,1,Good,Good,0
ACT613,CONDER,80001,Brindabella,1,Good,Good,0
ACT614,BANKS,80001,Brindabella,1,Good,Good,0
ACT615,GREENWAY,80001,Brindabella,1,Good,Good,0
ACT616,GORDON,80001,Brindabella,1,Good,Good,0
ACT619,BONYTHON,80001,Brindabella,1,Good,Good,0
ACT623,OXLEY,80001,Brindabella,1,Good,Good,0
ACT659,THARWA,80001,Brindabella,1,Good,Good,0
ACT701,MITCHELL,80005,Yerrabi,1,Good,Good,0
ACT706,NGUNNAWAL,80005,Yerrabi,1,Good,Good,0
ACT707,AMAROO,80005,Yerrabi,1,Good,Good,0
ACT708,NICHOLLS,80005,Yerrabi,1,Good,Good,0
ACT709,PALMERSTON,80005,Yerrabi,1,Good,Good,0
ACT710,GUNGAHLIN,80005,Yerrabi,1,Good,Good,0
ACT711,HARRISON,80005,Yerrabi,1,Good,Good,0
ACT716,FORDE,80005,Yerrabi,1,Good,Good,0
ACT719,BONNER,80005,Yerrabi,1,Good,Good,0
ACT801,OAKS ESTATE,80003,Kurrajong,1,Good,Good,0
ACT802,HUME,80003,Kurrajong,1,Good,Good,0
ACT803,SYMONSTON,80003,Kurrajong,1,Good,Good,0
ACT901,HALL,80002,Ginninderra,0.0202275,Good,Good,0
ACT901,HALL,80005,Yerrabi,0.9797725,Good,Good,0
ACT902,FRANKLIN,80005,Yerrabi,1,Good,Good,0
ACT903,CASEY,80005,Yerrabi,1,Good,Good,0
ACT904,CRACE,80005,Yerrabi,1,Good,Good,0
ACT905,BEARD,80003,Kurrajong,1,Good,Good,0
ACT906,COOMBS,80004,Murrumbidgee,1,Good,Good,0
ACT907,WRIGHT,80004,Murrumbidgee,1,Good,Good,0
ACT927,URIARRA VILLAGE,80004,Murrumbidgee,1,Good,Good,0
ACT928,JACKA,80005,Yerrabi,1,Good,Good,0
ACT929,DENMAN PROSPECT,80004,Murrumbidgee,1,Good,Good,0
ACT930,MOLONGLO,80004,Murrumbidgee,1,Good,Good,0
ACT931,CANBERRA AIRPORT,80003,Kurrajong,1,Good,Good,0
ACT932,MONCRIEFF,80005,Yerrabi,1,Good,Good,0
ACT933,THROSBY,80005,Yerrabi,1,Good,Good,0
ACT934,TAYLOR,80005,Yerrabi,1,Good,Good,0
ACT935,STRATHNAIRN,80002,Ginninderra,1,Good,Good,0
ACT936,MACNAMARA,80002,Ginninderra,1,Good,Good,0
ACT937,WHITLAM,80002,Ginninderra,0.125208,Good,Good,0
ACT937,WHITLAM,80004,Murrumbidgee,0.874792,Good,Good,0
NSW1,AARONS PASS,10008,Bathurst,1,Good,Good,0
NSW10,ABERGLASSLYN,10049,Maitland,1,Good,Good,0
NSW100,ASHLEY,10060,Northern Tablelands,1,Good,Good,0
NSW1000,COMARA,10063,Oxley,1,Good,Good,0
NSW1001,COMBANING,10022,Cootamundra,1,Good,Good,0
NSW1002,COMBARA,10007,Barwon,1,Good,Good,0
NSW1003,COMBERTON,10074,South Coast,1,Good,Good,0
NSW1004,COMBO,10083,Upper Hunter,1,Good,Good,0
NSW1005,COMBOYNE,10056,Myall Lakes,0.0377496,Good,Good,0
NSW1005,COMBOYNE,10063,Oxley,0.9622504,Good,Good,0
NSW1006,COME BY CHANCE,10007,Barwon,1,Good,Good,0
NSW1007,COMERONG ISLAND,10074,South Coast,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,10045,Lismore,1,Good,Good,0
NSW1009,COMO,10052,Miranda,1,Acceptable,Good,0
NSW101,ASHMONT,10085,Wagga Wagga,1,Good,Good,0
NSW1010,COMOBELLA,10026,Dubbo,1,Good,Good,0
NSW1011,CONARGO,10055,Murray,1,Good,Good,0
NSW1012,CONCORD,10025,Drummoyne,1,Good,Good,0
NSW1013,CONCORD WEST,10025,Drummoyne,1,Good,Good,0
NSW1014,CONDELL PARK,10006,Bankstown,0.0008273,Acceptable,Good,1
NSW1014,CONDELL PARK,10027,East Hills,0.9991727,Good,Good,0
NSW1015,CONDOBOLIN,10007,Barwon,1,Good,Good,0
NSW1016,CONDONG,10082,Tweed,1,Good,Good,0
NSW1017,CONEAC,10083,Upper Hunter,1,Good,Good,0
NSW1018,CONGARINNI,10063,Oxley,1,Good,Good,0
NSW1019,CONGARINNI NORTH,10063,Oxley,1,Good,Good,0
NSW102,ASHTONFIELD,10049,Maitland,1,Good,Good,0
NSW1020,CONGEWAI,10017,Cessnock,1,Good,Good,0
NSW1021,CONGO,10009,Bega,1,Good,Good,0
NSW1022,CONIMBIA,10007,Barwon,1,Good,Good,0
NSW1023,CONISTON,10092,Wollongong,1,Good,Good,0
NSW1024,CONJOLA,10074,South Coast,1,Good,Good,0
NSW1025,CONJOLA PARK,10074,South Coast,1,Good,Good,0
NSW1026,CONNELLS POINT,10061,Oatley,1,Good,Good,0
NSW1027,CONSTITUTION HILL,10090,Winston Hills,1,Acceptable,Good,0
NSW1028,COOGEE,10021,Coogee,1,Acceptable,Good,0
NSW1029,COOKAMIDGERA,10062,Orange,1,Good,Good,0
NSW103,ASQUITH,10086,Wahroonga,4.90E-06,Good,Good,1
NSW103,ASQUITH,10037,Hornsby,0.9999951,Acceptable,Good,0
NSW1030,COOKARDINIA,10001,Albury,1,Good,Good,0
NSW1031,COOKS GAP,10026,Dubbo,1,Good,Good,0
NSW1032,COOKS HILL,10057,Newcastle,1,Good,Good,0
NSW1033,COOKS MYALLS,10062,Orange,1,Good,Good,0
NSW1034,COOLABAH,10007,Barwon,1,Good,Good,0
NSW1035,COOLAC,10022,Cootamundra,1,Good,Good,0
NSW1036,COOLAGOLITE,10009,Bega,1,Good,Good,0
NSW1037,COOLAH,10007,Barwon,1,Good,Good,0
NSW1038,COOLAMON,10022,Cootamundra,1,Good,Good,0
NSW1039,COOLANGATTA,10040,Kiama,1,Good,Good,0
NSW104,ATHOLWOOD,10060,Northern Tablelands,1,Good,Good,0
NSW1040,COOLANGUBRA,10009,Bega,1,Good,Good,0
NSW1041,COOLATAI,10060,Northern Tablelands,1,Good,Good,0
NSW1043,COOLEMAN,10085,Wagga Wagga,1,Good,Good,0
NSW1044,COOLEYS CREEK,10085,Wagga Wagga,1,Good,Good,0
NSW1045,COOLGARDIE,10004,Ballina,1,Good,Good,0
NSW1046,COOLONGOLOOK,10056,Myall Lakes,1,Good,Good,0
NSW1047,COOLRINGDON,10053,Monaro,1,Good,Good,0
NSW1048,COOLUMBOOKA,10053,Monaro,1,Good,Good,0
NSW1049,COOLUMBURRA,10040,Kiama,1,Good,Good,0
NSW105,ATTUNGA,10079,Tamworth,1,Good,Good,0
NSW1050,COOMA,10053,Monaro,1,Good,Good,0
NSW1051,COOMBA BAY,10056,Myall Lakes,1,Good,Good,0
NSW1052,COOMBA PARK,10056,Myall Lakes,1,Good,Good,0
NSW1053,COOMBADJHA,10060,Northern Tablelands,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,10019,Clarence,0.9990958,Good,Good,0
NSW1054,COOMBELL,10019,Clarence,1,Good,Good,0
NSW1055,COOMOO COOMOO,10079,Tamworth,1,Good,Good,0
NSW1056,COONABARABRAN,10007,Barwon,1,Good,Good,0
NSW1057,COONAMBLE,10007,Barwon,1,Good,Good,0
NSW1058,COONGBAR,10019,Clarence,1,Good,Good,0
NSW1059,COOPERABUNG,10063,Oxley,1,Good,Good,0
NSW106,AUBURN,10002,Auburn,1,Acceptable,Good,0
NSW1060,COOPERNOOK,10067,Port Macquarie,1,Good,Good,0
NSW1061,COOPERS GULLY,10009,Bega,1,Good,Good,0
NSW1062,COOPERS SHOOT,10004,Ballina,1,Good,Good,0
NSW1063,COOPLACURRIPA,10056,Myall Lakes,1,Good,Good,0
NSW1064,COORABELL,10004,Ballina,1,Good,Good,0
NSW1065,COORANBONG,10042,Lake Macquarie,1,Good,Good,0
NSW1066,COOTAMUNDRA,10022,Cootamundra,1,Good,Good,0
NSW1067,COOTRALANTRA,10053,Monaro,1,Good,Good,0
NSW1068,COOYAL,10026,Dubbo,1,Good,Good,0
NSW1069,COPACABANA,10080,Terrigal,1,Good,Good,0
NSW107,AUBURN VALE,10060,Northern Tablelands,1,Good,Good,0
NSW1070,COPE,10026,Dubbo,1,Good,Good,0
NSW1071,COPELAND,10083,Upper Hunter,1,Good,Good,0
NSW1072,COPETON,10060,Northern Tablelands,1,Good,Good,0
NSW1073,COPMANHURST,10019,Clarence,1,Good,Good,0
NSW1074,COPPABELLA,10001,Albury,1,Good,Good,0
NSW1075,COPPERHANNIA,10008,Bathurst,1,Good,Good,0
NSW1076,CORAKI,10045,Lismore,0.0235807,Good,Good,0
NSW1076,CORAKI,10019,Clarence,0.9764193,Good,Good,0
NSW1077,CORALVILLE,10067,Port Macquarie,1,Good,Good,0
NSW1078,CORAMBA,10020,Coffs Harbour,1,Good,Good,0
NSW1079,CORANG,10053,Monaro,1,Good,Good,0
NSW108,AUSTINMER,10034,Heathcote,1,Good,Good,0
NSW1080,CORANGULA,10063,Oxley,1,Good,Good,0
NSW1081,CORBIE HILL,10022,Cootamundra,0.0240034,Good,Good,0
NSW1081,CORBIE HILL,10055,Murray,0.9759966,Good,Good,0
NSW1082,CORDEAUX,10038,Keira,1,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,10038,Keira,1,Good,Good,0
NSW1084,COREE,10055,Murray,1,Good,Good,0
NSW1085,COREEN,10001,Albury,1,Good,Good,0
NSW1086,CORINDI BEACH,10020,Coffs Harbour,1,Good,Good,0
NSW1087,CORINELLA,10007,Barwon,0.154984,Good,Good,0
NSW1087,CORINELLA,10062,Orange,0.845016,Good,Good,0
NSW1088,CORLETTE,10068,Port Stephens,1,Good,Good,0
NSW1089,CORNDALE,10045,Lismore,1,Good,Good,0
NSW109,AUSTRAL,10044,Leppington,1,Good,Good,0
NSW1090,CORNEY TOWN,10008,Bathurst,1,Good,Good,0
NSW1091,CORNWALLIS,10033,Hawkesbury,1,Good,Good,0
NSW1092,COROBIMILLA,10022,Cootamundra,1,Good,Good,0
NSW1093,COROWA,10001,Albury,1,Good,Good,0
NSW1094,CORRABARE,10017,Cessnock,1,Good,Good,0
NSW1095,CORRIMAL,10034,Heathcote,7.00E-07,Good,Good,1
NSW1095,CORRIMAL,10092,Wollongong,0.0020124,Good,Good,1
NSW1095,CORRIMAL,10038,Keira,0.9979869,Good,Good,0
NSW1096,CORRONG,10055,Murray,1,Good,Good,0
NSW1097,CORROWONG,10053,Monaro,1,Good,Good,0
NSW1098,CORUNNA,10009,Bega,1,Good,Good,0
NSW1099,COTTAGE POINT,10066,Pittwater,1,Good,Good,0
NSW11,ABERMAIN,10017,Cessnock,1,Good,Good,0
NSW110,AUSTRAL EDEN,10063,Oxley,1,Good,Good,0
NSW1100,COUGAL,10045,Lismore,1,Good,Good,0
NSW1101,COUNTEGANY,10009,Bega,0.0001281,Good,Good,1
NSW1101,COUNTEGANY,10053,Monaro,0.9998719,Good,Good,0
NSW1102,COURABYRA,10001,Albury,1,Good,Good,0
NSW1103,COURADDA,10007,Barwon,1,Good,Good,0
NSW1104,COURAGAGO,10085,Wagga Wagga,1,Good,Good,0
NSW1105,COURIDJAH,10091,Wollondilly,1,Good,Good,0
NSW1106,COUTTS CROSSING,10019,Clarence,1,Good,Good,0
NSW1107,COW FLAT,10008,Bathurst,1,Good,Good,0
NSW1108,COWABBIE,10022,Cootamundra,1,Good,Good,0
NSW1109,COWAN,10037,Hornsby,1,Acceptable,Good,0
NSW1110,COWPER,10019,Clarence,1,Good,Good,0
NSW1111,COWRA,10022,Cootamundra,1,Good,Good,0
NSW1112,COXS CREEK,10008,Bathurst,1,Good,Good,0
NSW1113,COXS CROWN,10008,Bathurst,1,Good,Good,0
NSW1114,CRABBES CREEK,10082,Tweed,1,Good,Good,0
NSW1115,CRACKENBACK,10053,Monaro,1,Good,Good,0
NSW1116,CRAIGIE,10053,Monaro,1,Good,Good,0
NSW1117,CRANEBROOK,10047,Londonderry,0.0324045,Good,Good,0
NSW1117,CRANEBROOK,10065,Penrith,0.9675955,Good,Good,0
NSW1118,CRANGAN BAY,10077,Swansea,1,Good,Good,0
NSW1119,CRAVEN,10083,Upper Hunter,1,Good,Good,0
NSW112,AVISFORD,10026,Dubbo,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,10083,Upper Hunter,1,Good,Good,0
NSW1121,CRAWFORD RIVER,10056,Myall Lakes,1,Good,Good,0
NSW1122,CRAWNEY,10083,Upper Hunter,0.2206343,Good,Good,0
NSW1122,CRAWNEY,10079,Tamworth,0.7793657,Good,Good,0
NSW1123,CREEWAH,10053,Monaro,1,Good,Good,0
NSW1124,CREMORNE,10059,North Shore,0.3445007,Good,Good,0
NSW1124,CREMORNE,10089,Willoughby,0.6554993,Acceptable,Good,0
NSW1125,CREMORNE POINT,10059,North Shore,1,Good,Good,0
NSW1126,CRESCENT HEAD,10063,Oxley,1,Good,Good,0
NSW1127,CRESTWOOD,10053,Monaro,1,Good,Good,0
NSW1128,CRINGILA,10092,Wollongong,1,Good,Good,0
NSW1129,CROKI,10056,Myall Lakes,1,Good,Good,0
NSW113,AVOCA,10031,Goulburn,1,Good,Good,0
NSW1130,CROMER,10087,Wakehurst,1,Acceptable,Good,0
NSW1131,CRONULLA,10023,Cronulla,1,Acceptable,Good,0
NSW1132,CROOBLE,10060,Northern Tablelands,1,Good,Good,0
NSW1133,CROOBYAR,10074,South Coast,1,Good,Good,0
NSW1134,CROOKED CORNER,10031,Goulburn,1,Good,Good,0
NSW1135,CROOKWELL,10031,Goulburn,1,Good,Good,0
NSW1136,CROOM,10040,Kiama,1,Good,Good,0
NSW1137,CROPPA CREEK,10060,Northern Tablelands,1,Good,Good,0
NSW1138,CROSS ROADS,10026,Dubbo,1,Good,Good,0
NSW1139,CROSSLANDS,10063,Oxley,1,Good,Good,0
NSW114,AVOCA BEACH,10080,Terrigal,1,Good,Good,0
NSW1140,CROUDACE BAY,10077,Swansea,1,Good,Good,0
NSW1142,CROWDY HEAD,10067,Port Macquarie,1,Good,Good,0
NSW1143,CROWS NEST,10059,North Shore,0.2592269,Good,Good,0
NSW1143,CROWS NEST,10089,Willoughby,0.7407731,Acceptable,Good,0
NSW1144,CROWTHER,10022,Cootamundra,1,Good,Good,0
NSW1145,CROWTHER ISLAND,10019,Clarence,1,Good,Good,0
NSW1146,CROYDON,10075,Strathfield,1,Good,Good,0
NSW1147,CROYDON PARK,10076,Summer Hill,0.0521575,Good,Good,0
NSW1147,CROYDON PARK,10075,Strathfield,0.9478425,Good,Good,0
NSW1148,CRUDINE,10026,Dubbo,0.0001388,Good,Good,1
NSW1148,CRUDINE,10008,Bathurst,0.9998612,Good,Good,0
NSW1149,CRYON,10007,Barwon,1,Good,Good,0
NSW115,AVON,10073,Shellharbour,0.3,Good,Good,0
NSW115,AVON,10091,Wollondilly,0.7,Good,Good,0
NSW1150,CRYSTAL CREEK,10045,Lismore,1,Good,Good,0
NSW1151,CUBBA,10007,Barwon,1,Good,Good,0
NSW1152,CUDAL,10062,Orange,1,Good,Good,0
NSW1153,CUDGEGONG,10008,Bathurst,0.2540789,Good,Good,0
NSW1153,CUDGEGONG,10026,Dubbo,0.7459211,Good,Good,0
NSW1154,CUDGEL,10055,Murray,1,Good,Good,0
NSW1155,CUDGEN,10082,Tweed,1,Good,Good,0
NSW1156,CUDGERA CREEK,10082,Tweed,1,Good,Good,0
NSW1157,CUDMIRRAH,10074,South Coast,1,Good,Good,0
NSW1158,CULBURRA BEACH,10074,South Coast,1,Good,Good,0
NSW1159,CULCAIRN,10001,Albury,1,Good,Good,0
NSW116,AVONDALE,10073,Shellharbour,1,Good,Good,0
NSW1160,CULLEN BULLEN,10008,Bathurst,1,Good,Good,0
NSW1161,CULLENBONE,10026,Dubbo,1,Good,Good,0
NSW1162,CULLENDORE,10045,Lismore,1,Good,Good,0
NSW1163,CULLERIN,10031,Goulburn,1,Good,Good,0
NSW1164,CULLIVEL,10085,Wagga Wagga,1,Good,Good,0
NSW1165,CULMARAN CREEK,10045,Lismore,1,Good,Good,0
NSW1166,CUMBALUM,10004,Ballina,1,Good,Good,0
NSW1167,CUMBANDRY,10026,Dubbo,1,Good,Good,0
NSW1168,CUMBERLAND REACH,10033,Hawkesbury,1,Good,Good,0
NSW117,AVONSIDE,10053,Monaro,1,Good,Good,0
NSW1170,CUMBO,10026,Dubbo,1,Good,Good,0
NSW1171,CUMBORAH,10007,Barwon,1,Good,Good,0
NSW1172,CUMNOCK,10062,Orange,1,Good,Good,0
NSW1173,CUNDLE FLAT,10056,Myall Lakes,1,Good,Good,0
NSW1174,CUNDLETOWN,10056,Myall Lakes,1,Good,Good,0
NSW1175,CUNDUMBUL,10026,Dubbo,1,Good,Good,0
NSW1176,CUNJURONG POINT,10074,South Coast,1,Good,Good,0
NSW1177,CUNNINYEUK,10055,Murray,1,Good,Good,0
NSW1178,CURBAN,10007,Barwon,1,Good,Good,0
NSW1179,CURL CURL,10050,Manly,1,Good,Good,0
NSW118,AWABA,10042,Lake Macquarie,1,Good,Good,0
NSW1180,CURLEW WATERS,10007,Barwon,1,Good,Good,0
NSW1181,CURLEWIS,10079,Tamworth,1,Good,Good,0
NSW1182,CURLWAA,10055,Murray,1,Good,Good,0
NSW1183,CURRA CREEK,10026,Dubbo,1,Good,Good,0
NSW1184,CURRABUBULA,10079,Tamworth,1,Good,Good,0
NSW1185,CURRAGH,10008,Bathurst,1,Good,Good,0
NSW1186,CURRAMORE,10040,Kiama,1,Good,Good,0
NSW1187,CURRANS HILL,10013,Camden,1,Good,Good,0
NSW1188,CURRARONG,10074,South Coast,1,Good,Good,0
NSW1189,CURRAWANG,10031,Goulburn,0.1916043,Good,Good,0
NSW1189,CURRAWANG,10053,Monaro,0.8083957,Good,Good,0
NSW119,AYLMERTON,10091,Wollondilly,1,Good,Good,0
NSW1190,CURRAWARNA,10085,Wagga Wagga,1,Good,Good,0
NSW1191,CURRICABARK,10083,Upper Hunter,1,Good,Good,0
NSW1192,CURROWAN,10074,South Coast,0.3198348,Good,Good,0
NSW1192,CURROWAN,10009,Bega,0.6801652,Good,Good,0
NSW1193,CUTTABRI,10007,Barwon,1,Good,Good,0
NSW1194,CUTTAGEE,10009,Bega,1,Good,Good,0
NSW1195,DABEE,10008,Bathurst,1,Good,Good,0
NSW1196,DACEYVILLE,10051,Maroubra,1,Good,Good,0
NSW1197,DAIRY FLAT,10045,Lismore,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,10053,Monaro,1,Good,Good,0
NSW1199,DALEYS POINT,10080,Terrigal,1,Good,Good,0
NSW12,ABERNETHY,10017,Cessnock,1,Good,Good,0
NSW120,BAAN BAA,10007,Barwon,1,Good,Good,0
NSW1200,DALGETY,10053,Monaro,1,Good,Good,0
NSW1201,DALMENY,10009,Bega,1,Good,Good,0
NSW1202,DALMORTON,10019,Clarence,1,Good,Good,0
NSW1203,DALSWINTON,10083,Upper Hunter,1,Good,Good,0
NSW1204,DALTON,10031,Goulburn,1,Good,Good,0
NSW1205,DALWOOD,10083,Upper Hunter,1,Good,Good,0
NSW1206,DALWOOD,10004,Ballina,1,Good,Good,0
NSW1207,DANDALOO,10026,Dubbo,1,Good,Good,0
NSW1208,DANDRY,10007,Barwon,1,Good,Good,0
NSW1209,DANGAR ISLAND,10037,Hornsby,1,Acceptable,Good,0
NSW121,BABINDA,10007,Barwon,1,Good,Good,0
NSW1210,DANGARSLEIGH,10060,Northern Tablelands,1,Good,Good,0
NSW1211,DANGELONG,10053,Monaro,1,Good,Good,0
NSW1212,DAPTO,10073,Shellharbour,1,Good,Good,0
NSW1213,DARAWANK,10056,Myall Lakes,1,Good,Good,0
NSW1214,DARBALARA,10022,Cootamundra,1,Good,Good,0
NSW1215,DARBYS FALLS,10022,Cootamundra,1,Good,Good,0
NSW1217,DARGAN,10008,Bathurst,1,Good,Good,0
NSW1218,DARK CORNER,10008,Bathurst,1,Good,Good,0
NSW1219,DARKES FOREST,10034,Heathcote,1,Good,Good,0
NSW122,BABYL CREEK,10045,Lismore,1,Good,Good,0
NSW1220,DARKWOOD,10063,Oxley,1,Good,Good,0
NSW1221,DARLING POINT,10084,Vaucluse,1,Good,Good,0
NSW1222,DARLINGHURST,10078,Sydney,1,Good,Good,0
NSW1223,DARLINGTON,10058,Newtown,1,Good,Good,0
NSW1224,DARLINGTON,10083,Upper Hunter,1,Good,Good,0
NSW1225,DARLINGTON POINT,10055,Murray,1,Good,Good,0
NSW1226,DARLOW,10085,Wagga Wagga,1,Good,Good,0
NSW1227,DAROOBALGIE,10062,Orange,1,Good,Good,0
NSW1228,DARTBROOK,10083,Upper Hunter,1,Good,Good,0
NSW1229,DARUKA,10079,Tamworth,1,Good,Good,0
NSW123,BACK CREEK,10060,Northern Tablelands,1,Good,Good,0
NSW1230,DAVIDSON,10024,Davidson,1,Acceptable,Good,0
NSW1231,DAVIS CREEK,10083,Upper Hunter,1,Good,Good,0
NSW1232,DAVISTOWN,10080,Terrigal,1,Good,Good,0
NSW1233,DAWES POINT,10078,Sydney,1,Good,Good,0
NSW1234,DAYSDALE,10001,Albury,1,Good,Good,0
NSW1235,DEAN PARK,10010,Blacktown,1,Acceptable,Good,0
NSW1236,DEAUVILLE,10067,Port Macquarie,1,Good,Good,0
NSW1237,DEBENHAM,10063,Oxley,1,Good,Good,0
NSW1238,DEE WHY,10087,Wakehurst,0.4022065,Acceptable,Good,0
NSW1238,DEE WHY,10050,Manly,0.5977935,Good,Good,0
NSW1239,DEEP CREEK,10019,Clarence,1,Good,Good,0
NSW124,BACK CREEK,10045,Lismore,1,Good,Good,0
NSW1240,DEEP CREEK,10045,Lismore,1,Good,Good,0
NSW1241,DEEP CREEK,10063,Oxley,1,Good,Good,0
NSW1242,DEEPWATER,10045,Lismore,0.1297522,Good,Good,0
NSW1242,DEEPWATER,10060,Northern Tablelands,0.8702478,Good,Good,0
NSW1243,DEER VALE,10063,Oxley,1,Good,Good,0
