SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10103,Asquith,10104,Asquith,0.9946413,Good,Good,0
10103,Asquith,11943,Hornsby,0.0053587,Good,Good,1
10104,Atholwood,10105,Atholwood,1,Good,Good,0
10105,Attunga,10106,Attunga,1,Good,Good,0
10106,Auburn (NSW),10107,Auburn (NSW),1,Good,Good,0
10107,Auburn Vale,10108,Auburn Vale,1,Good,Good,0
10108,Austinmer,10109,Austinmer,1,Good,Good,0
10109,Austral,10110,Austral,1,Good,Good,0
10110,Austral Eden,10111,Austral Eden,1,Good,Good,0
10111,Avalon Beach,10112,Avalon Beach,1,Good,Good,0
10112,Avisford,10113,Avisford,1,Good,Good,0
10113,Avoca (NSW),10114,Avoca (NSW),1,Good,Good,0
10114,Avoca Beach,10115,Avoca Beach,1,Good,Good,0
10115,Avon (NSW),10116,Avon (NSW),1,Good,Good,0
10116,Avondale (NSW),10117,Avondale (NSW),1,Good,Good,0
10117,Avonside,10118,Avonside,1,Good,Good,0
10118,Awaba,10119,Awaba,1,Good,Good,0
10119,Aylmerton,10120,Aylmerton,1,Good,Good,0
10120,Baan Baa,10121,Baan Baa,1,Good,Good,0
10121,Babinda (NSW),10122,Babinda (NSW),1,Good,Good,0
10122,Babyl Creek,10123,Babyl Creek,1,Good,Good,0
10123,Back Creek (Bland - NSW),10124,Back Creek (Bland - NSW),1,Good,Good,0
10124,Back Creek (Gwydir - NSW),10125,Back Creek (Gwydir - NSW),1,Good,Good,0
10125,Back Creek (Mid-Coast - NSW),10126,Back Creek (Mid-Coast - NSW),1,Good,Good,0
10126,Back Creek (Queanbeyan-Palerang Regional - NSW),10127,Back Creek (Queanbeyan-Palerang Regional - NSW),1,Good,Good,0
10127,Back Creek (Tenterfield - NSW),10128,Back Creek (Tenterfield - NSW),1,Good,Good,0
10128,Back Creek (Tweed - NSW),10129,Back Creek (Tweed - NSW),1,Good,Good,0
10129,Back Forest,10130,Back Forest,1,Good,Good,0
10130,Backmede,10131,Backmede,1,Good,Good,0
10131,Backwater,10132,Backwater,1,Good,Good,0
10132,Badgerys Creek,10133,Badgerys Creek,1,Good,Good,0
10133,Badja,10134,Badja,1,Good,Good,0
10134,Baerami,10135,Baerami,1,Good,Good,0
10135,Baerami Creek,10136,Baerami Creek,1,Good,Good,0
10136,Bagnoo,10137,Bagnoo,1,Good,Good,0
10137,Bago,10138,Bago,1,Good,Good,0
10138,Bagotville,10139,Bagotville,1,Good,Good,0
10139,Bakers Creek (Mid-Coast - NSW),10140,Bakers Creek (Mid-Coast - NSW),1,Good,Good,0
10140,Bakers Creek (Nambucca - NSW),10141,Bakers Creek (Nambucca Valley - NSW),1,Good,Good,0
10141,Bakers Creek (Uralla - NSW),10142,Bakers Creek (Uralla - NSW),1,Good,Good,0
