LOCALITY_PID,LOCALITY_NAME,SA4_CODE_2021,SA4_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,801,Australian Capital Territory,1,Good,Good,0
ACT102,DICKSON,801,Australian Capital Territory,1,Good,Good,0
ACT103,O'CONNOR,801,Australian Capital Territory,1,Good,Good,0
ACT104,AINSLIE,801,Australian Capital Territory,1,Good,Good,0
ACT105,TURNER,801,Australian Capital Territory,1,Good,Good,0
ACT106,BRADDON,801,Australian Capital Territory,1,Good,Good,0
ACT107,ACTON,801,Australian Capital Territory,1,Good,Good,0
ACT108,CITY,801,Australian Capital Territory,1,Good,Good,0
ACT109,REID,801,Australian Capital Territory,1,Good,Good,0
ACT110,CAMPBELL,801,Australian Capital Territory,1,Good,Good,0
ACT122,RUSSELL,801,Australian Capital Territory,1,Good,Good,0
ACT124,DOWNER,801,Australian Capital Territory,1,Good,Good,0
ACT125,WATSON,801,Australian Capital Territory,1,Good,Good,0
ACT126,HACKETT,801,Australian Capital Territory,1,Good,Good,0
ACT211,PARKES,801,Australian Capital Territory,1,Good,Good,0
ACT212,YARRALUMLA,801,Australian Capital Territory,1,Good,Good,0
ACT213,CAPITAL HILL,801,Australian Capital Territory,1,Good,Good,0
ACT214,BARTON,801,Australian Capital Territory,1,Good,Good,0
ACT215,DEAKIN,801,Australian Capital Territory,1,Good,Good,0
ACT216,FORREST,801,Australian Capital Territory,1,Good,Good,0
ACT217,KINGSTON,801,Australian Capital Territory,1,Good,Good,0
ACT218,NARRABUNDAH,801,Australian Capital Territory,1,Good,Good,0
ACT219,FYSHWICK,801,Australian Capital Territory,1,Good,Good,0
ACT220,GRIFFITH,801,Australian Capital Territory,1,Good,Good,0
ACT221,RED HILL,801,Australian Capital Territory,1,Good,Good,0
ACT251,PIALLIGO,801,Australian Capital Territory,1,Good,Good,0
ACT327,HUGHES,801,Australian Capital Territory,1,Good,Good,0
ACT328,CURTIN,801,Australian Capital Territory,1,Good,Good,0
ACT329,LYONS,801,Australian Capital Territory,1,Good,Good,0
ACT330,GARRAN,801,Australian Capital Territory,1,Good,Good,0
ACT331,PEARCE,801,Australian Capital Territory,1,Good,Good,0
ACT332,TORRENS,801,Australian Capital Territory,1,Good,Good,0
ACT333,MAWSON,801,Australian Capital Territory,1,Good,Good,0
ACT334,FARRER,801,Australian Capital Territory,1,Good,Good,0
ACT335,O'MALLEY,801,Australian Capital Territory,1,Good,Good,0
ACT336,ISAACS,801,Australian Capital Territory,1,Good,Good,0
ACT337,CHIFLEY,801,Australian Capital Territory,1,Good,Good,0
ACT338,PHILLIP,801,Australian Capital Territory,1,Good,Good,0
ACT441,WESTON,801,Australian Capital Territory,1,Good,Good,0
ACT442,WARAMANGA,801,Australian Capital Territory,1,Good,Good,0
ACT443,FISHER,801,Australian Capital Territory,1,Good,Good,0
ACT444,CHAPMAN,801,Australian Capital Territory,1,Good,Good,0
ACT445,RIVETT,801,Australian Capital Territory,1,Good,Good,0
ACT446,DUFFY,801,Australian Capital Territory,1,Good,Good,0
ACT447,HOLDER,801,Australian Capital Territory,1,Good,Good,0
ACT448,STIRLING,801,Australian Capital Territory,1,Good,Good,0
ACT552,GIRALANG,801,Australian Capital Territory,1,Good,Good,0
ACT553,KALEEN,801,Australian Capital Territory,1,Good,Good,0
ACT555,BRUCE,801,Australian Capital Territory,1,Good,Good,0
ACT556,ARANDA,801,Australian Capital Territory,1,Good,Good,0
ACT557,COOK,801,Australian Capital Territory,1,Good,Good,0
ACT558,MACQUARIE,801,Australian Capital Territory,1,Good,Good,0
ACT559,BELCONNEN,801,Australian Capital Territory,1,Good,Good,0
ACT560,FLOREY,801,Australian Capital Territory,1,Good,Good,0
ACT561,PAGE,801,Australian Capital Territory,1,Good,Good,0
ACT562,WEETANGERA,801,Australian Capital Territory,1,Good,Good,0
ACT563,HAWKER,801,Australian Capital Territory,1,Good,Good,0
ACT564,SCULLIN,801,Australian Capital Territory,1,Good,Good,0
ACT566,LATHAM,801,Australian Capital Territory,1,Good,Good,0
ACT567,HIGGINS,801,Australian Capital Territory,1,Good,Good,0
ACT568,HOLT,801,Australian Capital Territory,1,Good,Good,0
ACT569,MACGREGOR,801,Australian Capital Territory,1,Good,Good,0
ACT570,CHARNWOOD,801,Australian Capital Territory,1,Good,Good,0
ACT571,FLYNN,801,Australian Capital Territory,1,Good,Good,0
ACT572,MELBA,801,Australian Capital Territory,1,Good,Good,0
ACT574,EVATT,801,Australian Capital Territory,1,Good,Good,0
ACT575,MCKELLAR,801,Australian Capital Territory,1,Good,Good,0
ACT576,SPENCE,801,Australian Capital Territory,1,Good,Good,0
ACT577,FRASER,801,Australian Capital Territory,1,Good,Good,0
ACT578,DUNLOP,801,Australian Capital Territory,1,Good,Good,0
ACT580,LAWSON,801,Australian Capital Territory,1,Good,Good,0
ACT601,KAMBAH,801,Australian Capital Territory,1,Good,Good,0
ACT602,WANNIASSA,801,Australian Capital Territory,1,Good,Good,0
ACT603,MONASH,801,Australian Capital Territory,1,Good,Good,0
ACT604,GOWRIE,801,Australian Capital Territory,1,Good,Good,0
ACT605,FADDEN,801,Australian Capital Territory,1,Good,Good,0
ACT606,MACARTHUR,801,Australian Capital Territory,1,Good,Good,0
ACT607,RICHARDSON,801,Australian Capital Territory,1,Good,Good,0
ACT608,GILMORE,801,Australian Capital Territory,1,Good,Good,0
ACT609,CHISHOLM,801,Australian Capital Territory,1,Good,Good,0
ACT610,THEODORE,801,Australian Capital Territory,1,Good,Good,0
ACT611,CALWELL,801,Australian Capital Territory,1,Good,Good,0
ACT612,ISABELLA PLAINS,801,Australian Capital Territory,1,Good,Good,0
ACT613,CONDER,801,Australian Capital Territory,1,Good,Good,0
ACT614,BANKS,801,Australian Capital Territory,1,Good,Good,0
ACT615,GREENWAY,801,Australian Capital Territory,1,Good,Good,0
ACT616,GORDON,801,Australian Capital Territory,1,Good,Good,0
ACT619,BONYTHON,801,Australian Capital Territory,1,Good,Good,0
ACT623,OXLEY,801,Australian Capital Territory,1,Good,Good,0
ACT659,THARWA,801,Australian Capital Territory,1,Good,Good,0
ACT701,MITCHELL,801,Australian Capital Territory,1,Good,Good,0
ACT706,NGUNNAWAL,801,Australian Capital Territory,1,Good,Good,0
ACT707,AMAROO,801,Australian Capital Territory,1,Good,Good,0
ACT708,NICHOLLS,801,Australian Capital Territory,1,Good,Good,0
ACT709,PALMERSTON,801,Australian Capital Territory,1,Good,Good,0
ACT710,GUNGAHLIN,801,Australian Capital Territory,1,Good,Good,0
ACT711,HARRISON,801,Australian Capital Territory,1,Good,Good,0
ACT716,FORDE,801,Australian Capital Territory,1,Good,Good,0
ACT719,BONNER,801,Australian Capital Territory,1,Good,Good,0
ACT801,OAKS ESTATE,801,Australian Capital Territory,1,Good,Good,0
ACT802,HUME,801,Australian Capital Territory,1,Good,Good,0
ACT803,SYMONSTON,801,Australian Capital Territory,1,Good,Good,0
ACT901,HALL,801,Australian Capital Territory,1,Good,Good,0
ACT902,FRANKLIN,801,Australian Capital Territory,1,Good,Good,0
ACT903,CASEY,801,Australian Capital Territory,1,Good,Good,0
ACT904,CRACE,801,Australian Capital Territory,1,Good,Good,0
ACT905,BEARD,801,Australian Capital Territory,1,Good,Good,0
ACT906,COOMBS,801,Australian Capital Territory,1,Good,Good,0
ACT907,WRIGHT,801,Australian Capital Territory,1,Good,Good,0
ACT927,URIARRA VILLAGE,801,Australian Capital Territory,1,Good,Good,0
ACT928,JACKA,801,Australian Capital Territory,1,Good,Good,0
ACT929,DENMAN PROSPECT,801,Australian Capital Territory,1,Good,Good,0
ACT930,MOLONGLO,801,Australian Capital Territory,1,Good,Good,0
ACT931,CANBERRA AIRPORT,801,Australian Capital Territory,1,Good,Good,0
ACT932,MONCRIEFF,801,Australian Capital Territory,1,Good,Good,0
ACT933,THROSBY,801,Australian Capital Territory,1,Good,Good,0
ACT934,TAYLOR,801,Australian Capital Territory,1,Good,Good,0
ACT935,STRATHNAIRN,801,Australian Capital Territory,1,Good,Good,0
ACT936,MACNAMARA,801,Australian Capital Territory,1,Good,Good,0
ACT937,WHITLAM,801,Australian Capital Territory,1,Good,Good,0
NSW1,AARONS PASS,103,Central West,1,Good,Good,0
NSW10,ABERGLASSLYN,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW100,ASHLEY,110,New England and North West,1,Good,Good,0
NSW1000,COMARA,108,Mid North Coast,1,Good,Good,0
NSW1001,COMBANING,113,Riverina,1,Good,Good,0
NSW1002,COMBARA,105,Far West and Orana,1,Good,Good,0
NSW1003,COMBERTON,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1004,COMBO,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1005,COMBOYNE,108,Mid North Coast,1,Good,Good,0
NSW1006,COME BY CHANCE,105,Far West and Orana,1,Good,Good,0
NSW1007,COMERONG ISLAND,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1009,COMO,128,Sydney - Sutherland,1,Good,Good,0
NSW101,ASHMONT,113,Riverina,1,Good,Good,0
NSW1010,COMOBELLA,105,Far West and Orana,1,Good,Good,0
NSW1011,CONARGO,109,Murray,1,Good,Good,0
NSW1012,CONCORD,120,Sydney - Inner West,1,Good,Good,0
NSW1013,CONCORD WEST,120,Sydney - Inner West,1,Good,Good,0
NSW1014,CONDELL PARK,119,Sydney - Inner South West,1,Good,Good,0
NSW1015,CONDOBOLIN,103,Central West,1,Good,Good,0
NSW1016,CONDONG,112,Richmond - Tweed,1,Good,Good,0
NSW1017,CONEAC,108,Mid North Coast,1,Good,Good,0
NSW1018,CONGARINNI,108,Mid North Coast,1,Good,Good,0
NSW1019,CONGARINNI NORTH,108,Mid North Coast,1,Good,Good,0
NSW102,ASHTONFIELD,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1020,CONGEWAI,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1021,CONGO,101,Capital Region,1,Good,Good,0
NSW1022,CONIMBIA,105,Far West and Orana,1,Good,Good,0
NSW1023,CONISTON,107,Illawarra,1,Good,Good,0
NSW1024,CONJOLA,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1025,CONJOLA PARK,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1026,CONNELLS POINT,119,Sydney - Inner South West,1,Good,Good,0
NSW1027,CONSTITUTION HILL,125,Sydney - Parramatta,1,Good,Good,0
NSW1028,COOGEE,118,Sydney - Eastern Suburbs,1,Good,Good,0
NSW1029,COOKAMIDGERA,103,Central West,1,Good,Good,0
NSW103,ASQUITH,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW1030,COOKARDINIA,109,Murray,1,Good,Good,0
NSW1031,COOKS GAP,103,Central West,1,Good,Good,0
NSW1032,COOKS HILL,111,Newcastle and Lake Macquarie,1,Good,Good,0
NSW1033,COOKS MYALLS,103,Central West,1,Good,Good,0
NSW1034,COOLABAH,105,Far West and Orana,1,Good,Good,0
NSW1035,COOLAC,113,Riverina,1,Good,Good,0
NSW1036,COOLAGOLITE,101,Capital Region,1,Good,Good,0
NSW1037,COOLAH,105,Far West and Orana,1,Good,Good,0
NSW1038,COOLAMON,113,Riverina,1,Good,Good,0
NSW1039,COOLANGATTA,114,Southern Highlands and Shoalhaven,1,Good,Good,0
