LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT707,AMAROO,801001,Canberra - North,1,Good,Good,0
ACT708,NICHOLLS,801001,Canberra - North,1,Good,Good,0
ACT709,PALMERSTON,801001,Canberra - North,1,Good,Good,0
ACT710,GUNGAHLIN,801001,Canberra - North,1,Good,Good,0
ACT711,HARRISON,801001,Canberra - North,1,Good,Good,0
ACT716,FORDE,801001,Canberra - North,1,Good,Good,0
ACT719,BONNER,801001,Canberra - North,1,Good,Good,0
ACT801,OAKS ESTATE,801002,Canberra - South,1,Good,Good,0
ACT802,HUME,801002,Canberra - South,1,Good,Good,0
ACT803,SYMONSTON,801002,Canberra - South,1,Good,Good,0
ACT901,HALL,801001,Canberra - North,1,Good,Good,0
ACT902,FRANKLIN,801001,Canberra - North,1,Good,Good,0
ACT903,CASEY,801001,Canberra - North,1,Good,Good,0
ACT904,CRACE,801001,Canberra - North,1,Good,Good,0
ACT905,BEARD,801002,Canberra - South,1,Good,Good,0
ACT906,COOMBS,801003,Stromlo - Namadgi,1,Good,Good,0
ACT907,WRIGHT,801003,Stromlo - Namadgi,1,Good,Good,0
ACT927,URIARRA VILLAGE,801003,Stromlo - Namadgi,1,Good,Good,0
ACT928,JACKA,801001,Canberra - North,1,Good,Good,0
ACT929,DENMAN PROSPECT,801003,Stromlo - Namadgi,1,Good,Good,0
ACT930,MOLONGLO,801003,Stromlo - Namadgi,1,Good,Good,0
ACT931,CANBERRA AIRPORT,801001,Canberra - North,1,Good,Good,0
ACT932,MONCRIEFF,801001,Canberra - North,1,Good,Good,0
ACT933,THROSBY,801001,Canberra - North,1,Good,Good,0
ACT934,TAYLOR,801001,Canberra - North,1,Good,Good,0
ACT935,STRATHNAIRN,801001,Canberra - North,1,Good,Good,0
ACT936,MACNAMARA,801001,Canberra - North,1,Good,Good,0
ACT937,WHITLAM,801001,Canberra - North,1,Good,Good,0
NSW1,AARONS PASS,105016,Mudgee,1,Good,Good,0
NSW10,ABERGLASSLYN,104013,Maitland,1,Good,Good,0
NSW100,ASHLEY,102008,Moree Plains,1,Poor,Good,0
