LGA_CODE_2020,LGA_NAME_2020,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
55320,Melville (C),55320,Melville,1,Good,Good,0
55390,Menzies (S),55390,Menzies,1,Good,Good,0
55460,Merredin (S),55460,Merredin,1,Good,Good,0
55530,Mingenew (S),55530,Mingenew,1,Good,Good,0
55600,Moora (S),55600,Moora,1,Good,Good,0
55670,Morawa (S),55670,Morawa,1,Good,Good,0
55740,Mosman Park (T),55740,Mosman Park,1,Good,Good,0
55810,Mount Magnet (S),55810,Mount Magnet,1,Good,Good,0
55880,Mount Marshall (S),55880,Mount Marshall,1,Good,Good,0
55950,Mukinbudin (S),55950,Mukinbudin,1,Good,Good,0
56090,Mundaring (S),56090,Mundaring,1,Good,Good,0
56160,Murchison (S),56160,Murchison,1,Good,Good,0
56230,Murray (S),56230,Murray,1,Good,Good,0
56300,Nannup (S),56300,Nannup,1,Good,Good,0
56370,Narembeen (S),56370,Narembeen,1,Good,Good,0
56460,Narrogin (S),56460,Narrogin,1,Good,Good,0
56580,Nedlands (C),56580,Nedlands,1,Good,Good,0
56620,Ngaanyatjarraku (S),56620,Ngaanyatjarraku,1,Good,Good,0
56730,Northam (S),56730,Northam,1,Good,Good,0
56790,Northampton (S),56790,Northampton,1,Good,Good,0
56860,Nungarin (S),56860,Nungarin,1,Good,Good,0
56930,Peppermint Grove (S),56930,Peppermint Grove,1,Good,Good,0
57000,Perenjori (S),57000,Perenjori,1,Good,Good,0
57080,Perth (C),57080,Perth,1,Good,Good,0
57140,Pingelly (S),57140,Pingelly,1,Good,Good,0
57210,Plantagenet (S),57210,Plantagenet,1,Good,Good,0
57280,Port Hedland (T),57280,Port Hedland,1,Good,Good,0
57350,Quairading (S),57350,Quairading,1,Good,Good,0
57420,Ravensthorpe (S),57420,Ravensthorpe,1,Good,Good,0
57490,Rockingham (C),57490,Rockingham,1,Good,Good,0
57630,Sandstone (S),57630,Sandstone,1,Good,Good,0
57700,Serpentine-Jarrahdale (S),57700,Serpentine-Jarrahdale,1,Good,Good,0
57770,Shark Bay (S),57770,Shark Bay,1,Good,Good,0
57840,South Perth (C),57840,South Perth,1,Good,Good,0
57910,Stirling (C),57910,Stirling,1,Good,Good,0
57980,Subiaco (C),57980,Subiaco,1,Good,Good,0
58050,Swan (C),58050,Swan,1,Good,Good,0
58190,Tammin (S),58190,Tammin,1,Good,Good,0
58260,Three Springs (S),58260,Three Springs,1,Good,Good,0
58330,Toodyay (S),58330,Toodyay,1,Good,Good,0
58400,Trayning (S),58400,Trayning,1,Good,Good,0
58470,Upper Gascoyne (S),58470,Upper Gascoyne,1,Good,Good,0
58510,Victoria Park (T),58510,Victoria Park,1,Good,Good,0
58540,Victoria Plains (S),58540,Victoria Plains,1,Good,Good,0
58570,Vincent (C),58570,Vincent,1,Good,Good,0
58610,Wagin (S),58610,Wagin,1,Good,Good,0
58680,Wandering (S),58680,Wandering,1,Good,Good,0
58760,Wanneroo (C),58760,Wanneroo,1,Good,Good,0
58820,Waroona (S),58820,Waroona,1,Good,Good,0
58890,West Arthur (S),58890,West Arthur,1,Good,Good,0
59030,Westonia (S),59030,Westonia,1,Good,Good,0
59100,Wickepin (S),59100,Wickepin,1,Good,Good,0
59170,Williams (S),59170,Williams,1,Good,Good,0
59250,Wiluna (S),59250,Wiluna,1,Good,Good,0
59310,Wongan-Ballidu (S),59310,Wongan-Ballidu,1,Good,Good,0
59320,Woodanilling (S),59320,Woodanilling,1,Good,Good,0
59330,Wyalkatchem (S),59330,Wyalkatchem,1,Good,Good,0
59340,Wyndham-East Kimberley (S),59340,Wyndham-East Kimberley,1,Good,Good,0
59350,Yalgoo (S),59350,Yalgoo,1,Good,Good,0
59360,Yilgarn (S),59360,Yilgarn,1,Good,Good,0
59370,York (S),59370,York,1,Good,Good,0
59499,No usual address (WA),59499,No usual address (WA),1,Good,Good,0
59799,Migratory - Offshore - Shipping (WA),59799,Migratory - Offshore - Shipping (WA),1,Good,Good,0
60210,Break O'Day (M),60210,Break O'Day,1,Good,Good,0
60410,Brighton (M),60410,Brighton,1,Good,Good,0
60610,Burnie (C),60610,Burnie,1,Good,Good,0
60810,Central Coast (M) (Tas.),60810,Central Coast (Tas.),1,Good,Good,0
61010,Central Highlands (M) (Tas.),61010,Central Highlands (Tas.),1,Good,Good,0
61210,Circular Head (M),61210,Circular Head,0.9999996,Good,Good,0
61210,Circular Head (M),,,4.00E-07,Poor,Good,4
61410,Clarence (C),61410,Clarence,1,Good,Good,0
61510,Derwent Valley (M),61510,Derwent Valley,1,Good,Good,0
61610,Devonport (C),61610,Devonport,1,Good,Good,0
61810,Dorset (M),61810,Dorset,1,Good,Good,0
