LGA_CODE_2021,LGA_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
17150,Sutherland Shire,11,Inner Regional Australia,0.0141245,Acceptable,Good,0
17150,Sutherland Shire,10,Major Cities of Australia,0.9858755,Good,Good,0
17200,Sydney,10,Major Cities of Australia,1,Good,Good,0
17310,Tamworth Regional,12,Outer Regional Australia,0.1600305,Poor,Good,0
17310,Tamworth Regional,11,Inner Regional Australia,0.8399695,Acceptable,Good,0
17350,Temora,12,Outer Regional Australia,1,Poor,Good,0
17400,Tenterfield,12,Outer Regional Australia,1,Poor,Good,0
17420,The Hills Shire,11,Inner Regional Australia,0.0311152,Acceptable,Good,0
17420,The Hills Shire,10,Major Cities of Australia,0.9688848,Good,Good,0
17550,Tweed,11,Inner Regional Australia,0.2344366,Acceptable,Good,0
17550,Tweed,10,Major Cities of Australia,0.7655634,Good,Good,0
17620,Upper Hunter Shire,12,Outer Regional Australia,0.4050952,Poor,Good,0
17620,Upper Hunter Shire,11,Inner Regional Australia,0.5949048,Acceptable,Good,0
17640,Upper Lachlan Shire,12,Outer Regional Australia,0.1346525,Poor,Good,0
17640,Upper Lachlan Shire,11,Inner Regional Australia,0.8653475,Acceptable,Good,0
17650,Uralla,12,Outer Regional Australia,0.2354847,Poor,Good,0
17650,Uralla,11,Inner Regional Australia,0.7645153,Acceptable,Good,0
17750,Wagga Wagga,12,Outer Regional Australia,0.0146685,Poor,Good,0
17750,Wagga Wagga,11,Inner Regional Australia,0.9853315,Acceptable,Good,0
17850,Walcha,12,Outer Regional Australia,1,Poor,Good,0
17900,Walgett,14,Very Remote Australia,0.037769,Acceptable,Good,0
17900,Walgett,13,Remote Australia,0.962231,Poor,Good,0
17950,Warren,13,Remote Australia,0.3862577,Poor,Good,0
17950,Warren,12,Outer Regional Australia,0.6137423,Poor,Good,0
18020,Warrumbungle Shire,13,Remote Australia,0.0866688,Poor,Good,0
18020,Warrumbungle Shire,12,Outer Regional Australia,0.9133312,Poor,Good,0
18050,Waverley,10,Major Cities of Australia,1,Good,Good,0
18100,Weddin,12,Outer Regional Australia,1,Poor,Good,0
18200,Wentworth,13,Remote Australia,0.1266416,Poor,Good,0
18200,Wentworth,12,Outer Regional Australia,0.8733584,Poor,Good,0
18250,Willoughby,10,Major Cities of Australia,1,Good,Good,0
18350,Wingecarribee,12,Outer Regional Australia,0.000114,Poor,Good,1
18350,Wingecarribee,11,Inner Regional Australia,0.999886,Acceptable,Good,0
18400,Wollondilly,10,Major Cities of Australia,0.0952434,Good,Good,0
18400,Wollondilly,11,Inner Regional Australia,0.9047566,Acceptable,Good,0
18450,Wollongong,11,Inner Regional Australia,0.0028704,Acceptable,Good,1
18450,Wollongong,10,Major Cities of Australia,0.9971296,Good,Good,0
18500,Woollahra,10,Major Cities of Australia,1,Good,Good,0
18710,Yass Valley,12,Outer Regional Australia,6.00E-07,Poor,Good,1
18710,Yass Valley,10,Major Cities of Australia,0.0310193,Good,Good,0
18710,Yass Valley,11,Inner Regional Australia,0.9689801,Acceptable,Good,0
19399,Unincorporated NSW,10,Major Cities of Australia,0.0040576,Good,Good,1
19399,Unincorporated NSW,13,Remote Australia,0.3410928,Poor,Good,0
19399,Unincorporated NSW,14,Very Remote Australia,0.6548495,Acceptable,Good,0
19499,No usual address (NSW),19,No usual address (NSW),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),15,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20110,Alpine,22,Outer Regional Australia,0.4182735,Acceptable,Good,0
20110,Alpine,21,Inner Regional Australia,0.5817265,Acceptable,Good,0
20260,Ararat,22,Outer Regional Australia,0.1760472,Acceptable,Good,0
20260,Ararat,21,Inner Regional Australia,0.8239528,Acceptable,Good,0
20570,Ballarat,21,Inner Regional Australia,1,Acceptable,Good,0
20660,Banyule,20,Major Cities of Australia,1,Good,Good,0
20740,Bass Coast,21,Inner Regional Australia,1,Acceptable,Good,0
20830,Baw Baw,22,Outer Regional Australia,0.0001241,Acceptable,Good,1
20830,Baw Baw,21,Inner Regional Australia,0.9998759,Acceptable,Good,0
20910,Bayside (Vic.),20,Major Cities of Australia,1,Good,Good,0
21010,Benalla,22,Outer Regional Australia,0.024029,Acceptable,Good,0
21010,Benalla,21,Inner Regional Australia,0.975971,Acceptable,Good,0
21110,Boroondara,20,Major Cities of Australia,1,Good,Good,0
21180,Brimbank,20,Major Cities of Australia,1,Good,Good,0
21270,Buloke,22,Outer Regional Australia,1,Acceptable,Good,0
21370,Campaspe,22,Outer Regional Australia,0.0147092,Acceptable,Good,0
21370,Campaspe,21,Inner Regional Australia,0.9852908,Acceptable,Good,0
