LGA_CODE_2021,LGA_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
36910,Toowoomba,32,Outer Regional Australia,0.0208687,Acceptable,Good,0
36910,Toowoomba,31,Inner Regional Australia,0.9791313,Acceptable,Good,0
36950,Torres,34,Very Remote Australia,1,Acceptable,Good,0
36960,Torres Strait Island,34,Very Remote Australia,1,Acceptable,Good,0
37010,Townsville,32,Outer Regional Australia,1,Acceptable,Good,0
37300,Weipa,34,Very Remote Australia,1,Acceptable,Good,0
37310,Western Downs,33,Remote Australia,0.0628153,Poor,Good,0
37310,Western Downs,31,Inner Regional Australia,0.4034983,Acceptable,Good,0
37310,Western Downs,32,Outer Regional Australia,0.5336864,Acceptable,Good,0
37340,Whitsunday,34,Very Remote Australia,0.0141642,Acceptable,Good,0
