"STE_CODE16","age_group","sex","year_range","min_pa_last_week","p"
5,"18-24","female","2017-2018","total_150_minutes_or_more","0.807"
6,"18-24","female","2017-2018","0_minutes","0.254"
6,"18-24","female","2017-2018","between_1_and_149_minutes","0.209"
6,"18-24","female","2017-2018","between_150_and_300_minutes","0.124"
6,"18-24","female","2017-2018","more_than_300_minutes","0.433"
6,"18-24","female","2017-2018","total_150_minutes_or_more","0.547"
7,"18-24","female","2017-2018","0_minutes","0.159"
7,"18-24","female","2017-2018","between_1_and_149_minutes","0.222"
7,"18-24","female","2017-2018","between_150_and_300_minutes","0.238"
7,"18-24","female","2017-2018","more_than_300_minutes","0.46"
7,"18-24","female","2017-2018","total_150_minutes_or_more","0.73"
8,"18-24","female","2017-2018","0_minutes","0.067"
8,"18-24","female","2017-2018","between_1_and_149_minutes","0.32"
8,"18-24","female","2017-2018","between_150_and_300_minutes","0.175"
8,"18-24","female","2017-2018","more_than_300_minutes","0.5"
8,"18-24","female","2017-2018","total_150_minutes_or_more","0.716"
