"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","p"
6,"18-24","female","2017-2018","between_150_and_300_minutes",0.259
6,"18-24","female","2017-2018","more_than_300_minutes",0.294
6,"18-24","female","2017-2018","total_150_minutes_or_more",0.552
7,"18-24","female","2017-2018","0_minutes",0.175
7,"18-24","female","2017-2018","between_1_and_149_minutes",0.302
7,"18-24","female","2017-2018","between_150_and_300_minutes",0.286
7,"18-24","female","2017-2018","more_than_300_minutes",0.349
7,"18-24","female","2017-2018","total_150_minutes_or_more",0.683
8,"18-24","female","2017-2018","0_minutes",0.067
8,"18-24","female","2017-2018","between_1_and_149_minutes",0.278
8,"18-24","female","2017-2018","between_150_and_300_minutes",0.273
8,"18-24","female","2017-2018","more_than_300_minutes",0.428
8,"18-24","female","2017-2018","total_150_minutes_or_more",0.619
