"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","p"
3,"12-13","male","2017-2018","did_not_meet_recommendation","0.374"
3,"14-17","male","2017-2018","met_recommendation","0.524"
3,"14-17","male","2017-2018","did_not_meet_recommendation","0.494"
4,"2-3","male","2017-2018","met_recommendation","1"
4,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
4,"4-8","male","2017-2018","met_recommendation","0.889"
4,"4-8","male","2017-2018","did_not_meet_recommendation","0.199"
4,"9-11","male","2017-2018","met_recommendation","0.849"
4,"9-11","male","2017-2018","did_not_meet_recommendation","0.313"
4,"12-13","male","2017-2018","met_recommendation","0.476"
4,"12-13","male","2017-2018","did_not_meet_recommendation","0.626"
4,"14-17","male","2017-2018","met_recommendation","0.475"
4,"14-17","male","2017-2018","did_not_meet_recommendation","0.559"
5,"2-3","male","2017-2018","met_recommendation","1"
5,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","male","2017-2018","met_recommendation","0.953"
5,"4-8","male","2017-2018","did_not_meet_recommendation","0.182"
5,"9-11","male","2017-2018","met_recommendation","0.836"
5,"9-11","male","2017-2018","did_not_meet_recommendation","0.146"
5,"12-13","male","2017-2018","met_recommendation","0.623"
5,"12-13","male","2017-2018","did_not_meet_recommendation","0.366"
5,"14-17","male","2017-2018","met_recommendation","0.443"
5,"14-17","male","2017-2018","did_not_meet_recommendation","0.537"
6,"2-3","male","2017-2018","met_recommendation","1"
6,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","male","2017-2018","met_recommendation","0.78"
6,"4-8","male","2017-2018","did_not_meet_recommendation","0.185"
6,"9-11","male","2017-2018","met_recommendation","0.681"
6,"9-11","male","2017-2018","did_not_meet_recommendation","0.429"
6,"12-13","male","2017-2018","met_recommendation","0.662"
6,"12-13","male","2017-2018","did_not_meet_recommendation","0.279"
6,"14-17","male","2017-2018","met_recommendation","0.405"
6,"14-17","male","2017-2018","did_not_meet_recommendation","0.587"
7,"2-3","male","2017-2018","met_recommendation","0.926"
7,"2-3","male","2017-2018","did_not_meet_recommendation","0.074"
7,"4-8","male","2017-2018","met_recommendation","0.82"
7,"4-8","male","2017-2018","did_not_meet_recommendation","0.23"
7,"9-11","male","2017-2018","met_recommendation","0.706"
7,"9-11","male","2017-2018","did_not_meet_recommendation","0.353"
7,"12-13","male","2017-2018","met_recommendation","0.156"
7,"12-13","male","2017-2018","did_not_meet_recommendation","0.688"
7,"14-17","male","2017-2018","met_recommendation","0.366"
7,"14-17","male","2017-2018","did_not_meet_recommendation","0.463"
8,"2-3","male","2017-2018","met_recommendation","1.03"
8,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","male","2017-2018","met_recommendation","0.797"
8,"4-8","male","2017-2018","did_not_meet_recommendation","0.179"
8,"9-11","male","2017-2018","met_recommendation","0.961"
8,"9-11","male","2017-2018","did_not_meet_recommendation","0.247"
8,"12-13","male","2017-2018","met_recommendation","0.614"
8,"12-13","male","2017-2018","did_not_meet_recommendation","0.227"
8,"14-17","male","2017-2018","met_recommendation","0.394"
8,"14-17","male","2017-2018","did_not_meet_recommendation","0.638"
1,"2-3","female","2017-2018","met_recommendation","0.952"
1,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
1,"4-8","female","2017-2018","met_recommendation","0.764"
1,"4-8","female","2017-2018","did_not_meet_recommendation","0.2"
1,"9-11","female","2017-2018","met_recommendation","0.839"
1,"9-11","female","2017-2018","did_not_meet_recommendation","0.181"
1,"12-13","female","2017-2018","met_recommendation","0.549"
1,"12-13","female","2017-2018","did_not_meet_recommendation","0.431"
1,"14-17","female","2017-2018","met_recommendation","0.639"
1,"14-17","female","2017-2018","did_not_meet_recommendation","0.335"
2,"2-3","female","2017-2018","met_recommendation","1.015"
2,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
2,"4-8","female","2017-2018","met_recommendation","0.783"
2,"4-8","female","2017-2018","did_not_meet_recommendation","0.195"
2,"9-11","female","2017-2018","met_recommendation","0.774"
2,"9-11","female","2017-2018","did_not_meet_recommendation","0.222"
2,"12-13","female","2017-2018","met_recommendation","0.694"
2,"12-13","female","2017-2018","did_not_meet_recommendation","0.211"
2,"14-17","female","2017-2018","met_recommendation","0.657"
2,"14-17","female","2017-2018","did_not_meet_recommendation","0.328"
3,"2-3","female","2017-2018","met_recommendation","0.967"
3,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
3,"4-8","female","2017-2018","met_recommendation","0.806"
3,"4-8","female","2017-2018","did_not_meet_recommendation","0.194"
3,"9-11","female","2017-2018","met_recommendation","0.661"
3,"9-11","female","2017-2018","did_not_meet_recommendation","0.304"
3,"12-13","female","2017-2018","met_recommendation","0.571"
3,"12-13","female","2017-2018","did_not_meet_recommendation","0.397"
3,"14-17","female","2017-2018","met_recommendation","0.516"
3,"14-17","female","2017-2018","did_not_meet_recommendation","0.434"
4,"2-3","female","2017-2018","met_recommendation","1"
4,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
4,"4-8","female","2017-2018","met_recommendation","0.775"
4,"4-8","female","2017-2018","did_not_meet_recommendation","0.208"
4,"9-11","female","2017-2018","met_recommendation","0.951"
4,"9-11","female","2017-2018","did_not_meet_recommendation","0.091"
4,"12-13","female","2017-2018","met_recommendation","0.45"
4,"12-13","female","2017-2018","did_not_meet_recommendation","0.4"
4,"14-17","female","2017-2018","met_recommendation","0.577"
4,"14-17","female","2017-2018","did_not_meet_recommendation","0.369"
5,"2-3","female","2017-2018","met_recommendation","0.889"
5,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","female","2017-2018","met_recommendation","0.77"
5,"4-8","female","2017-2018","did_not_meet_recommendation","0.215"
5,"9-11","female","2017-2018","met_recommendation","0.82"
5,"9-11","female","2017-2018","did_not_meet_recommendation","0.299"
5,"12-13","female","2017-2018","met_recommendation","0.597"
5,"12-13","female","2017-2018","did_not_meet_recommendation","0.331"
5,"14-17","female","2017-2018","met_recommendation","0.756"
5,"14-17","female","2017-2018","did_not_meet_recommendation","0.357"
6,"2-3","female","2017-2018","met_recommendation","1"
6,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","female","2017-2018","met_recommendation","0.961"
6,"4-8","female","2017-2018","did_not_meet_recommendation","0.138"
6,"9-11","female","2017-2018","met_recommendation","0.578"
6,"9-11","female","2017-2018","did_not_meet_recommendation","0.311"
6,"12-13","female","2017-2018","met_recommendation","0.658"
6,"12-13","female","2017-2018","did_not_meet_recommendation","0.342"
6,"14-17","female","2017-2018","met_recommendation","0.628"
6,"14-17","female","2017-2018","did_not_meet_recommendation","0.31"
7,"2-3","female","2017-2018","met_recommendation","0.964"
7,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
7,"4-8","female","2017-2018","met_recommendation","0.825"
7,"4-8","female","2017-2018","did_not_meet_recommendation","0.079"
7,"9-11","female","2017-2018","met_recommendation","0.903"
7,"9-11","female","2017-2018","did_not_meet_recommendation","NULL"
7,"12-13","female","2017-2018","met_recommendation","0.391"
7,"12-13","female","2017-2018","did_not_meet_recommendation","0.348"
7,"14-17","female","2017-2018","met_recommendation","0.722"
7,"14-17","female","2017-2018","did_not_meet_recommendation","0.417"
8,"2-3","female","2017-2018","met_recommendation","1"
8,"2-3","female","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","female","2017-2018","met_recommendation","0.813"
8,"4-8","female","2017-2018","did_not_meet_recommendation","0.23"
8,"9-11","female","2017-2018","met_recommendation","0.554"
8,"9-11","female","2017-2018","did_not_meet_recommendation","0.265"
8,"12-13","female","2017-2018","met_recommendation","0.343"
8,"12-13","female","2017-2018","did_not_meet_recommendation","0.514"
8,"14-17","female","2017-2018","met_recommendation","0.621"
8,"14-17","female","2017-2018","did_not_meet_recommendation","0.4"
