"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
3,"9-11","all","2017-2018","did_not_consume","171700"
3,"9-11","all","2017-2018","1_metric_cup_or_less","16100"
3,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
3,"12-13","all","2017-2018","did_not_consume","48100"
3,"12-13","all","2017-2018","1_metric_cup_or_less","65300"
3,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","4600"
3,"12-13","all","2017-2018","2_metric_cups_or_more","8100"
3,"12-13","all","2017-2018","did_not_consume","115600"
3,"12-13","all","2017-2018","1_metric_cup_or_less","7200"
3,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
3,"14-17","all","2017-2018","did_not_consume","96800"
3,"14-17","all","2017-2018","1_metric_cup_or_less","93100"
3,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","22900"
3,"14-17","all","2017-2018","2_metric_cups_or_more","25400"
3,"14-17","all","2017-2018","did_not_consume","205300"
3,"14-17","all","2017-2018","1_metric_cup_or_less","19500"
3,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","5300"
3,"14-17","all","2017-2018","2_metric_cups_or_more","3900"
4,"2-3","all","2017-2018","did_not_consume","25900"
4,"2-3","all","2017-2018","1_metric_cup_or_less","7400"
4,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
4,"2-3","all","2017-2018","did_not_consume","30000"
4,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
4,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","all","2017-2018","did_not_consume","84500"
4,"4-8","all","2017-2018","1_metric_cup_or_less","27700"
4,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","all","2017-2018","did_not_consume","114400"
4,"4-8","all","2017-2018","1_metric_cup_or_less","9300"
4,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","all","2017-2018","did_not_consume","29700"
4,"9-11","all","2017-2018","1_metric_cup_or_less","24400"
4,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","2200"
