"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p"
6,"4-8","all","2017-2018","did_not_meet_recommendation","0.946"
6,"9-11","all","2017-2018","met_recommendation","0.608"
6,"9-11","all","2017-2018","did_not_meet_recommendation","0.363"
6,"9-11","all","2017-2018","met_recommendation","0.053"
6,"9-11","all","2017-2018","did_not_meet_recommendation","0.965"
6,"12-13","all","2017-2018","met_recommendation","0.61"
6,"12-13","all","2017-2018","did_not_meet_recommendation","0.34"
6,"12-13","all","2017-2018","met_recommendation","NULL"
6,"12-13","all","2017-2018","did_not_meet_recommendation","1.1"
6,"14-17","all","2017-2018","met_recommendation","0.605"
6,"14-17","all","2017-2018","did_not_meet_recommendation","0.426"
6,"14-17","all","2017-2018","met_recommendation","0.039"
6,"14-17","all","2017-2018","did_not_meet_recommendation","0.949"
7,"2-3","all","2017-2018","met_recommendation","0.864"
7,"2-3","all","2017-2018","did_not_meet_recommendation","0.051"
7,"2-3","all","2017-2018","met_recommendation","0.254"
7,"2-3","all","2017-2018","did_not_meet_recommendation","0.746"
7,"4-8","all","2017-2018","met_recommendation","0.856"
7,"4-8","all","2017-2018","did_not_meet_recommendation","0.168"
7,"4-8","all","2017-2018","met_recommendation","0.064"
7,"4-8","all","2017-2018","did_not_meet_recommendation","0.976"
7,"9-11","all","2017-2018","met_recommendation","0.894"
7,"9-11","all","2017-2018","did_not_meet_recommendation","0.242"
7,"9-11","all","2017-2018","met_recommendation","0.106"
7,"9-11","all","2017-2018","did_not_meet_recommendation","0.985"
7,"12-13","all","2017-2018","met_recommendation","0.449"
7,"12-13","all","2017-2018","did_not_meet_recommendation","0.653"
7,"12-13","all","2017-2018","met_recommendation","NULL"
7,"12-13","all","2017-2018","did_not_meet_recommendation","0.857"
7,"14-17","all","2017-2018","met_recommendation","0.527"
7,"14-17","all","2017-2018","did_not_meet_recommendation","0.419"
7,"14-17","all","2017-2018","met_recommendation","NULL"
7,"14-17","all","2017-2018","did_not_meet_recommendation","1.014"
8,"2-3","all","2017-2018","met_recommendation","1.009"
8,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
8,"2-3","all","2017-2018","met_recommendation","0.122"
8,"2-3","all","2017-2018","did_not_meet_recommendation","0.852"
8,"4-8","all","2017-2018","met_recommendation","0.845"
8,"4-8","all","2017-2018","did_not_meet_recommendation","0.199"
8,"4-8","all","2017-2018","met_recommendation","NULL"
8,"4-8","all","2017-2018","did_not_meet_recommendation","0.978"
8,"9-11","all","2017-2018","met_recommendation","0.789"
8,"9-11","all","2017-2018","did_not_meet_recommendation","0.248"
8,"9-11","all","2017-2018","met_recommendation","NULL"
8,"9-11","all","2017-2018","did_not_meet_recommendation","0.944"
8,"12-13","all","2017-2018","met_recommendation","0.453"
8,"12-13","all","2017-2018","did_not_meet_recommendation","0.467"
8,"12-13","all","2017-2018","met_recommendation","NULL"
8,"12-13","all","2017-2018","did_not_meet_recommendation","1"
8,"14-17","all","2017-2018","met_recommendation","0.503"
8,"14-17","all","2017-2018","did_not_meet_recommendation","0.487"
8,"14-17","all","2017-2018","met_recommendation","0.052"
8,"14-17","all","2017-2018","did_not_meet_recommendation","0.984"
1,"2-3","male","2017-2018","met_recommendation","0.115"
1,"2-3","male","2017-2018","did_not_meet_recommendation","0.777"
1,"4-8","male","2017-2018","met_recommendation","0.035"
1,"4-8","male","2017-2018","did_not_meet_recommendation","0.972"
1,"9-11","male","2017-2018","met_recommendation","0.053"
1,"9-11","male","2017-2018","did_not_meet_recommendation","0.963"
1,"12-13","male","2017-2018","met_recommendation","NULL"
1,"12-13","male","2017-2018","did_not_meet_recommendation","1"
1,"14-17","male","2017-2018","met_recommendation","0.025"
1,"14-17","male","2017-2018","did_not_meet_recommendation","0.95"
2,"2-3","male","2017-2018","met_recommendation","0.26"
2,"2-3","male","2017-2018","did_not_meet_recommendation","0.841"
2,"4-8","male","2017-2018","met_recommendation","0.037"
2,"4-8","male","2017-2018","did_not_meet_recommendation","0.912"
2,"9-11","male","2017-2018","met_recommendation","0.05"
2,"9-11","male","2017-2018","did_not_meet_recommendation","0.935"
2,"12-13","male","2017-2018","met_recommendation","NULL"
2,"12-13","male","2017-2018","did_not_meet_recommendation","1"
2,"14-17","male","2017-2018","met_recommendation","0.036"
2,"14-17","male","2017-2018","did_not_meet_recommendation","0.953"
3,"2-3","male","2017-2018","met_recommendation","0.153"
3,"2-3","male","2017-2018","did_not_meet_recommendation","0.766"
3,"4-8","male","2017-2018","met_recommendation","0.036"
3,"4-8","male","2017-2018","did_not_meet_recommendation","0.996"
3,"9-11","male","2017-2018","met_recommendation","0.033"
3,"9-11","male","2017-2018","did_not_meet_recommendation","0.942"
3,"12-13","male","2017-2018","met_recommendation","0.063"
3,"12-13","male","2017-2018","did_not_meet_recommendation","0.909"
3,"14-17","male","2017-2018","met_recommendation","0.039"
3,"14-17","male","2017-2018","did_not_meet_recommendation","0.97"
4,"2-3","male","2017-2018","met_recommendation","0.156"
4,"2-3","male","2017-2018","did_not_meet_recommendation","0.91"
4,"4-8","male","2017-2018","met_recommendation","NULL"
4,"4-8","male","2017-2018","did_not_meet_recommendation","1.035"
4,"9-11","male","2017-2018","met_recommendation","NULL"
4,"9-11","male","2017-2018","did_not_meet_recommendation","1.173"
4,"12-13","male","2017-2018","met_recommendation","NULL"
4,"12-13","male","2017-2018","did_not_meet_recommendation","1"
4,"14-17","male","2017-2018","met_recommendation","NULL"
4,"14-17","male","2017-2018","did_not_meet_recommendation","0.897"
5,"2-3","male","2017-2018","met_recommendation","0.302"
5,"2-3","male","2017-2018","did_not_meet_recommendation","1.06"
5,"4-8","male","2017-2018","met_recommendation","0.05"
5,"4-8","male","2017-2018","did_not_meet_recommendation","0.987"
5,"9-11","male","2017-2018","met_recommendation","NULL"
5,"9-11","male","2017-2018","did_not_meet_recommendation","0.81"
5,"12-13","male","2017-2018","met_recommendation","NULL"
5,"12-13","male","2017-2018","did_not_meet_recommendation","1"
5,"14-17","male","2017-2018","met_recommendation","NULL"
5,"14-17","male","2017-2018","did_not_meet_recommendation","0.915"
6,"2-3","male","2017-2018","met_recommendation","0.215"
6,"2-3","male","2017-2018","did_not_meet_recommendation","0.631"
6,"4-8","male","2017-2018","met_recommendation","NULL"
6,"4-8","male","2017-2018","did_not_meet_recommendation","1.012"
6,"9-11","male","2017-2018","met_recommendation","NULL"
6,"9-11","male","2017-2018","did_not_meet_recommendation","1"
6,"12-13","male","2017-2018","met_recommendation","NULL"
6,"12-13","male","2017-2018","did_not_meet_recommendation","1.029"
6,"14-17","male","2017-2018","met_recommendation","NULL"
6,"14-17","male","2017-2018","did_not_meet_recommendation","1"
7,"2-3","male","2017-2018","met_recommendation","0.222"
7,"2-3","male","2017-2018","did_not_meet_recommendation","0.963"
7,"4-8","male","2017-2018","met_recommendation","0.066"
7,"4-8","male","2017-2018","did_not_meet_recommendation","1.033"
7,"9-11","male","2017-2018","met_recommendation","0.059"
7,"9-11","male","2017-2018","did_not_meet_recommendation","1.118"
7,"12-13","male","2017-2018","met_recommendation","NULL"
7,"12-13","male","2017-2018","did_not_meet_recommendation","1"
7,"14-17","male","2017-2018","met_recommendation","NULL"
7,"14-17","male","2017-2018","did_not_meet_recommendation","0.951"
8,"2-3","male","2017-2018","met_recommendation","0.197"
8,"2-3","male","2017-2018","did_not_meet_recommendation","0.909"
8,"4-8","male","2017-2018","met_recommendation","NULL"
8,"4-8","male","2017-2018","did_not_meet_recommendation","1"
8,"9-11","male","2017-2018","met_recommendation","NULL"
8,"9-11","male","2017-2018","did_not_meet_recommendation","1"
8,"12-13","male","2017-2018","met_recommendation","NULL"
8,"12-13","male","2017-2018","did_not_meet_recommendation","1"
8,"14-17","male","2017-2018","met_recommendation","NULL"
8,"14-17","male","2017-2018","did_not_meet_recommendation","1"
1,"2-3","female","2017-2018","met_recommendation","0.247"
1,"2-3","female","2017-2018","did_not_meet_recommendation","0.781"
1,"4-8","female","2017-2018","met_recommendation","0.099"
1,"4-8","female","2017-2018","did_not_meet_recommendation","0.909"
1,"9-11","female","2017-2018","met_recommendation","0.087"
1,"9-11","female","2017-2018","did_not_meet_recommendation","0.903"
1,"12-13","female","2017-2018","met_recommendation","NULL"
1,"12-13","female","2017-2018","did_not_meet_recommendation","0.934"
1,"14-17","female","2017-2018","met_recommendation","0.05"
1,"14-17","female","2017-2018","did_not_meet_recommendation","0.917"
