"STE_CODE16","age_group","sex","year_range","min_pa_last_week","n"
6,"18-24","female","2017-2018","between_150_and_300_minutes","2500"
6,"18-24","female","2017-2018","more_than_300_minutes","8700"
6,"18-24","female","2017-2018","total_150_minutes_or_more","11000"
7,"18-24","female","2017-2018","0_minutes","1000"
7,"18-24","female","2017-2018","between_1_and_149_minutes","1400"
7,"18-24","female","2017-2018","between_150_and_300_minutes","1500"
7,"18-24","female","2017-2018","more_than_300_minutes","2900"
7,"18-24","female","2017-2018","total_150_minutes_or_more","4600"
8,"18-24","female","2017-2018","0_minutes","1300"
8,"18-24","female","2017-2018","between_1_and_149_minutes","6200"
8,"18-24","female","2017-2018","between_150_and_300_minutes","3400"
8,"18-24","female","2017-2018","more_than_300_minutes","9700"
8,"18-24","female","2017-2018","total_150_minutes_or_more","13900"
