"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
3,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
3,"9-11","all","2017-2018","did_not_consume","0.922"
3,"9-11","all","2017-2018","1_metric_cup_or_less","0.086"
3,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
3,"12-13","all","2017-2018","did_not_consume","0.366"
3,"12-13","all","2017-2018","1_metric_cup_or_less","0.496"
3,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","0.035"
3,"12-13","all","2017-2018","2_metric_cups_or_more","0.062"
3,"12-13","all","2017-2018","did_not_consume","0.878"
3,"12-13","all","2017-2018","1_metric_cup_or_less","0.055"
3,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
3,"14-17","all","2017-2018","did_not_consume","0.418"
3,"14-17","all","2017-2018","1_metric_cup_or_less","0.402"
3,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.099"
3,"14-17","all","2017-2018","2_metric_cups_or_more","0.11"
3,"14-17","all","2017-2018","did_not_consume","0.887"
3,"14-17","all","2017-2018","1_metric_cup_or_less","0.084"
3,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.023"
3,"14-17","all","2017-2018","2_metric_cups_or_more","0.017"
4,"2-3","all","2017-2018","did_not_consume","0.906"
4,"2-3","all","2017-2018","1_metric_cup_or_less","0.259"
4,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
4,"2-3","all","2017-2018","did_not_consume","1.049"
4,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
4,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","all","2017-2018","did_not_consume","0.737"
4,"4-8","all","2017-2018","1_metric_cup_or_less","0.242"
4,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","all","2017-2018","did_not_consume","0.998"
4,"4-8","all","2017-2018","1_metric_cup_or_less","0.081"
4,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","all","2017-2018","did_not_consume","0.487"
4,"9-11","all","2017-2018","1_metric_cup_or_less","0.4"
4,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","0.036"
4,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","all","2017-2018","did_not_consume","0.821"
4,"9-11","all","2017-2018","1_metric_cup_or_less","0.13"
4,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
4,"12-13","all","2017-2018","did_not_consume","0.271"
4,"12-13","all","2017-2018","1_metric_cup_or_less","0.546"
4,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","0.047"
4,"12-13","all","2017-2018","2_metric_cups_or_more","0.072"
4,"12-13","all","2017-2018","did_not_consume","0.776"
4,"12-13","all","2017-2018","1_metric_cup_or_less","0.075"
4,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"12-13","all","2017-2018","2_metric_cups_or_more","0.058"
4,"14-17","all","2017-2018","did_not_consume","0.401"
4,"14-17","all","2017-2018","1_metric_cup_or_less","0.463"
4,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.079"
4,"14-17","all","2017-2018","2_metric_cups_or_more","0.094"
4,"14-17","all","2017-2018","did_not_consume","0.762"
4,"14-17","all","2017-2018","1_metric_cup_or_less","0.165"
4,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"14-17","all","2017-2018","2_metric_cups_or_more","0.038"
5,"2-3","all","2017-2018","did_not_consume","0.677"
5,"2-3","all","2017-2018","1_metric_cup_or_less","0.281"
5,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
5,"2-3","all","2017-2018","did_not_consume","0.948"
5,"2-3","all","2017-2018","1_metric_cup_or_less","0.042"
5,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
5,"4-8","all","2017-2018","did_not_consume","0.676"
5,"4-8","all","2017-2018","1_metric_cup_or_less","0.306"
5,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","all","2017-2018","2_metric_cups_or_more","0.046"
5,"4-8","all","2017-2018","did_not_consume","0.97"
5,"4-8","all","2017-2018","1_metric_cup_or_less","0.023"
5,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
5,"9-11","all","2017-2018","did_not_consume","0.646"
5,"9-11","all","2017-2018","1_metric_cup_or_less","0.34"
5,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
5,"9-11","all","2017-2018","did_not_consume","0.964"
5,"9-11","all","2017-2018","1_metric_cup_or_less","0.033"
5,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","all","2017-2018","did_not_consume","0.482"
5,"12-13","all","2017-2018","1_metric_cup_or_less","0.494"
5,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","all","2017-2018","did_not_consume","0.986"
5,"12-13","all","2017-2018","1_metric_cup_or_less","0.062"
5,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
5,"14-17","all","2017-2018","did_not_consume","0.488"
5,"14-17","all","2017-2018","1_metric_cup_or_less","0.417"
5,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.035"
5,"14-17","all","2017-2018","2_metric_cups_or_more","0.066"
5,"14-17","all","2017-2018","did_not_consume","0.853"
5,"14-17","all","2017-2018","1_metric_cup_or_less","0.074"
5,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.013"
5,"14-17","all","2017-2018","2_metric_cups_or_more","0.049"
6,"2-3","all","2017-2018","did_not_consume","0.857"
6,"2-3","all","2017-2018","1_metric_cup_or_less","0.059"
6,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","all","2017-2018","2_metric_cups_or_more","0.059"
6,"2-3","all","2017-2018","did_not_consume","1"
6,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
6,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
6,"4-8","all","2017-2018","did_not_consume","0.536"
6,"4-8","all","2017-2018","1_metric_cup_or_less","0.414"
6,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
6,"4-8","all","2017-2018","did_not_consume","0.94"
6,"4-8","all","2017-2018","1_metric_cup_or_less","0.08"
6,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
