"SA3_CODE16","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
11601,"all","0-5","2016-2017","1 year",2043,0.94
11602,"all","0-5","2016-2017","1 year",1422,0.95
11603,"all","0-5","2016-2017","1 year",1808,0.92
11701,"all","0-5","2016-2017","1 year",580,0.93
11702,"all","0-5","2016-2017","1 year",613,0.93
11703,"all","0-5","2016-2017","1 year",1853,0.92
11801,"all","0-5","2016-2017","1 year",1602,0.93
11802,"all","0-5","2016-2017","1 year",1622,0.91
11901,"all","0-5","2016-2017","1 year",2581,0.92
11902,"all","0-5","2016-2017","1 year",1974,0.92
11903,"all","0-5","2016-2017","1 year",1396,0.92
11904,"all","0-5","2016-2017","1 year",1740,0.92
12001,"all","0-5","2016-2017","1 year",1088,0.95
12002,"all","0-5","2016-2017","1 year",811,0.94
12003,"all","0-5","2016-2017","1 year",1663,0.92
12101,"all","0-5","2016-2017","1 year",1436,0.94
12102,"all","0-5","2016-2017","1 year",980,0.94
12103,"all","0-5","2016-2017","1 year",1004,0.93
12104,"all","0-5","2016-2017","1 year",1155,0.93
12201,"all","0-5","2016-2017","1 year",581,0.94
12202,"all","0-5","2016-2017","1 year",641,0.91
12203,"all","0-5","2016-2017","1 year",1881,0.94
12301,"all","0-5","2016-2017","1 year",994,0.96
12302,"all","0-5","2016-2017","1 year",2378,0.94
12303,"all","0-5","2016-2017","1 year",581,0.95
12401,"all","0-5","2016-2017","1 year",739,0.92
12402,"all","0-5","2016-2017","1 year",NA,NA
12403,"all","0-5","2016-2017","1 year",2176,0.96
12404,"all","0-5","2016-2017","1 year",502,0.94
12405,"all","0-5","2016-2017","1 year",943,0.93
12501,"all","0-5","2016-2017","1 year",1338,0.9
12502,"all","0-5","2016-2017","1 year",855,0.93
12503,"all","0-5","2016-2017","1 year",2525,0.91
12504,"all","0-5","2016-2017","1 year",2136,0.92
12601,"all","0-5","2016-2017","1 year",417,0.92
12602,"all","0-5","2016-2017","1 year",1502,0.94
12701,"all","0-5","2016-2017","1 year",1544,0.95
12702,"all","0-5","2016-2017","1 year",2243,0.91
12703,"all","0-5","2016-2017","1 year",1891,0.93
12801,"all","0-5","2016-2017","1 year",1369,0.95
12802,"all","0-5","2016-2017","1 year",1338,0.96
20101,"all","0-5","2016-2017","1 year",1340,0.95
20102,"all","0-5","2016-2017","1 year",249,0.93
20103,"all","0-5","2016-2017","1 year",237,0.96
20201,"all","0-5","2016-2017","1 year",1113,0.95
20202,"all","0-5","2016-2017","1 year",443,0.94
20203,"all","0-5","2016-2017","1 year",103,0.94
20301,"all","0-5","2016-2017","1 year",219,0.97
20302,"all","0-5","2016-2017","1 year",2369,0.95
20303,"all","0-5","2016-2017","1 year",728,0.94
20401,"all","0-5","2016-2017","1 year",495,0.95
20402,"all","0-5","2016-2017","1 year",441,0.95
20403,"all","0-5","2016-2017","1 year",813,0.96
20501,"all","0-5","2016-2017","1 year",586,0.94
20502,"all","0-5","2016-2017","1 year",436,0.93
20503,"all","0-5","2016-2017","1 year",618,0.96
20504,"all","0-5","2016-2017","1 year",909,0.96
20505,"all","0-5","2016-2017","1 year",470,0.95
20601,"all","0-5","2016-2017","1 year",1105,0.94
20602,"all","0-5","2016-2017","1 year",556,0.96
20603,"all","0-5","2016-2017","1 year",767,0.94
20604,"all","0-5","2016-2017","1 year",1016,0.88
20605,"all","0-5","2016-2017","1 year",1161,0.93
20606,"all","0-5","2016-2017","1 year",515,0.92
20607,"all","0-5","2016-2017","1 year",950,0.94
20701,"all","0-5","2016-2017","1 year",1434,0.94
20702,"all","0-5","2016-2017","1 year",776,0.94
20703,"all","0-5","2016-2017","1 year",981,0.94
20801,"all","0-5","2016-2017","1 year",893,0.93
20802,"all","0-5","2016-2017","1 year",1688,0.94
20803,"all","0-5","2016-2017","1 year",1453,0.94
20804,"all","0-5","2016-2017","1 year",379,0.95
20901,"all","0-5","2016-2017","1 year",1543,0.94
20902,"all","0-5","2016-2017","1 year",1238,0.93
20903,"all","0-5","2016-2017","1 year",625,0.95
20904,"all","0-5","2016-2017","1 year",3422,0.95
21001,"all","0-5","2016-2017","1 year",671,0.96
21002,"all","0-5","2016-2017","1 year",324,0.96
21003,"all","0-5","2016-2017","1 year",1133,0.92
21004,"all","0-5","2016-2017","1 year",504,0.95
21005,"all","0-5","2016-2017","1 year",2675,0.92
21101,"all","0-5","2016-2017","1 year",1741,0.95
21102,"all","0-5","2016-2017","1 year",217,0.93
21103,"all","0-5","2016-2017","1 year",1510,0.95
21104,"all","0-5","2016-2017","1 year",662,0.95
21105,"all","0-5","2016-2017","1 year",1783,0.94
21201,"all","0-5","2016-2017","1 year",1604,0.94
21202,"all","0-5","2016-2017","1 year",1727,0.93
21203,"all","0-5","2016-2017","1 year",2914,0.94
21204,"all","0-5","2016-2017","1 year",2636,0.93
21205,"all","0-5","2016-2017","1 year",1655,0.93
21301,"all","0-5","2016-2017","1 year",2640,0.93
21302,"all","0-5","2016-2017","1 year",1171,0.93
21303,"all","0-5","2016-2017","1 year",1176,0.93
21304,"all","0-5","2016-2017","1 year",2379,0.94
21305,"all","0-5","2016-2017","1 year",4379,0.93
21401,"all","0-5","2016-2017","1 year",1924,0.95
21402,"all","0-5","2016-2017","1 year",1516,0.94
21501,"all","0-5","2016-2017","1 year",628,0.98
21502,"all","0-5","2016-2017","1 year",651,0.91
21503,"all","0-5","2016-2017","1 year",440,0.94
21601,"all","0-5","2016-2017","1 year",412,0.94
21602,"all","0-5","2016-2017","1 year",311,0.95
21603,"all","0-5","2016-2017","1 year",824,0.94
21701,"all","0-5","2016-2017","1 year",377,0.91
21702,"all","0-5","2016-2017","1 year",980,0.97
30101,"all","0-5","2016-2017","1 year",848,0.96
30102,"all","0-5","2016-2017","1 year",853,0.95
30103,"all","0-5","2016-2017","1 year",980,0.95
30201,"all","0-5","2016-2017","1 year",537,0.97
30202,"all","0-5","2016-2017","1 year",949,0.96
30203,"all","0-5","2016-2017","1 year",526,0.96
30204,"all","0-5","2016-2017","1 year",755,0.96
30301,"all","0-5","2016-2017","1 year",638,0.95
30302,"all","0-5","2016-2017","1 year",860,0.94
30303,"all","0-5","2016-2017","1 year",821,0.96
30304,"all","0-5","2016-2017","1 year",487,0.95
30305,"all","0-5","2016-2017","1 year",914,0.94
30306,"all","0-5","2016-2017","1 year",572,0.94
30401,"all","0-5","2016-2017","1 year",392,0.94
30402,"all","0-5","2016-2017","1 year",425,0.93
30403,"all","0-5","2016-2017","1 year",448,0.94
30404,"all","0-5","2016-2017","1 year",646,0.97
30501,"all","0-5","2016-2017","1 year",508,0.92
30502,"all","0-5","2016-2017","1 year",538,0.95
30503,"all","0-5","2016-2017","1 year",872,0.94
30504,"all","0-5","2016-2017","1 year",627,0.95
30601,"all","0-5","2016-2017","1 year",634,0.95
30602,"all","0-5","2016-2017","1 year",1406,0.94
30603,"all","0-5","2016-2017","1 year",374,0.92
30604,"all","0-5","2016-2017","1 year",118,0.9
30605,"all","0-5","2016-2017","1 year",392,0.89
30701,"all","0-5","2016-2017","1 year",627,0.96
30702,"all","0-5","2016-2017","1 year",537,0.95
30703,"all","0-5","2016-2017","1 year",465,0.92
30801,"all","0-5","2016-2017","1 year",537,0.96
30802,"all","0-5","2016-2017","1 year",1118,0.94
30803,"all","0-5","2016-2017","1 year",1451,0.95
30901,"all","0-5","2016-2017","1 year",721,0.92
30902,"all","0-5","2016-2017","1 year",583,0.9
30903,"all","0-5","2016-2017","1 year",624,0.94
30904,"all","0-5","2016-2017","1 year",157,0.9
30905,"all","0-5","2016-2017","1 year",366,0.91
30906,"all","0-5","2016-2017","1 year",872,0.94
30907,"all","0-5","2016-2017","1 year",1834,0.94
30908,"all","0-5","2016-2017","1 year",552,0.94
30909,"all","0-5","2016-2017","1 year",590,0.94
30910,"all","0-5","2016-2017","1 year",343,0.92
31001,"all","0-5","2016-2017","1 year",1106,0.95
31002,"all","0-5","2016-2017","1 year",684,0.95
31003,"all","0-5","2016-2017","1 year",1565,0.96
31004,"all","0-5","2016-2017","1 year",1573,0.95
31101,"all","0-5","2016-2017","1 year",137,0.93
31102,"all","0-5","2016-2017","1 year",642,0.93
31103,"all","0-5","2016-2017","1 year",1303,0.94
31104,"all","0-5","2016-2017","1 year",522,0.95
31105,"all","0-5","2016-2017","1 year",825,0.93
31106,"all","0-5","2016-2017","1 year",1315,0.93
31201,"all","0-5","2016-2017","1 year",517,0.97
31202,"all","0-5","2016-2017","1 year",1550,0.96
31203,"all","0-5","2016-2017","1 year",233,0.94
31301,"all","0-5","2016-2017","1 year",268,0.95
31302,"all","0-5","2016-2017","1 year",937,0.96
31303,"all","0-5","2016-2017","1 year",NA,NA
31304,"all","0-5","2016-2017","1 year",839,0.96
31305,"all","0-5","2016-2017","1 year",592,0.95
31401,"all","0-5","2016-2017","1 year",972,0.95
31402,"all","0-5","2016-2017","1 year",1206,0.95
31403,"all","0-5","2016-2017","1 year",546,0.96
31501,"all","0-5","2016-2017","1 year",495,0.95
31502,"all","0-5","2016-2017","1 year",554,0.95
31503,"all","0-5","2016-2017","1 year",217,0.97
31601,"all","0-5","2016-2017","1 year",497,0.9
31602,"all","0-5","2016-2017","1 year",824,0.94
31603,"all","0-5","2016-2017","1 year",620,0.91
31604,"all","0-5","2016-2017","1 year",588,0.87
31605,"all","0-5","2016-2017","1 year",322,0.9
31606,"all","0-5","2016-2017","1 year",459,0.89
31701,"all","0-5","2016-2017","1 year",1828,0.96
31801,"all","0-5","2016-2017","1 year",442,0.95
31802,"all","0-5","2016-2017","1 year",2631,0.95
31901,"all","0-5","2016-2017","1 year",936,0.96
31902,"all","0-5","2016-2017","1 year",509,0.9
31903,"all","0-5","2016-2017","1 year",465,0.93
31904,"all","0-5","2016-2017","1 year",545,0.94
31905,"all","0-5","2016-2017","1 year",422,0.93
40101,"all","0-5","2016-2017","1 year",108,0.86
40102,"all","0-5","2016-2017","1 year",721,0.93
40103,"all","0-5","2016-2017","1 year",336,0.93
40104,"all","0-5","2016-2017","1 year",503,0.92
40105,"all","0-5","2016-2017","1 year",293,0.92
40106,"all","0-5","2016-2017","1 year",320,0.94
40107,"all","0-5","2016-2017","1 year",332,0.95
40201,"all","0-5","2016-2017","1 year",362,0.94
40202,"all","0-5","2016-2017","1 year",1497,0.93
40203,"all","0-5","2016-2017","1 year",1000,0.94
40204,"all","0-5","2016-2017","1 year",1807,0.94
40205,"all","0-5","2016-2017","1 year",1041,0.95
40301,"all","0-5","2016-2017","1 year",318,0.94
40302,"all","0-5","2016-2017","1 year",994,0.95
40303,"all","0-5","2016-2017","1 year",595,0.94
40304,"all","0-5","2016-2017","1 year",2056,0.94
40401,"all","0-5","2016-2017","1 year",1190,0.94
40402,"all","0-5","2016-2017","1 year",632,0.93
40403,"all","0-5","2016-2017","1 year",651,0.92
40501,"all","0-5","2016-2017","1 year",341,0.94
40502,"all","0-5","2016-2017","1 year",215,0.96
40503,"all","0-5","2016-2017","1 year",289,0.95
40504,"all","0-5","2016-2017","1 year",233,0.97
40601,"all","0-5","2016-2017","1 year",703,0.96
40602,"all","0-5","2016-2017","1 year",334,0.94
40701,"all","0-5","2016-2017","1 year",388,0.92
40702,"all","0-5","2016-2017","1 year",670,0.96
40703,"all","0-5","2016-2017","1 year",741,0.96
50101,"all","0-5","2016-2017","1 year",562,0.88
50102,"all","0-5","2016-2017","1 year",1343,0.94
50103,"all","0-5","2016-2017","1 year",211,0.9
50201,"all","0-5","2016-2017","1 year",1092,0.93
50301,"all","0-5","2016-2017","1 year",486,0.9
50302,"all","0-5","2016-2017","1 year",1112,0.92
50401,"all","0-5","2016-2017","1 year",1021,0.91
50402,"all","0-5","2016-2017","1 year",395,0.9
50403,"all","0-5","2016-2017","1 year",1947,0.94
50501,"all","0-5","2016-2017","1 year",1779,0.94
50502,"all","0-5","2016-2017","1 year",2598,0.92
50503,"all","0-5","2016-2017","1 year",2896,0.94
50601,"all","0-5","2016-2017","1 year",1475,0.93
50602,"all","0-5","2016-2017","1 year",968,0.93
50603,"all","0-5","2016-2017","1 year",1133,0.93
50604,"all","0-5","2016-2017","1 year",1733,0.93
50605,"all","0-5","2016-2017","1 year",656,0.94
50606,"all","0-5","2016-2017","1 year",448,0.94
50607,"all","0-5","2016-2017","1 year",414,0.92
50701,"all","0-5","2016-2017","1 year",1463,0.94
50702,"all","0-5","2016-2017","1 year",372,0.9
50703,"all","0-5","2016-2017","1 year",701,0.94
50704,"all","0-5","2016-2017","1 year",1033,0.92
50705,"all","0-5","2016-2017","1 year",1786,0.93
50801,"all","0-5","2016-2017","1 year",185,0.95
50802,"all","0-5","2016-2017","1 year",NA,NA
50803,"all","0-5","2016-2017","1 year",657,0.94
50804,"all","0-5","2016-2017","1 year",617,0.95
50805,"all","0-5","2016-2017","1 year",697,0.93
50806,"all","0-5","2016-2017","1 year",828,0.93
50901,"all","0-5","2016-2017","1 year",674,0.94
50902,"all","0-5","2016-2017","1 year",606,0.95
50903,"all","0-5","2016-2017","1 year",250,0.95
60101,"all","0-5","2016-2017","1 year",258,0.96
60102,"all","0-5","2016-2017","1 year",631,0.96
60103,"all","0-5","2016-2017","1 year",625,0.95
60104,"all","0-5","2016-2017","1 year",374,0.94
60105,"all","0-5","2016-2017","1 year",477,0.94
60106,"all","0-5","2016-2017","1 year",176,0.96
60201,"all","0-5","2016-2017","1 year",879,0.92
60202,"all","0-5","2016-2017","1 year",188,0.92
60203,"all","0-5","2016-2017","1 year",332,0.93
60301,"all","0-5","2016-2017","1 year",134,0.95
60302,"all","0-5","2016-2017","1 year",176,0.9
60303,"all","0-5","2016-2017","1 year",9999999,9999999
60401,"all","0-5","2016-2017","1 year",481,0.94
60402,"all","0-5","2016-2017","1 year",427,0.92
60403,"all","0-5","2016-2017","1 year",NA,NA
70101,"all","0-5","2016-2017","1 year",313,0.93
70102,"all","0-5","2016-2017","1 year",881,0.92
70103,"all","0-5","2016-2017","1 year",292,0.93
70104,"all","0-5","2016-2017","1 year",671,0.94
70201,"all","0-5","2016-2017","1 year",611,0.92
70202,"all","0-5","2016-2017","1 year",9999999,9999999
70203,"all","0-5","2016-2017","1 year",166,0.94
70204,"all","0-5","2016-2017","1 year",161,0.95
70205,"all","0-5","2016-2017","1 year",307,0.91
80101,"all","0-5","2016-2017","1 year",1310,0.95
80102,"all","0-5","2016-2017","1 year",NA,NA
80103,"all","0-5","2016-2017","1 year",NA,NA
80104,"all","0-5","2016-2017","1 year",1399,0.96
80105,"all","0-5","2016-2017","1 year",545,0.94
80106,"all","0-5","2016-2017","1 year",274,0.9
80107,"all","0-5","2016-2017","1 year",1126,0.95
80108,"all","0-5","2016-2017","1 year",397,0.97
80109,"all","0-5","2016-2017","1 year",370,0.93
90101,"all","0-5","2016-2017","1 year",NA,NA
90102,"all","0-5","2016-2017","1 year",NA,NA
90103,"all","0-5","2016-2017","1 year",NA,NA
90104,"all","0-5","2016-2017","1 year",NA,NA
10101,"all","0-5","2016-2017","2 years",761,0.92
10102,"all","0-5","2016-2017","2 years",713,0.93
10103,"all","0-5","2016-2017","2 years",168,0.91
10104,"all","0-5","2016-2017","2 years",581,0.89
10201,"all","0-5","2016-2017","2 years",1911,0.92
10202,"all","0-5","2016-2017","2 years",1811,0.94
10301,"all","0-5","2016-2017","2 years",580,0.94
10302,"all","0-5","2016-2017","2 years",629,0.93
10303,"all","0-5","2016-2017","2 years",551,0.9
10304,"all","0-5","2016-2017","2 years",803,0.94
10401,"all","0-5","2016-2017","2 years",498,0.92
10402,"all","0-5","2016-2017","2 years",916,0.88
10501,"all","0-5","2016-2017","2 years",347,0.91
10502,"all","0-5","2016-2017","2 years",232,0.94
10503,"all","0-5","2016-2017","2 years",956,0.92
10601,"all","0-5","2016-2017","2 years",1211,0.93
10602,"all","0-5","2016-2017","2 years",993,0.95
10603,"all","0-5","2016-2017","2 years",780,0.93
10604,"all","0-5","2016-2017","2 years",399,0.94
10701,"all","0-5","2016-2017","2 years",921,0.92
10702,"all","0-5","2016-2017","2 years",NA,NA
10703,"all","0-5","2016-2017","2 years",1055,0.93
10704,"all","0-5","2016-2017","2 years",1409,0.92
10801,"all","0-5","2016-2017","2 years",268,0.94
10802,"all","0-5","2016-2017","2 years",475,0.9
10803,"all","0-5","2016-2017","2 years",NA,NA
10804,"all","0-5","2016-2017","2 years",728,0.93
10805,"all","0-5","2016-2017","2 years",566,0.92
10901,"all","0-5","2016-2017","2 years",772,0.94
10902,"all","0-5","2016-2017","2 years",145,0.93
10903,"all","0-5","2016-2017","2 years",372,0.93
11001,"all","0-5","2016-2017","2 years",405,0.93
11002,"all","0-5","2016-2017","2 years",403,0.93
11003,"all","0-5","2016-2017","2 years",379,0.92
11004,"all","0-5","2016-2017","2 years",1035,0.94
11101,"all","0-5","2016-2017","2 years",1432,0.95
11102,"all","0-5","2016-2017","2 years",857,0.92
11103,"all","0-5","2016-2017","2 years",1873,0.93
11201,"all","0-5","2016-2017","2 years",702,0.81
11202,"all","0-5","2016-2017","2 years",750,0.87
11203,"all","0-5","2016-2017","2 years",858,0.87
11301,"all","0-5","2016-2017","2 years",642,0.93
11302,"all","0-5","2016-2017","2 years",172,0.94
11303,"all","0-5","2016-2017","2 years",1172,0.93
11401,"all","0-5","2016-2017","2 years",1008,0.94
11402,"all","0-5","2016-2017","2 years",412,0.9
11501,"all","0-5","2016-2017","2 years",1626,0.91
11502,"all","0-5","2016-2017","2 years",235,0.89
11503,"all","0-5","2016-2017","2 years",286,0.9
11504,"all","0-5","2016-2017","2 years",435,0.92
11601,"all","0-5","2016-2017","2 years",1986,0.9
11602,"all","0-5","2016-2017","2 years",1398,0.93
11603,"all","0-5","2016-2017","2 years",1732,0.85
11701,"all","0-5","2016-2017","2 years",564,0.9
11702,"all","0-5","2016-2017","2 years",628,0.93
11703,"all","0-5","2016-2017","2 years",1565,0.88
11801,"all","0-5","2016-2017","2 years",1358,0.87
11802,"all","0-5","2016-2017","2 years",1421,0.87
11901,"all","0-5","2016-2017","2 years",2407,0.86
11902,"all","0-5","2016-2017","2 years",1830,0.85
11903,"all","0-5","2016-2017","2 years",1482,0.9
11904,"all","0-5","2016-2017","2 years",1670,0.87
12001,"all","0-5","2016-2017","2 years",1010,0.9
12002,"all","0-5","2016-2017","2 years",809,0.93
12003,"all","0-5","2016-2017","2 years",1521,0.88
12101,"all","0-5","2016-2017","2 years",1418,0.9
12102,"all","0-5","2016-2017","2 years",1055,0.91
12103,"all","0-5","2016-2017","2 years",1142,0.89
12104,"all","0-5","2016-2017","2 years",1009,0.86
12201,"all","0-5","2016-2017","2 years",535,0.86
12202,"all","0-5","2016-2017","2 years",612,0.88
12203,"all","0-5","2016-2017","2 years",1898,0.9
12301,"all","0-5","2016-2017","2 years",962,0.94
12302,"all","0-5","2016-2017","2 years",2342,0.9
12303,"all","0-5","2016-2017","2 years",603,0.93
12401,"all","0-5","2016-2017","2 years",755,0.9
12402,"all","0-5","2016-2017","2 years",NA,NA
12403,"all","0-5","2016-2017","2 years",2050,0.93
12404,"all","0-5","2016-2017","2 years",448,0.93
12405,"all","0-5","2016-2017","2 years",966,0.9
12501,"all","0-5","2016-2017","2 years",1307,0.86
12502,"all","0-5","2016-2017","2 years",845,0.9
12503,"all","0-5","2016-2017","2 years",2402,0.86
12504,"all","0-5","2016-2017","2 years",2149,0.88
12601,"all","0-5","2016-2017","2 years",453,0.89
12602,"all","0-5","2016-2017","2 years",1539,0.9
12701,"all","0-5","2016-2017","2 years",1428,0.91
12702,"all","0-5","2016-2017","2 years",2269,0.88
12703,"all","0-5","2016-2017","2 years",1783,0.9
12801,"all","0-5","2016-2017","2 years",1270,0.92
12802,"all","0-5","2016-2017","2 years",1373,0.94
20101,"all","0-5","2016-2017","2 years",1285,0.93
20102,"all","0-5","2016-2017","2 years",283,0.91
20103,"all","0-5","2016-2017","2 years",236,0.95
20201,"all","0-5","2016-2017","2 years",1156,0.93
20202,"all","0-5","2016-2017","2 years",456,0.9
20203,"all","0-5","2016-2017","2 years",117,0.91
20301,"all","0-5","2016-2017","2 years",226,0.93
20302,"all","0-5","2016-2017","2 years",2448,0.94
20303,"all","0-5","2016-2017","2 years",745,0.92
20401,"all","0-5","2016-2017","2 years",551,0.92
20402,"all","0-5","2016-2017","2 years",440,0.9
20403,"all","0-5","2016-2017","2 years",789,0.92
20501,"all","0-5","2016-2017","2 years",576,0.93
20502,"all","0-5","2016-2017","2 years",431,0.92
20503,"all","0-5","2016-2017","2 years",606,0.92
20504,"all","0-5","2016-2017","2 years",884,0.95
20505,"all","0-5","2016-2017","2 years",456,0.94
20601,"all","0-5","2016-2017","2 years",1007,0.92
20602,"all","0-5","2016-2017","2 years",613,0.9
20603,"all","0-5","2016-2017","2 years",703,0.9
20604,"all","0-5","2016-2017","2 years",826,0.84
20605,"all","0-5","2016-2017","2 years",977,0.88
20606,"all","0-5","2016-2017","2 years",443,0.86
20607,"all","0-5","2016-2017","2 years",833,0.92
20701,"all","0-5","2016-2017","2 years",1451,0.91
20702,"all","0-5","2016-2017","2 years",900,0.91
20703,"all","0-5","2016-2017","2 years",999,0.9
20801,"all","0-5","2016-2017","2 years",962,0.89
20802,"all","0-5","2016-2017","2 years",1714,0.92
20803,"all","0-5","2016-2017","2 years",1385,0.92
20804,"all","0-5","2016-2017","2 years",379,0.92
20901,"all","0-5","2016-2017","2 years",1474,0.92
20902,"all","0-5","2016-2017","2 years",1145,0.9
20903,"all","0-5","2016-2017","2 years",674,0.92
20904,"all","0-5","2016-2017","2 years",3438,0.93
21001,"all","0-5","2016-2017","2 years",610,0.91
21002,"all","0-5","2016-2017","2 years",346,0.91
21003,"all","0-5","2016-2017","2 years",1068,0.89
21004,"all","0-5","2016-2017","2 years",471,0.94
21005,"all","0-5","2016-2017","2 years",2545,0.88
21101,"all","0-5","2016-2017","2 years",1772,0.91
21102,"all","0-5","2016-2017","2 years",200,0.88
21103,"all","0-5","2016-2017","2 years",1372,0.91
21104,"all","0-5","2016-2017","2 years",710,0.91
21105,"all","0-5","2016-2017","2 years",1698,0.91
21201,"all","0-5","2016-2017","2 years",1506,0.91
21202,"all","0-5","2016-2017","2 years",1698,0.9
21203,"all","0-5","2016-2017","2 years",2842,0.92
21204,"all","0-5","2016-2017","2 years",2438,0.89
21205,"all","0-5","2016-2017","2 years",1629,0.89
21301,"all","0-5","2016-2017","2 years",2504,0.89
21302,"all","0-5","2016-2017","2 years",1152,0.92
21303,"all","0-5","2016-2017","2 years",1123,0.91
21304,"all","0-5","2016-2017","2 years",2436,0.92
21305,"all","0-5","2016-2017","2 years",4340,0.91
21401,"all","0-5","2016-2017","2 years",1823,0.92
21402,"all","0-5","2016-2017","2 years",1511,0.92
21501,"all","0-5","2016-2017","2 years",570,0.94
21502,"all","0-5","2016-2017","2 years",636,0.9
21503,"all","0-5","2016-2017","2 years",398,0.92
21601,"all","0-5","2016-2017","2 years",425,0.94
21602,"all","0-5","2016-2017","2 years",320,0.95
21603,"all","0-5","2016-2017","2 years",824,0.89
21701,"all","0-5","2016-2017","2 years",352,0.91
21702,"all","0-5","2016-2017","2 years",976,0.94
30101,"all","0-5","2016-2017","2 years",748,0.92
30102,"all","0-5","2016-2017","2 years",852,0.93
30103,"all","0-5","2016-2017","2 years",892,0.93
30201,"all","0-5","2016-2017","2 years",481,0.94
30202,"all","0-5","2016-2017","2 years",881,0.92
30203,"all","0-5","2016-2017","2 years",502,0.93
30204,"all","0-5","2016-2017","2 years",714,0.93
30301,"all","0-5","2016-2017","2 years",622,0.94
30302,"all","0-5","2016-2017","2 years",812,0.92
30303,"all","0-5","2016-2017","2 years",827,0.92
30304,"all","0-5","2016-2017","2 years",548,0.93
30305,"all","0-5","2016-2017","2 years",953,0.93
30306,"all","0-5","2016-2017","2 years",649,0.89
30401,"all","0-5","2016-2017","2 years",419,0.96
30402,"all","0-5","2016-2017","2 years",441,0.92
30403,"all","0-5","2016-2017","2 years",405,0.92
30404,"all","0-5","2016-2017","2 years",588,0.93
30501,"all","0-5","2016-2017","2 years",425,0.87
30502,"all","0-5","2016-2017","2 years",521,0.92
30503,"all","0-5","2016-2017","2 years",799,0.91
30504,"all","0-5","2016-2017","2 years",601,0.92
30601,"all","0-5","2016-2017","2 years",674,0.92
30602,"all","0-5","2016-2017","2 years",1437,0.92
30603,"all","0-5","2016-2017","2 years",359,0.92
30604,"all","0-5","2016-2017","2 years",124,0.9
30605,"all","0-5","2016-2017","2 years",421,0.87
30701,"all","0-5","2016-2017","2 years",616,0.94
30702,"all","0-5","2016-2017","2 years",530,0.91
30703,"all","0-5","2016-2017","2 years",442,0.93
30801,"all","0-5","2016-2017","2 years",547,0.93
30802,"all","0-5","2016-2017","2 years",1159,0.93
30803,"all","0-5","2016-2017","2 years",1442,0.93
30901,"all","0-5","2016-2017","2 years",681,0.9
30902,"all","0-5","2016-2017","2 years",563,0.92
30903,"all","0-5","2016-2017","2 years",636,0.91
30904,"all","0-5","2016-2017","2 years",183,0.9
30905,"all","0-5","2016-2017","2 years",355,0.9
30906,"all","0-5","2016-2017","2 years",914,0.92
