"SA3_CODE16","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
10101,"all","0-5","2016-2017","1 year",808,0.96
10102,"all","0-5","2016-2017","1 year",767,0.96
10103,"all","0-5","2016-2017","1 year",193,0.95
10104,"all","0-5","2016-2017","1 year",581,0.93
10201,"all","0-5","2016-2017","1 year",1904,0.94
10202,"all","0-5","2016-2017","1 year",1905,0.97
10301,"all","0-5","2016-2017","1 year",564,0.96
10302,"all","0-5","2016-2017","1 year",705,0.96
10303,"all","0-5","2016-2017","1 year",544,0.95
10304,"all","0-5","2016-2017","1 year",854,0.96
10401,"all","0-5","2016-2017","1 year",473,0.95
10402,"all","0-5","2016-2017","1 year",862,0.91
10501,"all","0-5","2016-2017","1 year",358,0.92
10502,"all","0-5","2016-2017","1 year",247,0.96
10503,"all","0-5","2016-2017","1 year",928,0.95
10601,"all","0-5","2016-2017","1 year",1168,0.95
10602,"all","0-5","2016-2017","1 year",962,0.96
10603,"all","0-5","2016-2017","1 year",757,0.94
10604,"all","0-5","2016-2017","1 year",433,0.96
10701,"all","0-5","2016-2017","1 year",933,0.95
10702,"all","0-5","2016-2017","1 year",NA,NA
10703,"all","0-5","2016-2017","1 year",1054,0.96
10704,"all","0-5","2016-2017","1 year",1428,0.95
10801,"all","0-5","2016-2017","1 year",251,0.94
10802,"all","0-5","2016-2017","1 year",492,0.92
10803,"all","0-5","2016-2017","1 year",NA,NA
10804,"all","0-5","2016-2017","1 year",694,0.95
10805,"all","0-5","2016-2017","1 year",491,0.95
10901,"all","0-5","2016-2017","1 year",817,0.94
10902,"all","0-5","2016-2017","1 year",161,0.96
10903,"all","0-5","2016-2017","1 year",405,0.96
11001,"all","0-5","2016-2017","1 year",361,0.94
11002,"all","0-5","2016-2017","1 year",402,0.94
11003,"all","0-5","2016-2017","1 year",394,0.97
11004,"all","0-5","2016-2017","1 year",1106,0.97
11101,"all","0-5","2016-2017","1 year",1410,0.97
11102,"all","0-5","2016-2017","1 year",853,0.94
11103,"all","0-5","2016-2017","1 year",1926,0.95
11201,"all","0-5","2016-2017","1 year",643,0.81
11202,"all","0-5","2016-2017","1 year",678,0.9
11203,"all","0-5","2016-2017","1 year",923,0.9
11301,"all","0-5","2016-2017","1 year",640,0.95
11302,"all","0-5","2016-2017","1 year",NA,NA
11303,"all","0-5","2016-2017","1 year",1180,0.97
11401,"all","0-5","2016-2017","1 year",1002,0.95
11402,"all","0-5","2016-2017","1 year",403,0.94
11501,"all","0-5","2016-2017","1 year",1551,0.94
11502,"all","0-5","2016-2017","1 year",280,0.95
11503,"all","0-5","2016-2017","1 year",301,0.96
11504,"all","0-5","2016-2017","1 year",457,0.95
