"SA3_CODE16","sex","age_group","calendar_year","age_fully_immunised_AIR","p"
"20501","all","0-5","2014","1 year",0.9
"20403","all","0-5","2014","1 year",0.93
"20402","all","0-5","2014","1 year",0.94
"20401","all","0-5","2014","1 year",0.92
"20303","all","0-5","2014","1 year",0.89
"20302","all","0-5","2014","1 year",0.92
"20301","all","0-5","2014","1 year",0.94
"20203","all","0-5","2014","1 year",0.93
"20202","all","0-5","2014","1 year",0.85
"20201","all","0-5","2014","1 year",0.9
"20103","all","0-5","2014","1 year",0.94
"20102","all","0-5","2014","1 year",0.86
"20101","all","0-5","2014","1 year",0.92
"31905","all","0-5","2014","1 year",0.9
"31904","all","0-5","2014","1 year",0.91
"31903","all","0-5","2014","1 year",0.9
"31902","all","0-5","2014","1 year",0.87
"31901","all","0-5","2014","1 year",0.94
"31802","all","0-5","2014","1 year",0.92
"31801","all","0-5","2014","1 year",0.89
"31701","all","0-5","2014","1 year",0.93
"31606","all","0-5","2014","1 year",0.85
"31605","all","0-5","2014","1 year",0.89
"31604","all","0-5","2014","1 year",0.86
"31603","all","0-5","2014","1 year",0.88
"31602","all","0-5","2014","1 year",0.91
"31601","all","0-5","2014","1 year",0.91
"31503","all","0-5","2014","1 year",0.93
"31502","all","0-5","2014","1 year",0.92
"31501","all","0-5","2014","1 year",0.92
"31403","all","0-5","2014","1 year",0.93
"31402","all","0-5","2014","1 year",0.92
"31401","all","0-5","2014","1 year",0.94
"31305","all","0-5","2014","1 year",0.92
"31304","all","0-5","2014","1 year",0.93
"31303","all","0-5","2014","1 year",0.87
"31302","all","0-5","2014","1 year",0.92
"31301","all","0-5","2014","1 year",0.91
"31203","all","0-5","2014","1 year",0.95
"31202","all","0-5","2014","1 year",0.92
"31201","all","0-5","2014","1 year",0.94
"31106","all","0-5","2014","1 year",0.89
"31105","all","0-5","2014","1 year",0.91
"31104","all","0-5","2014","1 year",0.95
"31103","all","0-5","2014","1 year",0.91
"31102","all","0-5","2014","1 year",0.9
"31101","all","0-5","2014","1 year",0.89
"31004","all","0-5","2014","1 year",0.92
"31003","all","0-5","2014","1 year",0.93
"31002","all","0-5","2014","1 year",0.92
"31001","all","0-5","2014","1 year",0.93
"30910","all","0-5","2014","1 year",0.91
"30909","all","0-5","2014","1 year",0.91
"30908","all","0-5","2014","1 year",0.92
"30907","all","0-5","2014","1 year",0.91
"30906","all","0-5","2014","1 year",0.91
"30905","all","0-5","2014","1 year",0.89
"30904","all","0-5","2014","1 year",0.86
"30903","all","0-5","2014","1 year",0.92
"30902","all","0-5","2014","1 year",0.89
"30901","all","0-5","2014","1 year",0.91
"30803","all","0-5","2014","1 year",0.93
"30802","all","0-5","2014","1 year",0.91
"30801","all","0-5","2014","1 year",0.9
"30703","all","0-5","2014","1 year",0.91
"30702","all","0-5","2014","1 year",0.93
"30701","all","0-5","2014","1 year",0.91
"30605","all","0-5","2014","1 year",0.87
"30604","all","0-5","2014","1 year",0.88
"30603","all","0-5","2014","1 year",0.91
"30602","all","0-5","2014","1 year",0.92
"30601","all","0-5","2014","1 year",0.92
"30504","all","0-5","2014","1 year",0.93
"30503","all","0-5","2014","1 year",0.94
"30502","all","0-5","2014","1 year",0.94
"30501","all","0-5","2014","1 year",0.9
"30404","all","0-5","2014","1 year",0.94
"30403","all","0-5","2014","1 year",0.91
"30402","all","0-5","2014","1 year",0.91
"30401","all","0-5","2014","1 year",0.92
"30306","all","0-5","2014","1 year",0.9
"30305","all","0-5","2014","1 year",0.93
"30304","all","0-5","2014","1 year",0.93
"30303","all","0-5","2014","1 year",0.92
"30302","all","0-5","2014","1 year",0.91
"30301","all","0-5","2014","1 year",0.94
"30204","all","0-5","2014","1 year",0.93
"30203","all","0-5","2014","1 year",0.94
"30202","all","0-5","2014","1 year",0.94
"30201","all","0-5","2014","1 year",0.92
"30103","all","0-5","2014","1 year",0.93
"30102","all","0-5","2014","1 year",0.91
"30101","all","0-5","2014","1 year",0.94
"40703","all","0-5","2014","1 year",0.91
"40702","all","0-5","2014","1 year",0.93
"40701","all","0-5","2014","1 year",0.88
"40602","all","0-5","2014","1 year",0.88
"40601","all","0-5","2014","1 year",0.89
"40504","all","0-5","2014","1 year",0.93
"40503","all","0-5","2014","1 year",0.93
"40502","all","0-5","2014","1 year",0.94
"40501","all","0-5","2014","1 year",0.91
"40403","all","0-5","2014","1 year",0.9
"40402","all","0-5","2014","1 year",0.9
"40401","all","0-5","2014","1 year",0.88
"40304","all","0-5","2014","1 year",0.91
"40303","all","0-5","2014","1 year",0.91
"40302","all","0-5","2014","1 year",0.9
"40301","all","0-5","2014","1 year",0.9
"40205","all","0-5","2014","1 year",0.93
"40204","all","0-5","2014","1 year",0.92
"40203","all","0-5","2014","1 year",0.89
"40202","all","0-5","2014","1 year",0.89
"40201","all","0-5","2014","1 year",0.91
"40107","all","0-5","2014","1 year",0.93
"40106","all","0-5","2014","1 year",0.91
"40105","all","0-5","2014","1 year",0.9
"40104","all","0-5","2014","1 year",0.88
"40103","all","0-5","2014","1 year",0.9
"40102","all","0-5","2014","1 year",0.87
"40101","all","0-5","2014","1 year",0.91
"90101","all","0-5","2014","1 year",NA
"50903","all","0-5","2014","1 year",0.95
"50902","all","0-5","2014","1 year",0.91
"50901","all","0-5","2014","1 year",0.9
"50806","all","0-5","2014","1 year",0.92
"50805","all","0-5","2014","1 year",0.92
"50804","all","0-5","2014","1 year",0.95
"50803","all","0-5","2014","1 year",0.9
"50802","all","0-5","2014","1 year",0.94
"50801","all","0-5","2014","1 year",0.94
"50705","all","0-5","2014","1 year",0.91
"50704","all","0-5","2014","1 year",0.88
"50703","all","0-5","2014","1 year",0.91
"50702","all","0-5","2014","1 year",0.84
"50701","all","0-5","2014","1 year",0.92
"50607","all","0-5","2014","1 year",0.88
