"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
3,"15-17","male","2017-2018","did_not_consume",21100,1
3,"15-17","male","2017-2018","1_metric_cup_or_less",43300,0
3,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",9600,1
3,"15-17","male","2017-2018","2_metric_cups_or_more",16100,1
3,"15-17","male","2017-2018","total",91600,0
4,"2-3","male","2017-2018","1_metric_cup_or_less",10700,1
4,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",3500,2
4,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
4,"2-3","male","2017-2018","total",0,0
4,"4-8","male","2017-2018","1_metric_cup_or_less",43900,0
4,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",12400,1
4,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","male","2017-2018","total",0,0
4,"9-11","male","2017-2018","1_metric_cup_or_less",18500,0
4,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9600,1
4,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","male","2017-2018","total",0,0
4,"12-13","male","2017-2018","1_metric_cup_or_less",4200,2
4,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",10400,1
4,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
4,"12-13","male","2017-2018","total",2700,2
4,"14-17","male","2017-2018","1_metric_cup_or_less",12700,1
4,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",17900,0
4,"14-17","male","2017-2018","2_metric_cups_or_more",6300,1
4,"14-17","male","2017-2018","total",4700,2
4,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
4,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
4,"...7","male","2017-2018","total",NA,2
4,"2-14","male","2017-2018","1_metric_cup_or_less",93900,0
4,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",34800,0
4,"2-14","male","2017-2018","2_metric_cups_or_more",1700,2
4,"2-14","male","2017-2018","total",6600,1
4,"15-17","male","2017-2018","1_metric_cup_or_less",6400,1
4,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",12600,1
4,"15-17","male","2017-2018","2_metric_cups_or_more",4600,1
4,"15-17","male","2017-2018","total",2400,2
5,"2-3","male","2017-2018","did_not_consume",23800,1
5,"2-3","male","2017-2018","1_metric_cup_or_less",10800,1
5,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
5,"2-3","male","2017-2018","total",28100,0
5,"4-8","male","2017-2018","did_not_consume",57300,0
5,"4-8","male","2017-2018","1_metric_cup_or_less",27000,1
5,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"4-8","male","2017-2018","2_metric_cups_or_more",4300,2
5,"4-8","male","2017-2018","total",82300,0
5,"9-11","male","2017-2018","did_not_consume",37000,0
5,"9-11","male","2017-2018","1_metric_cup_or_less",21700,1
5,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
5,"9-11","male","2017-2018","total",59100,0
5,"12-13","male","2017-2018","did_not_consume",11000,1
5,"12-13","male","2017-2018","1_metric_cup_or_less",18300,0
5,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
5,"12-13","male","2017-2018","total",26800,0
5,"14-17","male","2017-2018","did_not_consume",28400,0
5,"14-17","male","2017-2018","1_metric_cup_or_less",26900,0
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",2300,2
5,"14-17","male","2017-2018","2_metric_cups_or_more",6300,1
5,"14-17","male","2017-2018","total",63900,0
5,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,2
5,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
5,"2-14","male","2017-2018","did_not_consume",133300,0
5,"2-14","male","2017-2018","1_metric_cup_or_less",74600,0
5,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-14","male","2017-2018","2_metric_cups_or_more",4500,2
5,"2-14","male","2017-2018","total",214200,0
5,"15-17","male","2017-2018","did_not_consume",19900,1
5,"15-17","male","2017-2018","1_metric_cup_or_less",18200,1
5,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",2300,2
5,"15-17","male","2017-2018","2_metric_cups_or_more",3300,2
5,"15-17","male","2017-2018","total",48000,0
6,"2-3","male","2017-2018","did_not_consume",4100,1
6,"2-3","male","2017-2018","1_metric_cup_or_less",700,2
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"2-3","male","2017-2018","2_metric_cups_or_more",700,2
6,"2-3","male","2017-2018","total",6500,0
6,"4-8","male","2017-2018","did_not_consume",9400,0
6,"4-8","male","2017-2018","1_metric_cup_or_less",5000,1
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
6,"4-8","male","2017-2018","total",17300,0
6,"9-11","male","2017-2018","did_not_consume",3100,1
6,"9-11","male","2017-2018","1_metric_cup_or_less",4700,0
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","male","2017-2018","total",9100,0
6,"12-13","male","2017-2018","did_not_consume",3300,1
6,"12-13","male","2017-2018","1_metric_cup_or_less",2400,1
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",900,2
6,"12-13","male","2017-2018","2_metric_cups_or_more",500,2
6,"12-13","male","2017-2018","total",6800,0
6,"14-17","male","2017-2018","did_not_consume",3600,1
6,"14-17","male","2017-2018","1_metric_cup_or_less",5300,1
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
6,"14-17","male","2017-2018","2_metric_cups_or_more",3200,1
6,"14-17","male","2017-2018","total",12600,0
6,"...7","male","2017-2018","did_not_consume",NA,1
6,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
6,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,2
6,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
