"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
3,"2-14","male","2017-2018","total",100,0
3,"15-17","male","2017-2018","did_not_consume",23,1
3,"15-17","male","2017-2018","1_metric_cup_or_less",47.3,1
3,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",10.5,0
3,"15-17","male","2017-2018","2_metric_cups_or_more",17.6,1
3,"15-17","male","2017-2018","total",100,0
4,"2-3","male","2017-2018","did_not_consume",64.1,1
4,"2-3","male","2017-2018","1_metric_cup_or_less",21,1
4,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
4,"2-3","male","2017-2018","total",100,0
4,"4-8","male","2017-2018","did_not_consume",76.1,1
4,"4-8","male","2017-2018","1_metric_cup_or_less",21.5,1
4,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","male","2017-2018","total",100,0
4,"9-11","male","2017-2018","did_not_consume",66.5,1
4,"9-11","male","2017-2018","1_metric_cup_or_less",34.5,1
4,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","male","2017-2018","total",100,0
4,"12-13","male","2017-2018","did_not_consume",20.4,1
4,"12-13","male","2017-2018","1_metric_cup_or_less",50.5,1
4,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"12-13","male","2017-2018","2_metric_cups_or_more",13.1,1
4,"12-13","male","2017-2018","total",100,0
4,"14-17","male","2017-2018","did_not_consume",30.5,1
4,"14-17","male","2017-2018","1_metric_cup_or_less",42.9,1
4,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",15.1,1
4,"14-17","male","2017-2018","2_metric_cups_or_more",11.3,1
4,"14-17","male","2017-2018","total",100,0
4,"...7","male","2017-2018","did_not_consume",NA,1
4,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
4,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
4,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
4,"2-14","male","2017-2018","did_not_consume",68.7,0
4,"2-14","male","2017-2018","1_metric_cup_or_less",25.5,0
4,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",1.2,1
4,"2-14","male","2017-2018","2_metric_cups_or_more",4.8,0
4,"2-14","male","2017-2018","total",100,0
4,"15-17","male","2017-2018","did_not_consume",21,1
4,"15-17","male","2017-2018","1_metric_cup_or_less",41.3,1
4,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",15.1,1
4,"15-17","male","2017-2018","2_metric_cups_or_more",7.9,1
4,"15-17","male","2017-2018","total",100,0
5,"2-3","male","2017-2018","did_not_consume",84.7,1
5,"2-3","male","2017-2018","1_metric_cup_or_less",38.4,1
5,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
5,"2-3","male","2017-2018","total",100,0
5,"4-8","male","2017-2018","did_not_consume",69.6,1
5,"4-8","male","2017-2018","1_metric_cup_or_less",32.8,1
5,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"4-8","male","2017-2018","2_metric_cups_or_more",5.2,1
5,"4-8","male","2017-2018","total",100,0
5,"9-11","male","2017-2018","did_not_consume",62.6,1
5,"9-11","male","2017-2018","1_metric_cup_or_less",36.7,1
5,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
5,"9-11","male","2017-2018","total",100,0
5,"12-13","male","2017-2018","did_not_consume",41,1
5,"12-13","male","2017-2018","1_metric_cup_or_less",68.3,1
5,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
5,"12-13","male","2017-2018","total",100,0
5,"14-17","male","2017-2018","did_not_consume",44.4,1
5,"14-17","male","2017-2018","1_metric_cup_or_less",42.1,1
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",3.6,1
5,"14-17","male","2017-2018","2_metric_cups_or_more",9.9,0
5,"14-17","male","2017-2018","total",100,0
5,"...7","male","2017-2018","did_not_consume",NA,1
5,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
5,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
5,"2-14","male","2017-2018","did_not_consume",62.2,1
5,"2-14","male","2017-2018","1_metric_cup_or_less",34.8,1
5,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-14","male","2017-2018","2_metric_cups_or_more",2.1,1
5,"2-14","male","2017-2018","total",100,0
5,"15-17","male","2017-2018","did_not_consume",41.5,1
5,"15-17","male","2017-2018","1_metric_cup_or_less",37.9,1
5,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",4.8,1
5,"15-17","male","2017-2018","2_metric_cups_or_more",6.9,1
5,"15-17","male","2017-2018","total",100,0
6,"2-3","male","2017-2018","did_not_consume",63.1,1
6,"2-3","male","2017-2018","1_metric_cup_or_less",10.8,1
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"2-3","male","2017-2018","2_metric_cups_or_more",10.8,1
6,"2-3","male","2017-2018","total",100,0
6,"4-8","male","2017-2018","did_not_consume",54.3,1
6,"4-8","male","2017-2018","1_metric_cup_or_less",28.9,1
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
6,"4-8","male","2017-2018","total",100,0
6,"9-11","male","2017-2018","did_not_consume",34.1,1
6,"9-11","male","2017-2018","1_metric_cup_or_less",51.6,1
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","male","2017-2018","total",100,0
6,"12-13","male","2017-2018","did_not_consume",48.5,1
6,"12-13","male","2017-2018","1_metric_cup_or_less",35.3,1
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",13.2,1
6,"12-13","male","2017-2018","2_metric_cups_or_more",7.4,1
6,"12-13","male","2017-2018","total",100,0
6,"14-17","male","2017-2018","did_not_consume",28.6,1
6,"14-17","male","2017-2018","1_metric_cup_or_less",42.1,1
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",4.8,1
6,"14-17","male","2017-2018","2_metric_cups_or_more",25.4,1
6,"14-17","male","2017-2018","total",100,0
6,"...7","male","2017-2018","did_not_consume",NA,1
6,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
6,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
6,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
6,"2-14","male","2017-2018","did_not_consume",51.6,1
6,"2-14","male","2017-2018","1_metric_cup_or_less",38.5,1
6,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",2.9,1
6,"2-14","male","2017-2018","2_metric_cups_or_more",5.8,0
6,"2-14","male","2017-2018","total",100,0
6,"15-17","male","2017-2018","did_not_consume",24.2,1
6,"15-17","male","2017-2018","1_metric_cup_or_less",37.4,1
6,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",6.6,1
6,"15-17","male","2017-2018","2_metric_cups_or_more",20.9,1
6,"15-17","male","2017-2018","total",100,0
7,"2-3","male","2017-2018","did_not_consume",103.7,1
7,"2-3","male","2017-2018","1_metric_cup_or_less",7.4,1
7,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
7,"2-3","male","2017-2018","total",100,0
7,"4-8","male","2017-2018","did_not_consume",88.5,1
7,"4-8","male","2017-2018","1_metric_cup_or_less",18,1
7,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","male","2017-2018","total",100,0
7,"9-11","male","2017-2018","did_not_consume",61.8,1
7,"9-11","male","2017-2018","1_metric_cup_or_less",44.1,1
7,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"9-11","male","2017-2018","2_metric_cups_or_more",29.4,1
7,"9-11","male","2017-2018","total",100,0
7,"12-13","male","2017-2018","did_not_consume",37.5,1
7,"12-13","male","2017-2018","1_metric_cup_or_less",25,1
7,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
7,"12-13","male","2017-2018","total",100,0
7,"14-17","male","2017-2018","did_not_consume",34.1,1
7,"14-17","male","2017-2018","1_metric_cup_or_less",26.8,1
7,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",7.3,1
7,"14-17","male","2017-2018","2_metric_cups_or_more",24.4,1
7,"14-17","male","2017-2018","total",100,0
7,"...7","male","2017-2018","did_not_consume",NA,1
7,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
7,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
7,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
7,"2-14","male","2017-2018","did_not_consume",66.9,1
7,"2-14","male","2017-2018","1_metric_cup_or_less",22.3,1
7,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",3,1
7,"2-14","male","2017-2018","2_metric_cups_or_more",6,0
7,"2-14","male","2017-2018","total",100,0
7,"15-17","male","2017-2018","did_not_consume",40,1
7,"15-17","male","2017-2018","1_metric_cup_or_less",30,1
7,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",10,1
7,"15-17","male","2017-2018","2_metric_cups_or_more",33.3,1
7,"15-17","male","2017-2018","total",100,0
8,"2-3","male","2017-2018","did_not_consume",81.8,1
8,"2-3","male","2017-2018","1_metric_cup_or_less",13.6,1
8,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
8,"2-3","male","2017-2018","total",100,0
8,"4-8","male","2017-2018","did_not_consume",82.9,1
8,"4-8","male","2017-2018","1_metric_cup_or_less",26.8,1
8,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","male","2017-2018","total",100,0
8,"9-11","male","2017-2018","did_not_consume",64.9,1
8,"9-11","male","2017-2018","1_metric_cup_or_less",50.6,1
8,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","male","2017-2018","total",100,0
8,"12-13","male","2017-2018","did_not_consume",34.1,1
8,"12-13","male","2017-2018","1_metric_cup_or_less",54.5,1
8,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","male","2017-2018","total",100,0
8,"14-17","male","2017-2018","did_not_consume",29.8,1
8,"14-17","male","2017-2018","1_metric_cup_or_less",41.5,1
8,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",6.4,1
8,"14-17","male","2017-2018","2_metric_cups_or_more",18.1,1
8,"14-17","male","2017-2018","total",100,0
8,"...7","male","2017-2018","did_not_consume",NA,1
8,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
8,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
8,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
8,"2-14","male","2017-2018","did_not_consume",59.9,0
8,"2-14","male","2017-2018","1_metric_cup_or_less",32.2,0
8,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-14","male","2017-2018","2_metric_cups_or_more",0,0
8,"2-14","male","2017-2018","total",100,0
8,"15-17","male","2017-2018","did_not_consume",42.6,1
8,"15-17","male","2017-2018","1_metric_cup_or_less",47.1,1
8,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",8.8,1
8,"15-17","male","2017-2018","2_metric_cups_or_more",29.4,1
