"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
101041018,"all","10-11","Year 5",2014,"Writing",455.6
101041018,"all","10-11","Year 5",2015,"Writing",454.8
101041018,"all","10-11","Year 5",2016,"Writing",451.5
101041018,"all","10-11","Year 5",2017,"Writing",454.4
101041018,"all","10-11","Year 5",2018,"Writing",455.3
101041018,"all","10-11","Year 5",2019,"Writing",464.1
101041018,"all","10-11","Year 5",2021,"Writing",458.6
101041019,"all","10-11","Year 5",2011,"Writing",455.1
101041019,"all","10-11","Year 5",2012,"Writing",458.3
101041019,"all","10-11","Year 5",2013,"Writing",464.9
101041019,"all","10-11","Year 5",2014,"Writing",442.3
101041019,"all","10-11","Year 5",2015,"Writing",458.9
101041019,"all","10-11","Year 5",2016,"Writing",458.2
101041019,"all","10-11","Year 5",2017,"Writing",448.7
101041019,"all","10-11","Year 5",2018,"Writing",451.2
101041019,"all","10-11","Year 5",2019,"Writing",452.7
101041019,"all","10-11","Year 5",2021,"Writing",444.5
101041020,"all","10-11","Year 5",2011,"Writing",467.5
101041020,"all","10-11","Year 5",2012,"Writing",472.5
101041020,"all","10-11","Year 5",2013,"Writing",451.8
101041020,"all","10-11","Year 5",2014,"Writing",460.3
101041020,"all","10-11","Year 5",2015,"Writing",431.8
101041020,"all","10-11","Year 5",2016,"Writing",465.6
101041020,"all","10-11","Year 5",2017,"Writing",443.4
101041020,"all","10-11","Year 5",2018,"Writing",435.4
101041020,"all","10-11","Year 5",2019,"Writing",455
101041020,"all","10-11","Year 5",2021,"Writing",450.9
101041021,"all","10-11","Year 5",2011,"Writing",485.3
101041021,"all","10-11","Year 5",2012,"Writing",484.8
101041021,"all","10-11","Year 5",2013,"Writing",470.2
101041021,"all","10-11","Year 5",2014,"Writing",454.6
101041021,"all","10-11","Year 5",2015,"Writing",456.9
101041021,"all","10-11","Year 5",2016,"Writing",464.3
101041021,"all","10-11","Year 5",2017,"Writing",461.7
101041021,"all","10-11","Year 5",2018,"Writing",473.3
101041021,"all","10-11","Year 5",2019,"Writing",460.7
101041021,"all","10-11","Year 5",2021,"Writing",467.5
101041023,"all","10-11","Year 5",2011,"Writing",452
101041023,"all","10-11","Year 5",2012,"Writing",443.9
101041023,"all","10-11","Year 5",2013,"Writing",453.9
101041023,"all","10-11","Year 5",2014,"Writing",437.2
101041023,"all","10-11","Year 5",2015,"Writing",445.5
101041023,"all","10-11","Year 5",2016,"Writing",433.5
101041023,"all","10-11","Year 5",2017,"Writing",451.2
101041023,"all","10-11","Year 5",2018,"Writing",423.8
101041023,"all","10-11","Year 5",2019,"Writing",459
101041023,"all","10-11","Year 5",2021,"Writing",481.7
101041024,"all","10-11","Year 5",2011,"Writing",473.6
101041024,"all","10-11","Year 5",2012,"Writing",427.3
101041024,"all","10-11","Year 5",2013,"Writing",467.1
101041024,"all","10-11","Year 5",2014,"Writing",457.4
101041024,"all","10-11","Year 5",2015,"Writing",454.9
101041024,"all","10-11","Year 5",2016,"Writing",395.3
101041024,"all","10-11","Year 5",2017,"Writing",432.2
101041024,"all","10-11","Year 5",2018,"Writing",426.1
101041024,"all","10-11","Year 5",2019,"Writing",454.9
101041024,"all","10-11","Year 5",2021,"Writing",402.8
101041025,"all","10-11","Year 5",2011,"Writing",492.9
101041025,"all","10-11","Year 5",2012,"Writing",467.1
101041025,"all","10-11","Year 5",2013,"Writing",482.9
101041025,"all","10-11","Year 5",2014,"Writing",456.4
101041025,"all","10-11","Year 5",2015,"Writing",454.7
101041025,"all","10-11","Year 5",2016,"Writing",475.4
101041025,"all","10-11","Year 5",2017,"Writing",461.4
101041025,"all","10-11","Year 5",2018,"Writing",454.7
101041025,"all","10-11","Year 5",2019,"Writing",467.1
101041025,"all","10-11","Year 5",2021,"Writing",460.4
101041026,"all","10-11","Year 5",2011,"Writing",467.3
101041026,"all","10-11","Year 5",2012,"Writing",489.6
101041026,"all","10-11","Year 5",2013,"Writing",472.8
101041026,"all","10-11","Year 5",2014,"Writing",459.2
101041026,"all","10-11","Year 5",2015,"Writing",458.2
101041026,"all","10-11","Year 5",2016,"Writing",458.6
101041026,"all","10-11","Year 5",2017,"Writing",446.9
101041026,"all","10-11","Year 5",2018,"Writing",452.2
101041026,"all","10-11","Year 5",2019,"Writing",463.5
101041026,"all","10-11","Year 5",2021,"Writing",452.2
101041027,"all","10-11","Year 5",2011,"Writing",483.8
101041027,"all","10-11","Year 5",2012,"Writing",450.9
101041027,"all","10-11","Year 5",2013,"Writing",449.2
101041027,"all","10-11","Year 5",2014,"Writing",452.3
101041027,"all","10-11","Year 5",2015,"Writing",459.5
101041027,"all","10-11","Year 5",2016,"Writing",473.8
101041027,"all","10-11","Year 5",2017,"Writing",461.4
101041027,"all","10-11","Year 5",2018,"Writing",435.8
101041027,"all","10-11","Year 5",2019,"Writing",446.7
101041027,"all","10-11","Year 5",2021,"Writing",456.7
101051539,"all","10-11","Year 5",2011,"Writing",464
101051539,"all","10-11","Year 5",2012,"Writing",458.5
101051539,"all","10-11","Year 5",2013,"Writing",459.1
101051539,"all","10-11","Year 5",2014,"Writing",445.5
101051539,"all","10-11","Year 5",2015,"Writing",462.4
101051539,"all","10-11","Year 5",2016,"Writing",455.5
101051539,"all","10-11","Year 5",2017,"Writing",449.1
101051539,"all","10-11","Year 5",2018,"Writing",436.8
101051539,"all","10-11","Year 5",2019,"Writing",446.1
101051539,"all","10-11","Year 5",2021,"Writing",450
101051540,"all","10-11","Year 5",2011,"Writing",470
101051540,"all","10-11","Year 5",2012,"Writing",461.4
101051540,"all","10-11","Year 5",2013,"Writing",465.3
101051540,"all","10-11","Year 5",2014,"Writing",465.3
101051540,"all","10-11","Year 5",2015,"Writing",451.6
101051540,"all","10-11","Year 5",2016,"Writing",453.3
101051540,"all","10-11","Year 5",2017,"Writing",452.8
101051540,"all","10-11","Year 5",2018,"Writing",440.9
101051540,"all","10-11","Year 5",2019,"Writing",454.3
101051540,"all","10-11","Year 5",2021,"Writing",453.3
101061541,"all","10-11","Year 5",2011,"Writing",486.9
101061541,"all","10-11","Year 5",2012,"Writing",476.3
101061541,"all","10-11","Year 5",2013,"Writing",479.6
101061541,"all","10-11","Year 5",2014,"Writing",450.8
101061541,"all","10-11","Year 5",2015,"Writing",463.8
101061541,"all","10-11","Year 5",2016,"Writing",457.5
101061541,"all","10-11","Year 5",2017,"Writing",453.9
101061541,"all","10-11","Year 5",2018,"Writing",439.6
101061541,"all","10-11","Year 5",2019,"Writing",460.4
101061541,"all","10-11","Year 5",2021,"Writing",461
101061542,"all","10-11","Year 5",2011,"Writing",468.9
101061542,"all","10-11","Year 5",2012,"Writing",478.3
101061542,"all","10-11","Year 5",2013,"Writing",479.2
101061542,"all","10-11","Year 5",2014,"Writing",467.1
101061542,"all","10-11","Year 5",2015,"Writing",454.6
101061542,"all","10-11","Year 5",2016,"Writing",470.2
101061542,"all","10-11","Year 5",2017,"Writing",481.1
101061542,"all","10-11","Year 5",2018,"Writing",453.3
101061542,"all","10-11","Year 5",2019,"Writing",463.1
101061542,"all","10-11","Year 5",2021,"Writing",448.7
101061543,"all","10-11","Year 5",2011,"Writing",486.3
101061543,"all","10-11","Year 5",2012,"Writing",487.1
101061543,"all","10-11","Year 5",2013,"Writing",484.9
101061543,"all","10-11","Year 5",2014,"Writing",470.1
101061543,"all","10-11","Year 5",2015,"Writing",463.2
101061543,"all","10-11","Year 5",2016,"Writing",452.4
101061543,"all","10-11","Year 5",2017,"Writing",466.1
101061543,"all","10-11","Year 5",2018,"Writing",450.7
101061543,"all","10-11","Year 5",2019,"Writing",467.8
101061543,"all","10-11","Year 5",2021,"Writing",465.8
101061544,"all","10-11","Year 5",2011,"Writing",462.7
101061544,"all","10-11","Year 5",2012,"Writing",441.7
101061544,"all","10-11","Year 5",2013,"Writing",454.3
101061544,"all","10-11","Year 5",2014,"Writing",432.4
101061544,"all","10-11","Year 5",2015,"Writing",434.2
101061544,"all","10-11","Year 5",2016,"Writing",454.2
101061544,"all","10-11","Year 5",2017,"Writing",447.1
101061544,"all","10-11","Year 5",2018,"Writing",425.1
101061544,"all","10-11","Year 5",2019,"Writing",446.4
101061544,"all","10-11","Year 5",2021,"Writing",450.5
102011028,"all","10-11","Year 5",2011,"Writing",500.2
102011028,"all","10-11","Year 5",2012,"Writing",502.6
102011028,"all","10-11","Year 5",2013,"Writing",495.5
102011028,"all","10-11","Year 5",2014,"Writing",483.4
102011028,"all","10-11","Year 5",2015,"Writing",501.8
102011028,"all","10-11","Year 5",2016,"Writing",477.3
102011028,"all","10-11","Year 5",2017,"Writing",487.8
102011028,"all","10-11","Year 5",2018,"Writing",467.9
102011028,"all","10-11","Year 5",2019,"Writing",486.6
102011028,"all","10-11","Year 5",2021,"Writing",487.1
102011029,"all","10-11","Year 5",2011,"Writing",489.4
102011029,"all","10-11","Year 5",2012,"Writing",512
102011029,"all","10-11","Year 5",2013,"Writing",499.7
102011029,"all","10-11","Year 5",2014,"Writing",489.9
102011029,"all","10-11","Year 5",2015,"Writing",496.6
102011029,"all","10-11","Year 5",2016,"Writing",476.1
102011029,"all","10-11","Year 5",2017,"Writing",493.5
102011029,"all","10-11","Year 5",2018,"Writing",457.3
102011029,"all","10-11","Year 5",2019,"Writing",493.3
102011029,"all","10-11","Year 5",2021,"Writing",506.3
